	1
c5171	5
c5004	4
c5215	3
c5183	0
c5184	0
c5058	0
c4920	2
c5214	0
c5141	1
c5142	4
c5391	2
c5392	1
c4997	0
c5259	1
c5260	0
c4989	2
c4990	0
c5255	2
c5256	2
c5246	1
c5122	5
c5024	1
c5385	1
c5333	6
c4965	1
c4978	0
c5397	8
c5106	1
c5230	6
c5130	1
c5063	1
c5408	5
c5140	2
c4958	6
c5124	2
c5043	3
c5524	18
c5532	9
c5483	7
c5484	7
c5434	3
c5472	4
c5436	4
c5515	6
c5529	3
c5419	8
c5533	5
c5534	12
c5485	5
c5461	7
c5462	10
c5542	12
c5482	6
c5431	6
c5429	11
c5430	10
c5479	25
c5478	8
c5442	9
c5494	13
c5443	12
c5526	5
c5495	5
c5496	1
c5422	12
c5503	4
c5425	10
c5528	1
c5536	13
c5463	9
c5464	2
c5438	4
c5505	5
c5242	4
c4996	7
c5164	3
c5192	4
c5317	3
c5318	4
c5012	3
c5371	2
c4971	8
c5249	3
c5250	1
c5028	2
c5153	3
c5154	5
c5008	4
c5337	2
c5066	2
c4929	0
c5162	0
c5181	0
c5182	0
c5195	0
c4909	0
c4910	0
c4940	0
c5311	0
c5041	0
c5308	0
c4956	0
c5174	3
c5078	0
c5072	0
c5274	1
c5118	1
c5233	0
c5234	2
c5401	0
c5169	0
c5053	0
c5026	0
c5376	0
c5232	0
c5316	0
c5396	1
c5313	1
c5314	0
c4911	1
c5040	3
c5189	1
c5009	0
c5321	2
c4983	2
c4984	2
c5207	2
c5208	3
c4921	1
c4922	0
c5103	3
c5104	4
c5299	1
c5300	2
c5330	6
c5343	0
c5346	0
c5051	0
c4936	1
c5285	0
c5017	2
c5296	3
c5080	1
c4969	4
c5002	2
c5327	3
c5083	1
c5084	3
c5131	2
c5132	0
c5144	0
c5357	1
c5358	3
c5127	5
c5128	5
c4985	3
c5325	2
c5055	2
c5303	5
c5383	4
c5384	3
c5151	0
c4923	1
c5264	0
c5157	0
c5365	0
c5238	0
c4917	2
c5206	0
c5168	1
c5109	6
c4944	2
c5281	0
c4902	2
c5176	2
c5251	2
c5148	2
c5197	3
c4898	0
c4906	0
c5269	0
c4946	0
c5399	0
c4961	1
c4974	1
c5220	4
c5353	0
c4991	1
c4976	2
c5267	2
c4947	0
c5406	3
c5222	0
c5247	0
