gene_name	alpha	sigma2	theta0	loss
1	3.0195635384423127	338.6103845648504	2.8341994285583496	896.5372314453125
2	12.868353968778138	659.0551549574739	5.088147163391113	814.639892578125
3	4.148423721231666	317.2301197078923	4.829483509063721	846.5731811523438
4	3.49960769891824	351.77524923301826	3.192837953567505	887.3231201171875
5	3.5536703522508475	229.79003080138136	4.801285743713379	802.8756713867188
6	7.826471219197856	503.6005348521612	4.7885589599609375	845.5446166992188
7	3.738268021656964	481.3087214342122	1.4540058374404907	940.3023071289062
8	3.9547158791106654	295.225094938829	2.698467254638672	838.6134033203125
9	6.270216335737189	564.0929416948929	2.6335322856903076	901.46875
10	4.908812636920686	330.52746047734763	3.5466957092285156	832.5567016601562
11	4.567550965931844	430.8304020727519	3.8999738693237305	893.6025390625
12	2.5626970142877923	203.1968715680714	5.896440505981445	814.0428466796875
13	3.642262878127042	165.52819367783377	5.523764610290527	736.3343505859375
14	6.2772618337485255	921.6243649484568	0.028357546776533127	996.533203125
15	2.5839491841916242	227.9282817067724	3.430553913116455	835.68212890625
16	5.9017432499988445	574.932989720779	2.4648630619049072	914.0861206054688
17	5.543719909956565	411.0422753804014	3.7063546180725098	857.8104248046875
18	4.582922556003041	159.9541190163145	7.4315104484558105	700.907958984375
19	3.042282264000974	223.19874320421604	4.417212963104248	814.815185546875
20	3.9552858043009564	547.2360020746455	1.0434454679489136	958.3927001953125
21	3.1913462047105554	492.3901137022767	0.7523132562637329	963.044921875
22	4.410925904231192	453.3442204195453	1.614282488822937	907.8728637695312
23	3.0340950595228264	253.32143553696005	5.114590167999268	839.6362915039062
24	8.744923560229893	358.8331601493737	5.581552505493164	762.0391845703125
25	2.837677935306843	226.18214980777793	3.6058781147003174	824.71875
26	5.25606357091624	292.28178232326536	5.806108474731445	799.2171630859375
27	6.166468506035528	375.22279469878777	5.016401290893555	824.8285522460938
28	3.4509296691426385	261.0552922081879	5.351568222045898	831.1849975585938
29	5.050338666533435	251.79799512627596	5.021676540374756	775.827880859375
30	2.107684786393804	217.916843571762	3.3142919540405273	845.4721069335938
31	3.984286511992252	447.2259947761813	1.3302098512649536	918.3297729492188
32	3.7341273281713825	275.0878182626948	5.987767219543457	831.9267578125
33	7.1083181792912455	297.31407774984837	5.7842841148376465	758.3305053710938
34	2.9729281602058677	410.9565872931853	1.955655813217163	935.7154541015625
35	3.171907562208176	420.21598312553033	1.7400089502334595	932.888916015625
36	9.209954922495456	470.4602602158011	3.608532190322876	806.16015625
37	4.866048251117036	371.9633059750922	4.155850410461426	856.5277099609375
38	4.623355466364046	477.36850666124155	1.6672307252883911	911.8275146484375
39	6.0911284185841055	325.1988226443391	4.455852031707764	798.8690795898438
40	2.8613305689863324	503.3261200632296	0.4700748324394226	978.9703369140625
41	3.235421521419596	219.4241415106526	4.290914058685303	804.7258911132812
42	5.185744007759752	274.13674912886927	4.85504674911499	788.672607421875
43	9.707804926824792	1068.2010923344787	0.7087845802307129	956.4188232421875
44	3.781295247059461	268.94134462281727	4.4378662109375	826.0142211914062
45	4.39933158275403	411.18335536966333	3.8678994178771973	889.4498901367188
46	5.105435183504824	444.09713170958275	2.9708290100097656	884.4730224609375
47	2.442238923368123	229.73368249248688	5.0571699142456055	842.566650390625
48	3.3182581196786174	267.11878752744815	4.511368751525879	839.9959716796875
49	2.756925498486055	205.1108751117581	5.070988178253174	808.7166748046875
50	5.4064201504318135	609.4328207326507	1.6781638860702515	937.863525390625
51	14.016593074695493	528.4074078715057	5.860489845275879	756.6580200195312
52	4.557862541633369	614.9494289938048	0.332895427942276	962.7905883789062
53	4.52946684902804	346.4573630761006	2.948631763458252	852.263671875
54	3.3403727557472394	437.4434865015937	2.21864652633667	934.9330444335938
55	4.328843875297025	122.35118236218477	6.836121559143066	656.3216552734375
56	3.6702854348646383	234.71635829468505	4.245805740356445	803.2584228515625
57	6.46612501261211	227.64815587201247	6.629014492034912	720.8963012695312
58	6.245045452124543	449.0683425519128	3.2746198177337646	857.7747802734375
59	8.510130081067985	846.0714271345787	3.4764037132263184	932.8178100585938
60	2.8352530351212977	306.9297648365646	3.285290241241455	883.9283447265625
61	8.31492069050006	572.2069182832238	4.632471084594727	860.7005004882812
62	4.408799052948837	511.9309314078746	2.703810453414917	931.5868530273438
63	2.163340782070918	244.7663377282188	3.085132598876953	865.727294921875
64	5.653927112832719	252.3806209334325	6.009997367858887	760.5042724609375
65	8.46375788040774	287.51742829635987	5.590432643890381	724.4102783203125
66	6.216747999203619	419.58781789249406	2.754126787185669	845.3235473632812
67	6.315592061600967	346.3858653814859	5.311836242675781	805.7767944335938
68	3.62742496521129	367.6947863607202	3.0266106128692627	891.613525390625
69	4.357791027872793	326.7590915237124	4.114676475524902	846.0071411132812
70	2.739713495456627	321.1036394658149	2.685061454772949	896.2853393554688
71	6.613719866728388	496.1249657592307	4.908323287963867	868.5742797851562
72	3.8145012247417895	369.6067267097533	2.157315969467163	886.646728515625
73	10.194533917640968	239.2047545446585	8.772929191589355	658.05078125
74	4.525087898224456	257.30414695391664	4.051147937774658	794.74560546875
75	2.7487592141488335	314.5599473062939	1.491075038909912	892.0299682617188
76	5.514191431348593	597.22962774396	2.031914472579956	931.14794921875
77	4.043067845066673	227.75392768091115	5.524022579193115	785.5918579101562
78	6.889523550184094	524.4147871508176	3.776052951812744	873.1827392578125
79	2.9357935046608787	253.9815943372705	5.772299766540527	843.6756591796875
80	6.152452000656069	226.56540407078865	4.7991814613342285	727.3013916015625
81	4.759831496780919	349.5980126420036	3.719632625579834	847.5853881835938
82	7.576932514642124	639.7910991265999	2.419677734375	897.0706176757812
83	4.37759631683781	403.70114913675934	2.343768835067749	886.5643310546875
84	5.167251962484443	201.94242341447625	5.248432159423828	729.8777465820312
85	1.9953381752714137	234.2301608589196	0.8582615256309509	863.992919921875
86	2.6192254331914597	340.17600887100343	0.7404203414916992	911.9777221679688
87	2.8442069015000015	319.0177078855377	1.9708564281463623	891.1566162109375
88	6.1162634428392835	273.44785171096737	5.695091247558594	764.6408081054688
89	5.591407308366399	207.4972309493205	7.191380977630615	724.0762329101562
90	6.728533483533283	384.25983680790523	5.170444488525391	816.401611328125
