gene,species,replicate,exprval
2,5170,R1,0
2,5174,R1,0
2,5175,R1,17
2,5180,R1,2
2,5181,R1,6
2,5182,R1,6
2,5189,R1,1
2,5190,R1,0
2,5193,R1,3
2,5196,R1,0
2,5197,R1,6
2,5206,R1,7
2,5209,R1,7
2,5211,R1,0
2,5215,R1,6
2,5237,R1,4
2,5238,R1,5
2,5239,R1,4
2,5240,R1,4
2,5242,R1,5
2,5244,R1,11
2,5245,R1,7
2,5249,R1,3
2,5254,R1,0
2,5255,R1,0
2,5259,R1,3
2,5261,R1,16
2,5265,R1,2
2,5268,R1,4
2,5271,R1,8
2,5275,R1,0
2,5282,R1,0
2,5288,R1,12
2,5289,R1,2
2,5295,R1,5
2,5297,R1,0
2,5298,R1,0
2,5301,R1,0
2,5303,R1,3
2,5304,R1,8
2,5312,R1,0
2,5318,R1,3
2,5322,R1,0
2,5324,R1,0
2,5325,R1,6
2,5327,R1,5
2,5333,R1,0
2,5336,R1,0
2,5339,R1,0
2,5341,R1,3
2,5345,R1,0
2,5346,R1,0
2,5348,R1,6
2,5349,R1,10
2,5351,R1,0
2,5353,R1,7
2,5356,R1,12
2,5357,R1,4
2,5364,R1,4
2,5365,R1,3
2,5366,R1,2
2,5371,R1,5
2,5375,R1,5
2,5378,R1,8
2,5383,R1,0
2,5385,R1,3
2,5391,R1,4
2,5400,R1,1
2,5401,R1,2
2,5402,R1,4
2,5404,R1,0
2,5405,R1,0
2,5407,R1,1
2,5421,R1,8
2,5426,R1,8
2,5436,R1,6
2,5438,R1,7
2,5443,R1,5
2,5447,R1,5
2,5449,R1,6
2,5450,R1,8
2,5461,R1,6
2,5462,R1,6
2,5464,R1,4
2,5465,R1,4
2,5470,R1,5
2,5475,R1,15
2,5479,R1,3
2,5483,R1,8
2,5484,R1,8
2,5485,R1,5
2,5487,R1,6
2,5490,R1,7
2,5491,R1,11
2,5495,R1,7
2,5499,R1,5
2,5510,R1,3
2,5515,R1,9
2,5517,R1,5
2,5518,R1,6
2,5522,R1,9
2,5523,R1,3
2,5525,R1,6
2,5527,R1,5
2,5528,R1,8
2,5529,R1,9
2,5531,R1,6
2,5533,R1,10
2,5538,R1,9
2,5540,R1,8
3,4895,R1,21
3,4903,R1,5
3,4905,R1,14
3,4909,R1,1
3,4910,R1,1
3,4915,R1,2
3,4916,R1,6
3,4918,R1,15
3,4919,R1,7
3,4921,R1,5
3,4929,R1,0
3,4930,R1,1
3,4934,R1,6
3,4942,R1,5
3,4945,R1,3
3,4951,R1,9
3,4956,R1,0
3,4959,R1,12
3,4966,R1,5
3,4967,R1,15
3,4972,R1,2
3,4977,R1,2
3,4979,R1,4
3,4981,R1,17
3,4983,R1,2
3,4984,R1,1
3,4990,R1,4
3,4991,R1,13
3,4995,R1,5
3,4996,R1,9
3,4997,R1,4
3,5000,R1,5
3,5002,R1,4
3,5011,R1,6
3,5014,R1,12
3,5017,R1,17
3,5019,R1,1
3,5020,R1,2
3,5022,R1,11
3,5025,R1,5
3,5026,R1,10
3,5027,R1,15
3,5033,R1,11
3,5040,R1,13
