node_name	is_leaf	infer_mu	infer_var
c0	False	2.444454769058672	17.40756283268681
c6	False	2.445749776234689	38.110110963803876
c20	False	2.801080986898997	45.825394263647794
c31	False	3.0878018992991274	49.09793869147566
c124	False	3.6802769397503474	54.39953645742694
c183	False	3.9150172505199863	46.815948774784275
c1340	False	4.265450783767676	43.6169486398448
c2199	False	4.035534749214804	33.84166461853564
c5171	True	3.839326718160429	2.331834154546899
c3711	False	3.9233435332945574	17.66803251184347
c5004	True	3.563064983389702	1.5623346592008254
c5215	True	4.208827939252582	1.3217180241438096
c2884	False	4.727753733503813	23.69531925359032
c3159	False	4.548081403349055	17.265203879820312
c4378	False	4.420523177736803	9.052844847761188
c5183	True	4.595506839526966	0.8647069268166203
c5184	True	4.1817604031405144	0.958358647275846
c3890	False	4.432188186000424	14.663031289791906
c5058	True	4.412547400324004	1.3677843466149862
c4920	True	4.220042536979582	1.439678860237794
c5214	True	5.9087460038589805	1.7596214189453323
c226	False	3.993450346655063	45.22117375868565
c283	False	4.173591459106979	46.126777583755015
c795	False	4.965541337368822	60.08932138330678
c3643	False	7.31349149683474	14.441835980666038
c4323	False	7.44167649202289	8.5997176000498
c5141	True	7.315976024897287	0.9771231634703942
c5142	True	7.695561954336647	0.9175990105967429
c4324	False	7.446189852698357	8.59536915950102
c5391	True	7.377552402765216	0.9591195912424854
c5392	True	7.647525658495114	0.9100192561714895
c4997	True	4.273686641019439	3.3680113114098047
c908	False	4.084359673539256	45.91252757040876
c1366	False	3.7911510703723925	37.58477857780708
c1691	False	3.4379145120163126	37.34890817450523
c4534	False	2.380106409970804	9.879193909201607
c5259	True	1.9298463771210683	1.0370161467196743
c5260	True	2.654065092479621	0.7696155603963056
c4586	False	2.376303263925337	9.888768217790954
c4989	True	2.648701853812791	0.7863761085009139
c4990	True	1.9269694660227208	1.0614311075741758
c3625	False	5.030944611008283	15.944813551720454
c4263	False	5.059639816189824	8.752431340206616
c5255	True	4.9805099606231815	0.9058987531765488
c5256	True	5.16746487693801	0.8466082779726248
c5246	True	5.386818714190493	1.3745764307148414
c5122	True	5.371939118238137	2.930389482503825
c2632	False	2.7729541508529807	23.643300345999176
c3371	False	2.7921899235996275	18.182716799364123
c3713	False	2.6435697134118596	14.877737188544263
c5024	True	2.188988661659052	1.4147910058183892
