Using device: cuda

treem1_mig1e-2_k1e3_f1_p0.3, gene batch 0-99: ['    1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100']
default result: 0	    1	7.4185066	5.995636463165283	15.91268253326416	-1747.9757	-1751.4742	3.4985352	0.06142313622657225
default result: 1	2	5.8976703	4.54867696762085	15.64475154876709	-1749.0828	-1751.9569	2.8741455	0.09001274181746122
default result: 2	3	5.4405966	4.369471549987793	12.316422462463379	-1431.1111	-1434.6389	3.527832	0.06034664658867772
default result: 3	4	6.5280147	5.366687774658203	15.62831974029541	-1842.7499	-1845.3761	2.6262207	0.105111640052173
default result: 4	5	6.530201	5.6027960777282715	12.922268867492676	-1711.3052	-1714.758	3.4528809	0.06314162569331039
default result: 5	6	3.6911755	2.172750949859619	12.060059547424316	-937.16095	-946.4795	9.3185425	0.002268463701415424
default result: 6	7	6.7127366	5.14165735244751	14.463386535644531	-1441.3529	-1448.8824	7.529541	0.006069536893975713
default result: 7	8	4.6901703	3.1693804264068604	13.29405403137207	-1234.7643	-1238.387	3.6226807	0.05699696510268637
default result: 8	9	4.421687	3.1767215728759766	12.947659492492676	-1282.1249	-1285.3784	3.25354	0.07126937802833955
default result: 9	10	0.8317297	-1.308381199836731	12.753538131713867	-698.69525	-705.213	6.517761	0.010680236498201379
default result: 10	11	3.6767542	2.207061767578125	13.660040855407715	-1131.762	-1135.1067	3.3447266	0.06742067956181086
default result: 11	12	3.379085	0.8854538798332214	14.342775344848633	-942.98535	-951.2835	8.298157	0.003968533722365053
default result: 12	13	1.7953204	-0.25854167342185974	15.718348503112793	-987.5835	-995.59174	8.00824	0.004656497893639755
default result: 13	14	-0.58573866	-3.0324862003326416	13.643155097961426	-572.5403	-586.6108	14.070496	0.00017608438678062832
default result: 14	15	4.0068693	2.597565174102783	14.011722564697266	-1310.2668	-1315.3696	5.102783	0.023887485337148573
default result: 15	16	8.48381	7.758182048797607	13.20767879486084	-2208.8381	-2210.0803	1.2421875	0.265049885356212
default result: 16	17	6.6432376	5.766275882720947	12.735177040100098	-1591.4211	-1594.2156	2.7944336	0.09459218635732525
default result: 17	18	4.5253105	2.6866166591644287	16.428586959838867	-1224.8519	-1233.6696	8.817627	0.0029833439645144955
default result: 18	19	2.2998815	0.1471390724182129	15.316394805908203	-911.6628	-917.8804	6.2175903	0.012648714907316227
default result: 19	20	6.9568205	6.010551452636719	12.634465217590332	-1560.6652	-1563.5997	2.9345703	0.08670173013235072
default result: 20	21	5.0981236	3.657357931137085	20.3543758392334	-1880.3033	-1882.4473	2.143921	0.14313564840537996
default result: 21	22	5.024461	3.283888339996338	14.57323169708252	-1332.1082	-1338.0542	5.946045	0.014750344550286343
default result: 22	23	6.2962127	4.760828495025635	18.166040420532227	-1829.0259	-1833.4634	4.4375	0.0351576941820414
default result: 23	24	5.213018	3.6348414421081543	15.940445899963379	-1591.445	-1600.0758	8.630859	0.0033051561787211803
default result: 24	25	0.83594483	-1.2115572690963745	13.31025505065918	-600.94666	-611.7446	10.797974	0.0010161125931780202
default result: 25	26	6.019335	4.884181976318359	12.815343856811523	-1443.4418	-1446.8439	3.4020996	0.0651134887223348
default result: 26	27	3.9812527	1.825087308883667	16.06129264831543	-1310.5082	-1314.8925	4.3842773	0.03627186520406023
default result: 27	28	4.3025336	2.082576036453247	17.237075805664062	-1473.245	-1480.0282	6.783203	0.009201961331523734
default result: 28	29	2.6414902	1.2549245357513428	12.042033195495605	-917.3418	-924.0082	6.666382	0.00982484461661115
default result: 29	30	8.6144495	7.09639310836792	16.59575080871582	-2331.6057	-2336.7144	5.1086426	0.02380693971664516
default result: 30	31	4.488529	2.8716776371002197	13.769189834594727	-1086.2786	-1093.6345	7.355957	0.006684092136239106
default result: 31	32	9.254448	8.140677452087402	15.19925308227539	-2223.3066	-2233.6392	10.33252	0.001307066607389329
default result: 32	33	4.552874	2.8415963649749756	13.673593521118164	-1181.6554	-1186.6444	4.9890137	0.025508744785726845
default result: 33	34	3.2340188	1.395983099937439	13.007925033569336	-946.6246	-952.5743	5.949707	0.014719732271964325
default result: 34	35	7.1506114	6.050394058227539	14.288847923278809	-1817.81	-1821.6384	3.8283691	0.05039194184400031
default result: 35	36	7.1108828	6.238513469696045	13.011563301086426	-1710.3763	-1713.9196	3.543213	0.059789541850995276
default result: 36	37	5.686139	3.964451789855957	15.695257186889648	-1818.8546	-1822.6005	3.7458496	0.052938807632267215
default result: 37	38	5.21153	3.134852647781372	18.936460494995117	-1580.548	-1585.1597	4.6116943	0.0317546436117121
default result: 38	39	5.2652726	3.634770631790161	16.636180877685547	-1687.7687	-1691.8807	4.1120605	0.042578456349175564
default result: 39	40	4.7460427	2.921034812927246	15.8161039352417	-1484.5743	-1488.6907	4.116333	0.04247104274353841
default result: 40	41	9.107075	8.380556106567383	13.117807388305664	-2118.6167	-2121.9407	3.3239746	0.06827657758889472
default result: 41	42	2.9053493	0.8124192953109741	15.487422943115234	-1084.6599	-1088.9402	4.2802734	0.03855714503453267
