	Malat1	Tubb5	Sox4	Tuba1a	Tubb2b	Ppia	Ubb	C1ql1	Actg1	Rtn1	Calm1	Meg3	Tubb2a	Stmn1	Actb	Tmsb10	Nfia	Nnat	Stmn3	Atp5f1	Ftl1	Tubb3	Eef1a1	Gapdh	mt-Atp6	Tmsb4x	Ndufa4	Rpl41	Ddc	Rpl13	Mab21l2	Tubb4b	Hist3h2ba	Atxn10	Prmt1	Prdx2	Eif4a1	Ly6h	Wnt7b	Eno1	Ywhaq	Pcdh10	Rpsa	Basp1	Mdh2	Ndfip1	Rps24	Rpl7	Snap47	Atp5h	Rps3a1	Atpif1	Slc25a4	Rps29	Ywhae	Jpt1	Cox6c	Calm2	Hsp90aa1	Wnt5a	Rps2
E15_rep1_clone00847	190	32	10	125	62	32	53	6	44	53	9	55	28	72	40	56	0	63	10	3	13	35	37	15	38	66	6	15	0	20	2	4	8	4	5	11	10	17	0	0	6	1	16	23	6	7	15	3	1	2	14	4	11	11	14	16	6	25	3	0	17
E15_rep1_clone00849	194	49	21	54	46	71	41	9	58	46	36	31	18	133	21	158	1	65	28	7	34	21	64	12	96	112	17	45	7	35	0	2	11	3	1	18	2	16	0	0	8	3	51	37	1	7	51	22	1	8	48	22	15	28	17	19	21	20	14	0	55
E15_rep1_clone00850	137	19	3	74	61	25	40	9	27	37	12	33	23	64	27	40	0	24	16	7	7	13	23	15	56	18	5	12	0	12	0	1	7	4	0	9	2	19	0	0	2	0	22	18	1	4	12	9	7	2	12	4	9	15	9	11	12	18	12	0	23
E15_rep1_clone00851	384	27	6	86	69	46	53	12	88	55	23	19	7	75	93	117	30	90	16	10	62	31	97	15	99	209	17	64	5	44	0	1	4	5	4	20	2	21	0	6	15	0	38	64	4	13	45	14	2	11	27	26	24	39	18	32	17	20	12	2	52
E15_rep1_clone00853	119	62	7	88	48	49	37	0	67	48	31	39	12	168	20	272	0	81	28	13	62	13	41	24	78	236	25	51	6	41	0	2	6	6	4	14	5	28	0	3	7	2	61	61	5	6	49	15	5	8	18	22	24	33	13	43	19	7	5	2	42
E15_rep1_clone00854	234	29	2	73	70	61	66	5	60	69	32	34	20	112	69	137	6	129	25	9	72	13	94	13	73	167	32	65	0	54	0	1	6	1	2	25	4	28	0	0	7	0	46	42	5	7	49	22	5	14	35	21	26	34	26	22	19	29	9	4	53
E15_rep1_clone00855	135	23	15	74	34	46	42	17	44	42	18	28	22	164	34	173	0	109	26	3	31	22	27	12	71	224	13	28	5	22	0	2	4	4	8	12	3	31	0	0	6	1	22	56	2	12	29	6	3	7	18	10	18	29	14	31	13	18	14	1	31
E15_rep1_clone00858	209	51	16	147	123	68	54	5	76	38	22	33	39	111	116	95	0	54	20	8	35	32	35	16	60	69	10	14	0	19	0	3	5	5	4	22	8	5	0	1	7	1	23	32	4	9	16	8	5	9	12	6	19	10	20	23	13	15	15	0	21
E15_rep1_clone00859	150	36	4	60	56	66	52	23	70	64	28	41	29	133	62	185	8	107	27	7	40	22	89	15	109	128	10	62	0	56	0	2	21	2	4	22	7	60	3	0	6	4	52	44	7	12	37	19	1	11	23	9	16	35	15	21	21	15	18	0	40
E15_rep1_clone00860	116	33	17	49	39	26	28	0	33	36	9	26	10	70	18	109	0	31	19	1	26	19	44	12	85	91	15	17	0	20	0	2	7	2	3	6	4	12	0	0	3	4	24	28	0	7	24	14	3	9	17	13	15	11	6	19	6	10	6	0	19
E15_rep1_clone00861	181	43	10	72	61	43	89	0	74	88	29	58	34	147	59	150	0	56	34	18	36	29	56	19	182	154	26	38	0	26	0	0	6	5	7	25	8	20	5	0	15	9	42	61	5	11	37	12	3	17	21	16	18	17	17	37	18	28	16	3	24
E15_rep1_clone00866	100	8	2	35	21	11	13	18	5	23	4	20	5	24	9	24	2	39	5	4	15	10	14	7	33	19	4	11	0	10	0	0	0	1	2	2	1	10	0	0	2	1	10	20	1	2	11	6	2	5	7	7	5	3	3	10	3	1	6	0	6
E15_rep1_clone00870	286	28	3	66	93	27	33	36	41	51	3	37	25	80	62	71	0	82	18	5	22	22	51	6	69	40	7	16	0	25	0	1	4	2	1	16	6	16	0	0	8	0	27	35	5	3	26	6	8	4	13	11	7	16	11	13	8	17	9	0	10
E15_rep1_clone00871	205	70	20	204	137	70	67	0	99	91	34	63	45	169	56	261	0	170	54	13	101	57	69	26	93	180	18	59	2	66	0	3	10	7	10	30	13	30	5	1	19	9	57	76	6	19	63	22	5	13	36	28	32	43	28	50	17	17	16	2	71
E15_rep1_clone00876	236	64	22	134	126	51	55	29	91	46	29	37	37	186	69	170	0	90	36	6	61	60	72	16	157	145	20	52	0	33	0	6	15	3	3	16	5	22	0	4	15	0	41	79	4	17	39	18	10	10	28	24	18	30	26	41	17	25	14	0	33
E15_rep1_clone00878	291	76	28	83	133	64	40	0	87	40	38	76	30	176	34	222	0	105	39	16	76	48	131	9	116	160	20	49	3	53	0	4	15	5	7	17	3	27	0	3	17	0	39	45	6	14	62	21	7	11	34	26	23	37	24	37	20	26	17	0	41
E15_rep1_clone00880	173	24	17	73	96	48	30	0	56	34	9	18	19	76	65	131	0	33	17	10	36	25	43	8	85	69	21	31	0	23	3	0	7	3	1	15	5	26	0	1	10	1	28	38	6	5	15	13	2	7	13	11	21	11	10	23	11	16	4	0	26
E15_rep1_clone00881	209	12	8	16	41	14	11	17	26	31	11	54	5	50	63	88	5	39	5	5	17	8	33	6	104	44	9	35	0	15	0	1	3	4	1	9	2	19	0	0	5	3	14	25	0	6	21	3	1	2	13	5	8	15	4	12	6	9	5	0	14
E15_rep1_clone00887	127	28	22	89	39	46	27	0	57	39	27	52	10	105	31	187	0	70	24	7	71	13	61	11	129	141	12	37	1	35	0	0	11	7	4	16	4	13	7	0	6	5	52	50	3	5	34	24	1	8	15	18	9	30	13	26	22	27	7	2	30
E15_rep1_clone00888	250	61	18	109	118	88	48	1	82	53	32	112	19	151	37	238	0	141	47	9	57	33	131	20	177	141	19	51	11	67	0	2	18	4	5	25	5	41	0	1	12	1	53	46	3	13	44	18	3	14	32	21	24	33	16	32	27	25	9	2	59
E15_rep1_clone00890	313	0	8	36	24	14	31	0	27	0	50	2	6	2	21	8	2	0	1	4	16	0	15	8	30	200	9	28	0	11	0	6	0	7	0	4	1	9	0	2	3	2	10	8	4	8	10	9	2	9	7	5	8	7	13	5	15	4	12	0	14
E15_rep1_clone00892	276	147	17	416	228	108	115	10	136	103	54	61	86	264	120	259	0	59	76	14	58	112	73	35	124	191	31	51	0	52	1	5	8	10	18	47	18	19	0	9	21	0	48	84	5	29	53	15	14	18	30	42	40	33	36	56	22	35	14	0	53
E15_rep1_clone00893	201	21	1	55	43	34	44	18	32	39	6	57	13	84	51	84	3	83	12	1	27	19	48	7	28	38	10	33	0	29	1	1	5	3	2	6	4	27	0	0	4	0	18	30	2	8	17	8	2	7	14	8	10	12	20	10	8	17	7	0	22
E15_rep1_clone00895	217	46	4	59	116	42	33	0	45	32	13	50	20	103	28	83	0	57	20	7	19	42	45	10	48	51	9	18	1	17	0	2	2	6	0	16	2	16	0	0	9	0	26	21	4	3	20	11	3	7	14	10	9	6	15	17	12	14	7	0	18
E15_rep1_clone00896	178	12	12	36	19	16	24	0	43	29	11	40	6	76	50	57	0	82	18	5	20	9	18	6	64	71	8	15	0	15	0	1	2	1	1	16	3	6	1	0	9	9	22	32	4	7	15	5	3	4	12	12	9	11	14	14	10	13	10	1	14
E15_rep1_clone00901	215	25	17	83	54	58	35	0	84	48	22	33	14	119	45	172	0	29	21	3	55	14	25	16	172	140	26	49	0	35	0	0	5	4	4	14	10	27	0	2	14	4	25	51	6	8	38	14	4	9	15	19	17	37	7	33	9	19	3	0	21
E15_rep1_clone00902	180	38	11	89	56	51	47	0	56	41	16	33	38	133	99	182	0	45	27	6	55	18	53	15	131	143	26	34	1	37	0	1	1	4	2	20	2	24	10	1	8	0	48	59	2	8	37	12	0	11	29	20	16	33	19	30	18	19	11	1	24
E15_rep1_clone00906	379	79	26	119	191	99	95	41	123	104	43	79	32	221	56	340	3	150	54	16	74	51	164	20	219	155	32	80	3	83	0	6	15	3	7	47	8	43	0	2	27	10	84	96	10	16	77	38	3	12	64	35	23	49	21	66	32	56	38	0	63
E15_rep1_clone00909	177	55	19	116	96	67	39	0	59	61	29	42	31	98	56	138	0	37	33	6	45	41	65	12	114	67	15	30	1	26	0	4	10	6	2	20	4	20	0	0	14	1	43	45	4	9	27	14	5	9	21	16	25	24	14	22	21	16	5	0	27
E15_rep1_clone00910	188	121	7	366	180	95	142	0	86	112	35	25	76	215	154	238	0	138	44	15	65	85	78	21	171	198	24	71	0	31	0	8	16	10	12	33	13	50	0	8	20	0	47	121	8	27	57	16	16	12	27	28	32	30	33	46	21	60	15	0	50
E15_rep1_clone00911	230	34	1	79	59	83	84	0	62	94	27	57	42	187	86	154	0	139	39	11	31	38	39	17	66	120	15	31	0	39	0	0	21	6	5	25	3	25	0	1	21	1	41	84	13	20	37	10	6	12	17	29	20	23	24	34	13	46	26	0	36
E15_rep1_clone00914	205	32	15	58	31	23	20	0	59	74	9	58	9	73	16	113	0	64	19	6	67	23	50	5	103	99	16	55	0	57	0	1	7	4	3	8	3	28	0	0	14	1	33	57	3	9	39	12	5	7	21	30	20	22	11	28	15	4	4	3	36
E15_rep1_clone00915	217	136	6	457	263	129	141	0	111	145	54	53	116	252	264	207	0	179	61	23	50	131	94	31	116	166	31	41	0	49	0	11	25	10	14	44	23	45	0	5	28	4	56	154	12	19	55	16	14	24	28	35	40	32	47	46	23	51	27	0	45
E15_rep1_clone00916	221	43	1	102	53	47	44	0	42	49	17	38	12	108	47	156	0	94	21	10	49	16	62	8	91	91	25	53	3	44	0	4	7	4	4	19	3	15	0	4	5	3	48	30	2	8	36	13	5	11	25	17	12	19	17	27	17	14	6	5	29
E15_rep1_clone00917	424	0	4	13	15	12	22	0	24	5	42	2	5	3	60	13	5	2	0	4	31	0	32	5	103	254	8	55	0	27	0	3	3	3	1	12	0	8	0	0	9	3	37	12	1	4	45	13	3	3	18	6	3	32	9	1	13	3	8	1	35
E15_rep1_clone00920	162	124	17	381	210	84	100	0	156	80	34	33	72	226	111	231	0	164	38	16	97	85	49	43	151	176	23	73	9	53	0	1	17	12	20	45	21	27	1	4	29	10	41	69	5	19	56	17	10	14	40	25	29	28	37	58	14	29	25	2	49
