	Malat1	Tubb5	Sox4	Tuba1a	Tubb2b	Ppia	Ubb	C1ql1	Actg1	Rtn1	Calm1	Meg3	Tubb2a	Stmn1	Actb	Tmsb10	Nfia	Nnat	Stmn3	Atp5f1	Ftl1	Tubb3	Eef1a1	Gapdh	mt-Atp6	Tmsb4x	Ndufa4	Rpl41	Ddc	Rpl13	Mab21l2	Tubb4b	Hist3h2ba	Atxn10	Prmt1	Prdx2	Eif4a1	Ly6h	Wnt7b	Eno1	Ywhaq	Pcdh10	Rpsa	Basp1	Mdh2	Ndfip1	Rps24	Rpl7	Snap47	Atp5h	Rps3a1	Atpif1	Slc25a4	Rps29	Ywhae	Jpt1	Cox6c	Calm2	Hsp90aa1	Wnt5a	Rps2
E15_rep1_clone00713	281	140	7	430	269	163	159	26	165	144	72	101	87	297	184	281	1	176	45	26	63	110	120	33	232	182	34	81	0	67	1	19	35	16	15	53	25	48	0	8	29	4	68	139	12	37	67	29	20	17	41	39	43	44	40	68	27	55	44	1	59
E15_rep1_clone00716	162	44	11	95	82	39	42	39	51	50	17	23	8	138	51	113	1	32	17	5	50	31	65	4	122	66	6	34	1	39	0	1	10	3	3	21	2	33	0	0	10	0	24	35	6	6	24	13	2	7	34	9	18	22	13	22	6	9	5	1	27
E15_rep1_clone00717	84	87	9	261	145	95	108	0	108	91	33	16	72	161	151	181	0	80	28	12	52	62	77	18	100	121	31	37	0	36	0	8	23	11	13	32	18	31	0	9	16	0	36	64	12	19	38	14	9	16	32	31	23	34	27	37	21	52	25	0	46
E15_rep1_clone00719	537	79	18	111	140	108	86	0	108	107	36	88	22	255	60	294	7	274	46	19	105	27	189	23	220	360	43	121	0	137	0	3	35	6	8	28	16	29	1	1	22	1	121	127	6	12	134	54	7	16	89	26	43	73	33	60	24	37	8	2	118
E15_rep1_clone00721	458	56	21	183	115	69	88	3	99	67	35	55	50	165	85	193	7	100	24	13	52	56	85	19	178	158	29	52	3	53	0	3	10	6	9	34	12	23	0	1	19	6	59	77	9	16	45	15	6	23	38	26	28	41	20	51	22	25	19	3	50
E15_rep1_clone00724	197	106	14	311	137	102	92	0	83	126	39	41	78	176	100	163	0	76	41	12	39	80	47	24	105	109	20	52	0	38	0	12	22	9	13	36	11	35	0	7	21	2	38	82	5	25	27	14	16	12	17	26	24	30	36	37	8	36	13	0	36
E15_rep1_clone00725	256	25	14	82	60	60	40	0	46	51	28	67	23	134	71	174	0	45	24	9	46	18	48	11	103	142	20	30	2	43	0	2	11	8	1	18	4	24	9	3	12	10	28	54	2	7	28	11	3	7	22	21	17	32	18	43	20	18	6	6	27
E15_rep1_clone00726	271	45	24	103	77	80	45	3	89	58	30	50	22	185	47	252	0	99	42	8	66	38	65	10	199	186	22	44	2	41	0	1	13	7	7	21	4	22	1	1	17	6	47	40	5	10	40	19	5	13	29	21	11	32	23	47	17	31	14	4	43
E15_rep1_clone00731	193	142	7	460	242	138	176	0	221	139	63	61	93	379	205	339	0	242	98	38	80	135	79	50	262	387	50	76	9	62	0	17	17	11	24	57	23	53	8	4	48	9	86	124	15	48	73	28	15	26	51	62	41	39	58	84	40	49	44	3	65
E15_rep1_clone00732	412	0	2	22	16	17	30	0	40	3	38	0	5	6	45	17	5	1	1	4	25	0	17	13	27	252	6	36	0	26	0	1	2	5	2	14	1	6	1	2	4	7	14	15	2	8	14	8	0	7	13	5	11	19	11	1	7	3	10	5	13
