"gene","ou1_conv","ou1_theta","ou1_alpha","ou1_sigma_sq","ou1_gamma","ou1_loglik","ou2_conv","ou2_theta","ou2_alpha","ou2_sigma_sq","ou2_gamma","ou2_loglik","brown_conv","brown_theta","brown_sigma_sq","brown_gamma","brown_loglik","ou2_vs_bm_pvalue","ou2_vs_ou1_pvalue","qvalue","adaptive"
1,1,2.09926298891934,0.0357699356094339,0.135886462116309,19.0793247255368,-403.712216085886,1,1.82170069102079,0.164443490044708,0.611929840402784,3.05854217607318,-398.450850229588,1,2.08554854747045,0.0511382758992976,57.254319801092,-404.041810645145,0.00373144240785939,0.000825982175315376,0.00373144240785939,"True"
1,1,2.09926298891934,0.0357699356094339,0.135886462116309,19.0793247255368,-403.712216085886,1,3.86319667491753,0.164443490044708,0.611929840402784,3.05854217607318,-398.450850229588,1,2.08554854747045,0.0511382758992976,57.254319801092,-404.041810645145,0.00373144240785939,0.000825982175315376,0.00373144240785939,"True"
2,1,3.10180207856698,0.0273991427412266,0.341581205535212,8.62971171774741,-445.15886518736,1,2.71902786935821,0.0787167695521474,0.632440093835292,3.97392970021569,-441.097895889772,1,3.06314160750218,0.190632183716775,17.6699892185417,-445.628396029694,0.0107752855743637,0.00261119090973649,0.0107752855743637,"True"
2,1,3.10180207856698,0.0273991427412266,0.341581205535212,8.62971171774741,-445.15886518736,1,6.44816334954449,0.0787167695521474,0.632440093835292,3.97392970021569,-441.097895889772,1,3.06314160750218,0.190632183716775,17.6699892185417,-445.628396029694,0.0107752855743637,0.00261119090973649,0.0107752855743637,"True"
3,1,1.42910774904253,0.0398537369331592,0.200940951034735,5.28042645089394,-361.236566074588,1,1.49604269737834,0.0418748825954082,0.206470583312499,5.09656197231377,-361.112644791603,1,1.43251713943185,0.0935508292565872,14.0870249294202,-362.132733791761,0.360562848594566,0.15319171926226,0.360562848594566,"False"
3,1,1.42910774904253,0.0398537369331592,0.200940951034735,5.28042645089394,-361.236566074588,1,0.829039190284619,0.0418748825954082,0.206470583312499,5.09656197231377,-361.112644791603,1,1.43251713943185,0.0935508292565872,14.0870249294202,-362.132733791761,0.360562848594566,0.15319171926226,0.360562848594566,"False"
4,1,1.33050112298262,0.0314154342865528,0.0877587833514854,14.983815663303,-346.093752429369,1,1.05017861485915,0.115111107812524,0.241758033415541,4.40713590956244,-340.874577350206,1,1.33596808021681,0.0423007811878311,34.5424285487187,-346.578801691287,0.00333186077061254,0.000731108555640514,0.00333186077061254,"True"
4,1,1.33050112298262,0.0314154342865528,0.0877587833514854,14.983815663303,-346.093752429369,1,2.77846255313696,0.115111107812524,0.241758033415541,4.40713590956244,-340.874577350206,1,1.33596808021681,0.0423007811878311,34.5424285487187,-346.578801691287,0.00333186077061254,0.000731108555640514,0.00333186077061254,"True"
5,1,2.27283733563485,0.0435496761727702,0.216822851567385,10.4716600440644,-405.801730323971,1,1.92999771405356,0.125389483420759,0.546749448205768,3.30573852344182,-401.732177865171,1,2.27449710685367,0.0813640432009063,33.0948642473985,-406.853497010724,0.00596814484826724,0.0013723116986043,0.00596814484826724,"True"
5,1,2.27283733563485,0.0435496761727702,0.216822851567385,10.4716600440644,-405.801730323971,1,4.17390547251262,0.125389483420759,0.546749448205768,3.30573852344182,-401.732177865171,1,2.27449710685367,0.0813640432009063,33.0948642473985,-406.853497010724,0.00596814484826724,0.0013723116986043,0.00596814484826724,"True"
6,1,1.89886383274981,0.00117723294796931,0.070042894723688,35.0554662452751,-396.156130950629,1,1.61036952742508,0.0226881915878889,0.0982147807839061,24.4558072067095,-394.610149815806,1,1.89941173621099,0.0679284262148538,36.2638570593364,-396.157138574673,0.212888066909447,0.078582504924905,0.212888066909447,"False"
6,1,1.89886383274981,0.00117723294796931,0.070042894723688,35.0554662452751,-396.156130950629,1,5.71697668165432,0.0226881915878889,0.0982147807839061,24.4558072067095,-394.610149815806,1,1.89941173621099,0.0679284262148538,36.2638570593364,-396.157138574673,0.212888066909447,0.078582504924905,0.212888066909447,"False"
7,1,2.27782930385423,9.73114912828896e-10,0.0843022224018452,34.2760609687459,-412.894368451405,1,1.76611040676705,0.0498492676312216,0.151380691290669,18.4531614533741,-407.38623160024,1,2.2778291688035,0.0843016712345095,34.2763531882203,-412.894368450743,0.00405365291319948,0.00090315445285527,0.00405365291319948,"True"
7,1,2.27782930385423,9.73114912828896e-10,0.0843022224018452,34.2760609687459,-412.894368451405,1,6.20356197771721,0.0498492676312216,0.151380691290669,18.4531614533741,-407.38623160024,1,2.2778291688035,0.0843016712345095,34.2763531882203,-412.894368450743,0.00405365291319948,0.00090315445285527,0.00405365291319948,"True"
8,1,1.21090454360574,4.49245965131559e-10,0.0545631082104959,19.6888500538918,-331.448889074683,1,0.844567672853442,0.0218436456264972,0.0681075562606573,15.6425833781161,-328.165861311588,1,1.21090210071891,0.0545578826926114,19.6915791450727,-331.448889040913,0.0375145009285031,0.0103942073867632,0.0375145009285031,"True"
8,1,1.21090454360574,4.49245965131559e-10,0.0545631082104959,19.6888500538918,-331.448889074683,1,6.13269283026241,0.0218436456264972,0.0681075562606573,15.6425833781161,-328.165861311588,1,1.21090210071891,0.0545578826926114,19.6915791450727,-331.448889040913,0.0375145009285031,0.0103942073867632,0.0375145009285031,"True"
9,1,2.53488731253496,1.21758708842099e-09,0.12897300554902,21.3957168671134,-420.514026229767,1,1.90585229832061,0.0382351661199438,0.209919064419565,12.6088664694537,-416.640170532152,1,2.53488731749171,0.128973015770597,21.3957142598672,-420.514026209565,0.0207781011251272,0.00537806537667496,0.0207781011251272,"True"
