	1
c5171	2
c5004	1
c5215	1
c5183	2
c5184	2
c5058	0
c4920	1
c5214	1
c5141	0
c5142	3
c5391	2
c5392	0
c4997	1
c5259	1
c5260	2
c4989	0
c4990	0
c5255	0
c5256	0
c5246	2
c5122	1
c5024	0
c5385	0
c5333	0
c4965	0
c4978	0
c5397	6
c5106	2
c5230	1
c5130	0
c5063	4
c5408	2
c5140	1
c4958	1
c5124	4
c5043	0
c5524	0
c5532	0
c5483	0
c5484	0
c5434	10
c5472	0
c5436	2
c5515	0
c5529	2
c5419	0
c5533	2
c5534	2
c5485	0
c5461	2
c5462	3
c5542	2
c5482	4
c5431	0
c5429	0
c5430	1
c5479	0
c5478	0
c5442	1
c5494	1
c5443	0
c5526	1
c5495	0
c5496	0
c5422	0
c5503	3
c5425	1
c5528	3
c5536	1
c5463	0
c5464	4
c5438	2
c5505	0
c5242	4
c4996	1
c5164	0
c5192	3
c5317	0
c5318	0
c5012	3
c5371	0
c4971	2
c5249	0
c5250	4
c5028	0
c5153	2
c5154	0
c5008	1
c5337	0
c5066	0
c4929	4
c5162	3
c5181	2
c5182	3
c5195	2
c4909	5
c4910	2
c4940	4
c5311	8
c5041	5
c5308	3
c4956	0
c5174	0
c5078	1
c5072	1
c5274	8
c5118	3
c5233	6
c5234	2
c5401	3
c5169	1
c5053	1
c5026	3
c5376	0
c5232	0
c5316	0
c5396	3
c5313	3
c5314	8
c4911	1
c5040	0
c5189	0
c5009	9
c5321	2
c4983	2
c4984	4
c5207	1
c5208	1
c4921	1
c4922	1
c5103	2
c5104	4
c5299	2
c5300	4
c5330	7
c5343	1
c5346	0
c5051	0
c4936	3
c5285	4
c5017	2
c5296	1
c5080	2
c4969	0
c5002	1
c5327	1
c5083	1
c5084	0
c5131	2
c5132	0
c5144	0
c5357	0
c5358	0
c5127	0
c5128	2
c4985	0
c5325	1
c5055	1
c5303	0
c5383	0
c5384	0
c5151	6
c4923	4
c5264	0
c5157	5
c5365	4
c5238	11
c4917	0
c5206	0
c5168	0
c5109	0
c4944	0
c5281	0
c4902	0
c5176	1
c5251	1
c5148	1
c5197	1
c4898	1
c4906	0
c5269	0
c4946	0
c5399	0
c4961	1
c4974	1
c5220	0
c5353	0
c4991	0
c4976	0
c5267	0
c4947	1
c5406	0
c5222	0
c5247	0
