ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
399	400	148.4131591025766	1.9957399669238822	5.016655258733098	1.3019664456176174	100.82708355443523	13.315674340706007	8.012667615650436	0.6406797341115947	5.5254849665937735	13.355240840685475	-4.114528220792264	17.46976906147774	3.4010390059791007e-09	1.7005195029895503e-06	True
243	244	148.4131591025766	1.6412363007676292	4.992957784014532	0.1995003342875137	148.4131591025766	6.073062201798385	6.2927734170227065	-0.4494222208316425	5.044355908469912	48.38232837297164	32.479016180054884	15.903312192916758	1.703108842843193e-08	2.4985492785845054e-06	True
68	69	148.4131591025766	1.9649410220687016	4.790041842593273	0.20918185557529037	148.4131591025766	10.67604904456137	6.499341882723674	-0.15772287390540102	4.047571978037602	102.72955874088011	87.03768778172349	15.691870959156617	2.117465924822426e-08	2.4985492785845054e-06	True
301	302	148.4131591025766	1.981247850077556	5.195259334616324	0.44232320138973547	148.4131591025766	8.890476377899299	7.123355942872361	-0.2575566533453158	4.488726574400264	68.86810774650586	53.32467168242966	15.543436064076197	2.46734487285849e-08	2.4985492785845054e-06	True
99	100	148.4131591025766	3.7060214179285826	4.694137273149355	1.4701750640439128	148.4131591025766	13.599930794685648	5.807547380057946	1.1701687298975891	3.705269379771763	107.57092986880303	92.03969089420224	15.531238974600797	2.4985492785845054e-08	2.4985492785845054e-06	True
340	341	106.04534994385456	2.6502379761563595	5.626705886312168	1.1971853461343573	148.4131591025766	9.420001520916431	7.7615615346810625	0.6935301782264497	4.520946483054234	57.60558293425004	42.42007912233672	15.185503811913314	3.568215778404493e-08	2.973513148670411e-06	True
380	381	148.4131591025766	1.800399622458637	5.304303801828105	0.461134725323784	148.4131591025766	9.690773998102841	8.063715490232923	-0.38540831790881047	4.629445770214023	60.30924077531453	45.29124647573999	15.01799429957454	4.2410182032881494e-08	3.0292987166343925e-06	True
476	477	148.4131591025766	2.106505429039826	4.614178951873394	1.1154520709265683	148.4131591025766	10.173637389882744	6.509227418652777	0.5745355174996605	4.398758650865857	85.59069143559563	71.24829208975204	14.342399345843589	8.516966942817561e-08	5.323104339260976e-06	True
424	425	148.4131591025766	2.329106630700405	4.746801886952264	2.2492237004323488	148.4131591025766	7.902376822036509	6.146837615313619	1.6327103309063007	5.449569098956452	-40.80735988458989	-54.64219644991096	13.83483656532107	1.439010984816136e-07	7.240892363480356e-06	True
404	405	148.4131591025766	2.3520937608617243	5.383940696638848	1.3128001428220935	148.4131591025766	9.006516500610946	7.675781216789281	0.7345644848536076	4.663007934664729	46.549547470155645	32.72085308847282	13.828694381682823	1.4481784726960711e-07	7.240892363480356e-06	True
115	116	148.4131591025766	2.268260293785258	5.19319103928467	2.027162566644892	148.4131591025766	10.937862018111533	8.276546952539471	1.2172516179239556	5.486711475737158	-16.60369214216169	-30.192509012910943	13.588816870749252	1.8559336112389246e-07	8.43606186926784e-06	True
72	73	148.4131591025766	2.713052357666692	4.732175388640404	1.4910472904563212	148.4131591025766	11.575008242705607	6.60587366605557	1.119855561828221	4.222971874750508	73.91196107480101	60.43738512507835	13.474575949722663	2.0887878304787222e-07	8.703282626994676e-06	True
129	130	148.4131591025766	1.6029589087633218	5.196860063461323	1.2585359928670485	148.4131591025766	5.567559433770024	6.619129864902838	0.5451443454663435	6.0385669849904025	-37.40607034882729	-50.75218069986187	13.346110351034575	2.385801227688944e-07	9.1761585680344e-06	True
151	152	148.4131591025766	2.297630811685039	5.271346061308322	1.703352577406626	148.4131591025766	8.716825969399377	7.222904033830065	1.1177010697657352	5.253473716090268	-4.967344433940733	-18.209333869125842	13.24198943518511	2.6573286060482815e-07	9.490459307315291e-06	True
490	491	128.24415329839687	2.902033659604754	4.829796936592939	1.138276014760102	148.4131591025766	9.850492966375283	6.379992465121386	0.8025084260141849	3.71409129851853	104.15368961551917	91.06602145948348	13.08766815603569	3.1177931758552546e-07	1.0264721553135892e-05	True
20	21	148.4131591025766	2.2917707871000785	4.539174192125743	0.06807851082917954	148.4131591025766	8.199659618488454	5.9264848958002405	-0.364326436647041	2.924482382386299	148.88917818246654	135.86383372759124	13.025344454875295	3.325701627421296e-07	1.0264721553135892e-05	True
