ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
60	61	148.4131591025766	2.6056233424591038	6.550993636164922	0.19198807323633865	148.4131591025766	9.453915369745307	9.117024287009176	-0.3268962073988775	3.765845196897839	85.70748967139757	72.61211688329723	13.095372788100335	3.0930127947748076e-07	0.00015465063973874038	True
174	175	99.3604329039671	3.225284696878036	6.042014807798518	-0.28870590888208014	28.17410348283075	9.375807226047199	7.5555493040541	-0.6683505368341434	2.6143344883893223	135.40758537487662	123.43216677914216	11.975418595734453	9.882730794830152e-07	0.00017726214984747912	True
137	138	148.4131591025766	3.5853903433856753	5.241152189752392	-0.11582657098459034	148.4131591025766	10.855279222335069	6.699830704626024	0.45768519262379553	-2.881844058081331	173.3276101229598	161.42286960215313	11.904740520806683	1.0635728990848747e-06	0.00017726214984747912	True
82	83	148.4131591025766	4.02343961023718	6.125870649475143	0.7768205827624641	148.4131591025766	10.807670732274493	8.406431617850677	1.249696150092758	-1.536491477961449	134.16021141945043	124.14872168630927	10.011489733141161	7.651709738043522e-06	0.0007234615264547125	True
424	425	36.62031020958487	4.320937391212914	6.425200698895554	0.4643168978258878	13.093617599486487	11.732987000426643	8.265083214487866	1.0144037798695393	-1.7504923841683842	150.27658237579604	140.38499342981555	9.891588945980487	8.67427624706707e-06	0.0007234615264547125	True
362	363	86.28752240293016	14.623350167343792	10.558277562412352	0.27230341189579166	148.4131591025766	17.574288149267794	10.521876251234534	0.7095733213160196	-1.8228654089739398	166.68692497916112	156.79613577253295	9.89078920662817	8.68153831745655e-06	0.0007234615264547125	True
437	438	74.31813365325169	3.0847988616163726	5.725744240123181	0.7268654099127759	148.4131591025766	7.163491165679042	7.095244437056893	0.3114816114926371	3.2333487506051646	110.85903652940394	101.83624609105995	9.02279043834399	2.156786856466475e-05	0.0015405620403331963	True
363	364	17.214403605638843	4.091915142113895	6.8067535700502795	1.3087619611042622	10.433754174473144	9.351943663856398	8.338702361241747	0.8116212702606624	3.64264631315879	61.378498769845734	52.54782525031388	8.830673519531857	2.6393595407570025e-05	0.001568464180923268	True
496	497	95.6052059064397	2.840599237951151	6.948124816697707	1.4163504514101366	23.455818341120768	8.73523076997364	10.022637225564925	2.078271294549912	-2.0084259254571637	27.476111740009333	18.79176905034823	8.684342689661104	3.078565887004725e-05	0.001568464180923268	True
350	351	66.6680883950962	4.559394472564597	7.396743935419358	1.6204715756973567	148.4131591025766	9.409130402813918	8.988296685354703	1.222516624528606	3.915563446997022	28.36623066761439	19.699733709655742	8.666496957958646	3.136928361846536e-05	0.001568464180923268	True
489	490	114.9372281130214	3.006806155070451	5.879437745483316	1.1498695453693528	68.90897963895002	10.317690666906122	8.641851656894302	1.7925442781441108	-1.3016551190806556	94.21345288937584	85.9749257900837	8.238527099292142	4.9242435782193006e-05	0.0022225106419276885	True
264	265	17.863345252060828	5.158357409060422	7.449651622969404	1.0306951660745256	8.18820295724841	12.141686468024302	9.21396539884726	0.6690110250957367	3.1240189939563594	90.82387688853787	82.66110810886862	8.16276877966925	5.3340255406264525e-05	0.0022225106419276885	True
471	472	37.49816178384295	4.356815808596994	7.82618829291279	-0.1353111909003699	21.655971292011067	8.900154464940206	9.487595687507024	-0.5437228992549384	2.3278427556188954	122.99530152354727	115.02916611905432	7.966135404492945	6.564980134682319e-05	0.0025219542468886877	True
332	333	25.525486909825013	4.883553813592716	6.361795360010584	0.3207722667944206	11.02099278665232	9.682000090000397	7.57834462169373	0.7971351208460532	-1.6082012156219903	156.66853836942008	148.8345879360839	7.8339504333361845	7.549461092837273e-05	0.0025219542468886877	True
359	360	31.85388451356872	4.925671274282165	7.414045187274829	0.4128645995840754	15.325764428554317	9.251611434117226	8.628383124676658	0.895798053778526	-1.7883011355261038	130.06633599930262	122.2344377679947	7.8318982313079175	7.565862740666063e-05	0.0025219542468886877	True
