gene	log2FC	p_value	q_value	signif
81	2.6278934	1.1761342498342342e-07	5.880671249171171e-05	True
245	2.2983773	5.608411254144673e-07	0.00012969288439377768	True
417	2.676997	7.781573063626662e-07	0.00012969288439377768	True
333	2.1681333	1.8884541981465645e-06	0.00023605677476832055	True
137	1.9293159	4.0822239155311296e-06	0.0003324500138444697	True
437	2.2762067	4.3117509571920425e-06	0.0003324500138444697	True
269	2.582834	4.998769640702618e-06	0.0003324500138444697	True
156	2.0608294	5.401285226586606e-06	0.0003324500138444697	True
248	1.8738705	6.598235201712626e-06	0.0003324500138444697	True
111	2.2502592	6.649000276889395e-06	0.0003324500138444697	True
124	2.192489	7.6292416378989865e-06	0.0003467837108135903	True
15	2.0482595	1.4231485713231738e-05	0.0005514330794155088	True
387	2.1306357	1.433726006480323e-05	0.0005514330794155088	True
108	1.8497155	2.115107789633501e-05	0.0007553956391548218	True
375	2.0873582	2.5346170398800797e-05	0.0008448723466266933	True
151	1.7378654	3.726471622649928e-05	0.0011645223820781025	True
256	2.0528572	4.3508377203660496e-05	0.001279658153048838	True
364	2.1384559	5.180558811506722e-05	0.001439044114307423	True
265	1.9913392	6.374347155865523e-05	0.0016720431651174963	True
20	2.1194692	6.688172660469985e-05	0.0016720431651174963	True
259	1.7344596	7.260435610757118e-05	0.001695742869031756	True
344	1.631831	7.461268623739725e-05	0.001695742869031756	True
177	2.156252	8.040994794276078e-05	0.0017480423465817561	True
117	1.7930685	9.143848118041004e-05	0.001904162514377696	True
282	1.8633338	9.52081257188848e-05	0.001904162514377696	True
37	1.7374994	0.00010741691629823022	0.0020232948693685543	True
229	1.820047	0.00011032366815455681	0.0020232948693685543	True
134	1.8273762	0.00011330451268463904	0.0020232948693685543	True
267	1.8927885	0.000126841311948843	0.0021869191715317756	True
116	1.7965375	0.0001890314334930709	0.003068661972523655	True
138	2.0426538	0.00019025704229646659	0.003068661972523655	True
98	2.00083	0.00021363633958054913	0.00333806780594608	True
195	1.7707729	0.0002234365595219835	0.00338540241699975	True
6	2.1131103	0.00024431621549384836	0.003592885521968358	True
469	1.6153582	0.0002586909154674287	0.0036955225543040438	True
352	1.716759	0.000272130529532093	0.0036955225543040438	True
129	2.0902162	0.0002773370176992143	0.0036955225543040438	True
60	1.7700598	0.00028085971412710733	0.0036955225543040438	True
253	1.7825074	0.0003067177099978783	0.003932278333306132	True
378	1.7305983	0.0003347920151485956	0.004035637594680005	True
362	1.6380582	0.0003368866581489757	0.004035637594680005	True
237	1.955151	0.0003389935579531204	0.004035637594680005	True
309	1.756818	0.0003475450521955531	0.004041221537157595	True
424	1.9961176	0.00036981473064653876	0.00413459553136345	True
313	1.6767536	0.00037211359782271053	0.00413459553136345	True
146	1.7065152	0.000381443320762412	0.004146123051765348	True
110	1.6037494	0.0004288214488278184	0.004561930306678919	True
