"gene","ou1_conv","ou1_theta","ou1_alpha","ou1_sigma_sq","ou1_gamma","ou1_loglik","ou2_conv","ou2_theta","ou2_alpha","ou2_sigma_sq","ou2_gamma","ou2_loglik","brown_conv","brown_theta","brown_sigma_sq","brown_gamma","brown_loglik","ou2_vs_bm_pvalue","ou2_vs_ou1_pvalue","qvalue","adaptive"
1,1,0.783505154639175,20.3171210587882,1.65846440033015,1.72495058425317,-378.603970834315,1,0.67515923566879,17.5773424355628,1.88001613895949,1.48844171656794,-376.924338045296,1,0.783505153364629,2.90158358247126e-10,1e+10,-378.603970857929,0.186442422774605,0.0668278637155661,0.186442422774605,"False"
1,1,0.783505154639175,20.3171210587882,1.65846440033015,1.72495058425317,-378.603970834315,1,1.24324324324324,17.5773424355628,1.88001613895949,1.48844171656794,-376.924338045296,1,0.783505153364629,2.90158358247126e-10,1e+10,-378.603970857929,0.186442422774605,0.0668278637155661,0.186442422774605,"False"
2,1,0.618556701030928,15.0527048438272,1.03082802556349,1.25577415174209,-302.843604929751,1,0.64968152866242,17.3574249095004,0.883576751421282,1.47034735172953,-302.543052530735,1,0.618556700820204,1.32872781123837e-10,1e+10,-302.843605024394,0.740409036358907,0.438156733681009,0.740409036358907,"False"
2,1,0.618556701030928,15.0527048438272,1.03082802556349,1.25577415174209,-302.843604929751,1,0.486486486486487,17.3574249095004,0.883576751421282,1.47034735172953,-302.543052530735,1,0.618556700820204,1.32872781123837e-10,1e+10,-302.843605024394,0.740409036358907,0.438156733681009,0.740409036358907,"False"
3,1,0.629446040519947,0.362070193155512,0.422210470795969,1.49227323300571,-292.837419549862,1,0.683211220015528,0.361769622441625,0.356772408735621,1.97814650676253,-292.002564578516,1,0.620328115096142,0.000722314259682618,1650.1188067411,-293.873200709205,0.15402565020133,0.0530840113650534,0.15402565020133,"False"
3,1,0.629446040519947,0.362070193155512,0.422210470795969,1.49227323300571,-292.837419549862,1,0.404890556474434,0.361769622441625,0.356772408735621,1.97814650676253,-292.002564578516,1,0.620328115096142,0.000722314259682618,1650.1188067411,-293.873200709205,0.15402565020133,0.0530840113650534,0.15402565020133,"False"
4,1,0.855670103092783,17.4503227537221,1.46917697948109,1.47986684402211,-352.469696483604,1,0.853503184713375,17.3879179066394,1.47418831899286,1.47462244953377,-352.468824453161,1,0.855670102583292,2.21628227747249e-10,1e+10,-352.469696526461,0.999128306845803,0.966687645968876,0.999128306845803,"False"
4,1,0.855670103092783,17.4503227537221,1.46917697948109,1.47986684402211,-352.469696483604,1,0.864864864864865,17.3879179066394,1.47418831899286,1.47462244953377,-352.468824453161,1,0.855670102583292,2.21628227747249e-10,1e+10,-352.469696526461,0.999128306845803,0.966687645968876,0.999128306845803,"False"
5,1,0.828190935962273,1.0113332085898,4.46213954454563,1e-10,-351.757934157172,1,0.889252465354951,1.03442539549222,4.53173171258253,1e-10,-351.093195429008,1,0.83651269711145,0.0025307874615914,845.983243493393,-352.005892787585,0.401439934881152,0.176672468411103,0.401439934881152,"False"
5,1,0.828190935962273,1.0113332085898,4.46213954454563,1e-10,-351.757934157172,1,0.569833236409126,1.03442539549222,4.53173171258253,1e-10,-351.093195429008,1,0.83651269711145,0.0025307874615914,845.983243493393,-352.005892787585,0.401439934881152,0.176672468411103,0.401439934881152,"False"
6,1,0.623711340206186,17.6522836509658,0.815533637539101,1.49828870238701,-296.530594467426,1,0.560509554140127,20.2599120534523,0.704536687801287,1.71838863333344,-295.200965417595,1,0.630671505730162,0.00059931352752286,2047.67694241396,-296.416771671832,0.296470886999458,0.118910523076552,0.296470886999458,"False"
6,1,0.623711340206186,17.6522836509658,0.815533637539101,1.49828870238701,-296.530594467426,1,0.891891891891892,20.2599120534523,0.704536687801287,1.71838863333344,-295.200965417595,1,0.630671505730162,0.00059931352752286,2047.67694241396,-296.416771671832,0.296470886999458,0.118910523076552,0.296470886999458,"False"
7,1,0.819103046484173,1.95704761817025,9.41513494807057,1.06984919239767e-10,-360.408520659309,1,0.865680961682837,2.26849769451857,10.8720802679991,1.00259205987413e-10,-360.043921537481,1,0.819010978504982,0.000798211706897968,2984.8899701512,-360.385299162427,0.710790445316883,0.408639575324632,0.710790445316883,"False"
7,1,0.819103046484173,1.95704761817025,9.41513494807057,1.06984919239767e-10,-360.408520659309,1,0.622613608093946,2.26849769451857,10.8720802679991,1.00259205987413e-10,-360.043921537481,1,0.819010978504982,0.000798211706897968,2984.8899701512,-360.385299162427,0.710790445316883,0.408639575324632,0.710790445316883,"False"
8,1,0.628865979381443,17.6523071113539,0.936230527875533,1.49829679908188,-309.91895609563,1,0.598726114649682,20.7928222449322,0.797517832424697,1.76326780473295,-309.657002530228,1,0.628865979041279,1.42926984588327e-10,1e+10,-309.918956232067,0.769546651478031,0.469179637505296,0.769546651478031,"False"
8,1,0.628865979381443,17.6523071113539,0.936230527875533,1.49829679908188,-309.91895609563,1,0.756756756756757,20.7928222449322,0.797517832424697,1.76326780473295,-309.657002530228,1,0.628865979041279,1.42926984588327e-10,1e+10,-309.918956232067,0.769546651478031,0.469179637505296,0.769546651478031,"False"
9,1,0.860824742268041,20.4553222229179,1.33295967455314,1.73600706147695,-358.012318257064,1,0.929936305732484,17.5479204718633,1.53422974077146,1.48779982400336,-357.170898866655,1,0.860824742942799,2.34660962395796e-10,1e+10,-358.012318326703,0.431098162302948,0.194547653530723,0.431098162302948,"False"
