	1
c5171	0
c5004	0
c5215	0
c5183	0
c5184	0
c5058	0
c4920	0
c5214	0
c5141	1
c5142	0
c5391	0
c5392	0
c4997	0
c5259	0
c5260	0
c4989	0
c4990	0
c5255	0
c5256	0
c5246	0
c5122	0
c5024	1
c5385	0
c5333	0
c4965	0
c4978	0
c5397	0
c5106	0
c5230	0
c5130	0
c5063	1
c5408	0
c5140	0
c4958	0
c5124	0
c5043	0
c5524	0
c5532	0
c5483	2
c5484	1
c5434	3
c5472	1
c5436	3
c5515	4
c5529	0
c5419	0
c5533	0
c5534	1
c5485	0
c5461	1
c5462	0
c5542	1
c5482	2
c5431	0
c5429	0
c5430	0
c5479	2
c5478	0
c5442	0
c5494	0
c5443	0
c5526	1
c5495	2
c5496	1
c5422	1
c5503	0
c5425	0
c5528	3
c5536	2
c5463	0
c5464	0
c5438	2
c5505	2
c5242	1
c4996	1
c5164	4
c5192	5
c5317	2
c5318	0
c5012	0
c5371	1
c4971	3
c5249	6
c5250	2
c5028	0
c5153	0
c5154	0
c5008	0
c5337	0
c5066	0
c4929	0
c5162	2
c5181	0
c5182	0
c5195	1
c4909	0
c4910	0
c4940	0
c5311	3
c5041	0
c5308	0
c4956	1
c5174	0
c5078	0
c5072	0
c5274	0
c5118	0
c5233	1
c5234	0
c5401	0
c5169	0
c5053	1
c5026	4
c5376	0
c5232	2
c5316	2
c5396	0
c5313	1
c5314	0
c4911	6
c5040	2
c5189	4
c5009	2
c5321	4
c4983	0
c4984	0
c5207	0
c5208	0
c4921	1
c4922	1
c5103	0
c5104	1
c5299	0
c5300	0
c5330	0
c5343	3
c5346	0
c5051	2
c4936	0
c5285	0
c5017	0
c5296	0
c5080	0
c4969	0
c5002	0
c5327	0
c5083	0
c5084	0
c5131	4
c5132	6
c5144	0
c5357	3
c5358	5
c5127	2
c5128	3
c4985	10
c5325	3
c5055	9
c5303	0
c5383	1
c5384	3
c5151	0
c4923	1
c5264	0
c5157	2
c5365	2
c5238	1
c4917	0
c5206	2
c5168	4
c5109	5
c4944	7
c5281	4
c4902	1
c5176	3
c5251	6
c5148	0
c5197	6
c4898	5
c4906	7
c5269	4
c4946	3
c5399	2
c4961	0
c4974	1
c5220	1
c5353	0
c4991	0
c4976	0
c5267	4
c4947	3
c5406	0
c5222	0
c5247	3
