node_name	is_leaf	infer_mu	infer_var
c0	False	-0.2578346946607182	17.37144359159576
c6	False	-0.25645857864287275	38.03141813790412
c20	False	-0.49002581524844885	45.730653878769175
c31	False	-0.6851938188276169	48.996592180978546
c124	False	-2.3936343585450857	54.30798603326602
c183	False	-2.825258073694289	46.75293441447751
c1340	False	-4.104075082220326	43.631291309053644
c2199	False	-4.300533257062178	34.00956242529603
c5171	True	-4.449418927476862	3.9168597235842295
c3711	False	-4.407660029655222	17.861385161854933
c5004	True	-4.443166404830323	2.010815603129242
c5215	True	-4.443571502875487	2.01453160993534
c2884	False	-4.410493963998316	23.793253486067865
c3159	False	-4.463793032950008	17.310440379353967
c4378	False	-4.50909607833615	9.093381783319208
c5183	True	-4.520620981528246	1.052528804674092
c5184	True	-4.520222697837122	1.0523314888670057
c3890	False	-4.494440579208629	14.749111151519179
c5058	True	-4.5251565154836575	1.8032330104524439
c4920	True	-4.525019735450841	1.8012979276719692
c5214	True	-4.503716569969542	3.1154706501481315
c226	False	-2.898979152543776	45.17146206673421
c283	False	-3.0166042306741168	46.09394531635052
c795	False	-2.8739913305793956	60.15636210767811
c3643	False	-1.9360766681491308	14.403100135387177
c4323	False	-1.6686763850856345	8.551233942172429
c5141	True	-1.2972306856573177	0.8074653776898584
c5142	True	-1.772721801450455	0.9091091486822489
c4324	False	-2.099264210942598	8.57751816084182
c5391	True	-2.181657886122377	0.9309815406284929
c5392	True	-2.1800580785562853	0.9403162262990754
c4997	True	-3.6281459982892357	5.852486076342238
c908	False	-3.78299574644422	45.97813102524426
c1366	False	-3.9944654386452063	37.575282353349486
c1691	False	-4.0541808028468695	37.32313572138922
c4534	False	-4.232803292679288	9.960967558802949
c5259	True	-4.247750174966031	1.1212842778998593
c5260	True	-4.2476268253646134	1.1168012723194334
c4586	False	-4.233850498224426	9.960167283216888
c4989	True	-4.248644721242798	1.116658608131265
c4990	True	-4.249001224435645	1.1180208780686187
c3625	False	-4.270582330038189	16.012822047788603
c4263	False	-4.2975618388847865	8.79863972888344
c5255	True	-4.311001566228133	1.0249637047278504
c5256	True	-4.311101620388038	1.0217114223229642
c5246	True	-4.308662276142657	1.8807197085979204
c5122	True	-4.258430316979491	5.712446579006015
c2632	False	-2.3721311611735314	23.66597538019107
c3371	False	-2.1996450385390496	18.227378630363198
c3713	False	-1.943320328531379	14.895455618577438
c5024	True	-1.2452565452374744	1.264161077730818
c5385	True	-2.1287346918099423	1.5755408741122214
c5333	True	-2.451160800658615	2.0761880194072995
c3776	False	-2.6292954078807877	16.506730172347922
c4965	True	-2.7578838334661007	1.745883349589272
c4978	True	-2.75787122900273	1.7407120454347471
c1273	False	-3.151844914706491	39.587172153690446
c1804	False	-3.463023382363622	31.389214537447792
c3134	False	-3.682649009106818	24.278958043545067
c5397	True	-3.7926629548234434	2.620165111533598
c5106	True	-3.7922606901333893	2.625720598741709
c2758	False	-3.6277847655252886	28.5494231956133
c5230	True	-3.792879939998474	3.135622957786031
c5130	True	-3.7922123573754365	3.1593773848199542
c2635	False	-2.805200908905468	19.514219588131173
c3407	False	-2.6065504048293944	15.06782611502727
c3675	False	-2.292337886200656	14.08348796239841
c5063	True	-1.5179891426428553	1.313073576663144
c5408	True	-2.4382615925009774	1.5813475894554518
c3676	False	-2.72211241938206	14.12258261833153
c5140	True	-2.837503816404939	1.6139639020001322
c4958	True	-2.8378450514645115	1.6298494899881473
c3408	False	-2.9171904115312857	19.4135009773775
c5124	True	-3.084888722264782	2.2446191295219244
c5043	True	-3.0854606086752416	2.2462614707076782
c215	False	0.03138287216232991	48.87157309946414
c819	False	0.5268451419448194	48.46863154618289
c4082	False	-1.6307950666944842	19.244390790148675
c5524	True	-1.870063484867351	1.7613547066237665
c5532	True	-1.871002250441463	1.7581792319115106
c1189	False	1.171474833792161	40.341284226979774
c4662	False	1.3076245161106412	9.931618877440894
