gene,species,replicate,exprval
2,c5494,R1,0
2,c5443,R1,0
2,c5526,R1,0
2,c5495,R1,0
2,c5496,R1,0
2,c5422,R1,0
2,c5503,R1,0
2,c5425,R1,1
2,c5528,R1,0
2,c5536,R1,3
2,c5463,R1,0
2,c5464,R1,7
2,c5438,R1,7
2,c5505,R1,0
2,c5242,R1,0
2,c4996,R1,0
2,c5164,R1,0
2,c5192,R1,0
2,c5317,R1,0
2,c5318,R1,0
2,c5012,R1,0
2,c5371,R1,0
2,c4971,R1,0
2,c5249,R1,0
2,c5250,R1,0
2,c5028,R1,0
2,c5153,R1,0
2,c5154,R1,0
2,c5008,R1,0
2,c5337,R1,0
2,c5066,R1,0
2,c4929,R1,11
2,c5162,R1,0
2,c5181,R1,0
2,c5182,R1,0
2,c5195,R1,0
2,c4909,R1,0
2,c4910,R1,0
2,c4940,R1,1
2,c5311,R1,12
2,c5041,R1,1
2,c5308,R1,0
2,c4956,R1,0
2,c5174,R1,0
2,c5078,R1,0
2,c5072,R1,0
2,c5274,R1,0
2,c5118,R1,0
2,c5233,R1,0
2,c5234,R1,0
2,c5401,R1,0
2,c5169,R1,0
2,c5053,R1,0
2,c5026,R1,0
2,c5376,R1,0
2,c5232,R1,0
2,c5316,R1,0
2,c5396,R1,0
2,c5313,R1,0
2,c5314,R1,0
2,c4911,R1,0
2,c5040,R1,0
2,c5189,R1,0
2,c5009,R1,0
2,c5321,R1,0
2,c4983,R1,0
2,c4984,R1,0
2,c5207,R1,0
2,c5208,R1,0
2,c4921,R1,1
2,c4922,R1,0
2,c5103,R1,0
2,c5104,R1,0
2,c5299,R1,0
2,c5300,R1,1
2,c5330,R1,0
2,c5343,R1,0
2,c5346,R1,0
2,c5051,R1,8
2,c4936,R1,0
2,c5285,R1,0
2,c5017,R1,0
2,c5296,R1,0
2,c5080,R1,0
2,c4969,R1,0
2,c5002,R1,0
2,c5327,R1,0
2,c5083,R1,3
2,c5084,R1,0
2,c5131,R1,17
2,c5132,R1,2
