ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
373	373	140.99954	0.63840604	3.1863618	148.41316	9.197419	7.0302677	0.6192316	188.13203	169.41257	37.438934	0.0	True	0.0
374	374	148.41316	0.7958441	3.482636	148.41316	5.5570188	6.5297713	0.7827944	163.94655	147.76715	32.358795	0.0	True	0.0
376	376	148.41316	-0.701939	3.2363465	60.787502	14.250989	8.75	-0.24428749	192.16515	171.72844	40.873413	0.0	True	0.0
361	361	148.41316	1.3910545	3.1583734	80.264496	6.2203074	6.1501756	1.104377	153.11845	137.00438	32.22815	0.0	True	0.0
363	363	131.40285	1.1175984	3.9349115	148.41316	7.155804	7.962263	1.3502057	111.22882	92.33583	37.78598	0.0	True	0.0
364	364	148.41316	1.206497	3.4474397	44.170174	11.846326	8.208724	1.0497603	165.22891	141.48514	47.48755	0.0	True	0.0
353	353	139.76134	1.0221852	3.1860778	148.41316	6.5665007	6.3472376	0.8089517	169.86005	151.33014	37.059814	0.0	True	0.0
355	355	148.41316	0.350773	3.6788359	89.54519	6.983443	7.5936413	0.06783681	173.54587	156.09012	34.9115	0.0	True	0.0
356	356	148.41316	0.25859076	2.7933002	61.172047	11.051355	6.8244705	0.3544115	199.15433	178.34258	41.623505	0.0	True	0.0
234	234	148.41316	0.88753057	3.4484792	148.41316	7.7350802	7.431081	1.0472543	151.09634	132.88101	36.430664	0.0	True	0.0
360	360	148.41316	0.10402185	3.4355254	141.99121	8.762485	7.740703	-0.0021143542	186.10191	169.87886	32.446106	0.0	True	0.0
410	410	148.41316	0.4391298	3.4917555	148.41316	5.9734206	6.65348	0.4926838	169.56023	154.06305	30.994354	0.0	True	0.0
411	411	148.41316	0.8756992	2.765015	112.393585	4.6070523	5.010638	0.8426376	164.12714	148.5221	31.210083	0.0	True	0.0
412	412	148.41316	1.1134312	3.060614	148.41316	5.5784917	6.0627656	1.0630381	156.09442	140.13573	31.917389	0.0	True	0.0
413	413	103.16234	-0.45361945	4.254535	148.41316	5.877607	7.7956357	-0.17981267	171.23938	155.20184	32.075073	0.0	True	0.0
402	402	148.41316	1.2445048	3.0916483	148.41316	5.4195833	5.766246	1.3442707	125.75299	109.23907	33.027847	0.0	True	0.0
404	404	148.41316	-0.7824138	3.4217143	106.82661	9.57639	7.1867557	-0.46057406	194.00697	171.56311	44.887726	0.0	True	0.0
182	182	148.41316	1.1351708	2.857119	148.41316	6.3827558	5.998979	1.2172254	148.74152	128.53432	40.4144	0.0	True	0.0
183	183	148.41316	1.0490382	3.465669	148.41316	6.2523437	6.9032974	1.1262692	136.87994	118.404724	36.95044	0.0	True	0.0
170	170	148.41316	0.9847395	3.7169542	148.41316	14.419865	9.436897	1.0860008	157.7759	136.37854	42.79471	0.0	True	0.0
161	161	91.93787	1.7055913	3.2645876	93.99679	6.7615323	6.761465	1.8228071	81.52045	63.41139	36.218117	0.0	True	0.0
162	162	131.69931	1.4686931	3.2167032	148.41316	7.199121	6.921607	1.2276523	138.85446	121.09764	35.51364	0.0	True	0.0
163	163	148.41316	0.093107924	2.8789458	49.434868	28.476215	7.7598405	-0.026061215	208.92651	185.23178	47.389465	0.0	True	0.0
168	168	96.08907	1.1414547	3.2396615	148.41316	7.9517035	6.7815876	0.91944575	176.21881	158.9333	34.571014	0.0	True	0.0
217	217	111.00944	0.5011468	3.7467346	148.41316	6.638457	7.1913714	0.6914897	167.37144	148.90923	36.92444	0.0	True	0.0
96	96	148.41316	-0.118320785	3.9028125	148.41316	6.0894866	7.34315	-0.16216837	175.41254	158.28792	34.249237	0.0	True	0.0
468	468	148.41316	0.45023772	3.0850058	105.172966	18.342394	9.604314	0.27896377	201.77522	177.5124	48.525635	0.0	True	0.0
21	21	148.41316	0.10330138	3.022231	148.41316	11.3901	7.277038	0.31638226	200.953	176.89218	48.121643	0.0	True	0.0
23	23	148.41316	2.027745	3.888897	148.41316	4.686457	7.0153584	2.2185059	-14.228406	-30.178196	31.89958	0.0	True	0.0
24	24	148.41316	0.2628265	2.8703477	30.657734	24.147913	9.31683	0.3324193	207.73477	181.34348	52.782593	0.0	True	0.0
12	12	148.41316	1.9909626	3.707204	148.41316	6.551001	6.8871164	2.1210716	48.515495	28.584343	39.862305	0.0	True	0.0
13	13	138.69069	-0.44235444	3.3077428	148.41316	6.97768	7.090803	-0.31695557	187.87984	170.83919	34.0813	0.0	True	0.0
15	15	148.41316	0.20492324	3.324078	61.233772	9.430925	7.714963	0.4420274	181.55783	162.60172	37.91223	0.0	True	0.0
16	16	148.41316	0.0006052835	3.2187667	24.668081	13.61614	7.491195	-0.054238487	202.58966	177.05035	51.078613	0.0	True	0.0
2	2	148.41316	0.04270541	3.5464594	148.41316	6.5042353	7.377437	0.13642798	168.17973	151.22176	33.915955	0.0	True	0.0
4	4	148.41316	0.3244574	3.1908946	77.601395	8.597567	7.057771	0.2053009	190.31102	169.0034	42.615234	0.0	True	0.0
5	5	148.41316	0.82960606	3.3629634	148.41316	6.448852	6.9219723	0.676206	165.74277	150.21902	31.047485	0.0	True	0.0
