ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
342	342	50.953148	-1.3933729	4.621984	118.753456	4.318798	8.327663	-1.4699812	133.25223	117.629684	31.245087	0.0	True	0.0
351	351	148.41316	-1.2973017	4.3565764	141.26025	12.092177	9.779517	-0.7241995	183.76276	161.80737	43.910767	0.0	True	0.0
353	353	19.045	-0.27729988	3.818007	57.754375	91.27217	27.09878	-0.10954307	184.61156	161.91605	45.39102	0.0	True	0.0
359	359	148.41316	-1.7564154	3.7511437	148.41316	14.935781	9.825176	-1.5433928	162.3859	138.6761	47.419586	0.0	True	0.0
337	337	65.65974	1.5137022	4.789703	17.915276	6.7727633	9.442941	1.1198065	71.46013	55.880325	31.159607	0.0	True	0.0
167	167	10.999271	2.199945	4.467189	19.71527	6.3851857	9.483941	2.3528328	-98.313774	-115.058716	33.489883	0.0	True	0.0
134	134	6.206541	-0.27699518	3.8773599	1.7682394	19.344503	9.792103	0.16467093	144.301	126.096405	36.40918	0.0	True	0.0
376	376	11.592335	3.9172673	3.9431944	2.7664642	68.375145	7.878108	4.216013	-395.24588	-422.79968	55.107605	0.0	True	0.0
127	127	137.20686	-0.9773357	3.8191974	79.485954	8.6928835	8.803402	-0.65954804	172.50827	155.4968	34.02295	0.0	True	0.0
126	126	148.41316	-1.9923775	4.3512125	78.0944	7.373769	8.8344965	-1.5983788	151.70122	132.77379	37.85486	0.0	True	0.0
133	133	58.57585	1.8226168	4.6480994	140.0279	7.0483756	9.225466	1.8307217	15.585114	-3.5891266	38.34848	0.0	True	0.0
377	377	142.75844	1.3965569	3.681026	69.90196	9.419543	8.318162	1.4804645	110.57289	93.66315	33.81949	0.0	True	0.0
362	362	121.948456	-3.4158778	4.5304513	1.0800805	50.248837	16.034733	-1.9858751	134.20744	106.87401	54.66687	0.0	True	0.0
360	360	125.50972	-0.47229442	4.2794805	135.34917	9.524421	9.488538	-0.098596856	179.85692	154.10889	51.496063	0.0	True	0.0
135	135	148.41316	-0.7388385	5.0021806	132.22226	7.661952	9.910067	-0.42893735	163.52026	143.16866	40.703217	0.0	True	0.0
121	121	11.073667	0.31640482	3.0810256	4.0255213	21.161966	8.916768	0.36853015	189.8199	163.43158	52.77664	0.0	True	0.0
103	103	148.41316	0.47500932	2.820432	3.302192	57.00462	8.39979	0.56236535	207.06218	181.08807	51.94821	0.0	True	0.0
104	104	113.79986	0.8136489	3.8043761	148.41316	5.1037135	7.160832	0.3546094	160.59212	144.36932	32.445587	0.0	True	0.0
120	120	13.294458	2.250382	3.84779	18.58129	9.967492	9.840489	2.6484644	-80.78778	-98.61045	35.64534	0.0	True	0.0
98	98	9.992728	0.550762	4.127786	30.354631	4.4894567	7.994074	0.5420479	103.97719	88.26506	31.424255	0.0	True	0.0
94	94	20.284842	0.62332547	4.087591	17.756622	8.032926	9.082387	0.465973	141.34358	124.576355	33.534454	0.0	True	0.0
95	95	20.790329	1.9739406	5.0228667	25.081316	5.5346766	9.046043	2.0709755	-41.51887	-58.564445	34.09115	0.0	True	0.0
92	92	62.8467	-0.6780353	4.0058765	103.01601	12.049422	10.129791	-0.58880365	183.80397	161.2951	45.01773	0.0	True	0.0
85	85	148.41316	-0.44947907	3.6550064	88.60781	5.147643	6.340474	-0.20077686	181.76337	166.11046	31.305817	0.0	True	0.0
248	248	38.151665	-1.0087827	4.215532	54.36604	5.5038686	8.084002	-0.921402	162.99854	145.25684	35.4834	0.0	True	0.0
250	250	26.897938	2.5434406	4.491152	37.76878	6.916734	9.748054	2.6675975	-108.19954	-126.60923	36.81938	0.0	True	0.0
254	254	120.24986	0.687709	4.0893884	148.41316	4.836189	7.346867	0.77624726	125.61458	109.74621	31.73674	0.0	True	0.0
255	255	83.35452	1.498931	3.7470646	46.643543	11.6166935	8.864743	1.6194334	104.15243	83.87525	40.55435	0.0	True	0.0
206	206	42.89522	0.9272055	4.5601892	78.55399	5.4179926	8.491338	1.0827183	90.012665	74.57331	30.878708	0.0	True	0.0
202	202	63.514183	-0.7027067	3.8765323	135.44066	7.4188695	8.836495	-0.5201997	169.6953	151.70198	35.986633	0.0	True	0.0
200	200	51.137474	-0.9947387	5.0833087	148.41316	6.032419	10.015691	-0.6683464	145.15631	127.01222	36.288177	0.0	True	0.0
295	295	14.44196	2.2963073	4.664471	1.5750188	72.03919	6.36762	2.8432343	-88.285614	-110.13098	43.690735	0.0	True	0.0
233	233	42.72534	-0.012699439	4.6155276	62.34011	4.779908	7.961656	0.13035992	125.980736	110.22359	31.514297	0.0	True	0.0
234	234	148.41316	-0.32220185	4.0437045	37.643505	8.859036	9.120838	-0.51490575	174.81544	159.29547	31.039948	0.0	True	0.0
235	235	9.455615	2.2462277	4.370262	12.084079	4.9413495	7.8647695	2.0419085	-12.688156	-30.019814	34.663315	0.0	True	0.0
242	242	56.20491	3.184963	4.6145973	81.91672	4.010794	8.115686	3.052194	-223.00961	-239.59587	33.172516	0.0	True	0.0
246	246	9.488672	1.1293316	3.9542584	17.021788	7.7278123	9.2610655	1.1964815	77.080605	59.828598	34.504013	0.0	True	0.0
245	245	46.724686	0.3327048	4.3060846	70.5974	8.466379	9.662657	0.5606037	144.36526	126.401	35.928528	0.0	True	0.0
226	226	39.119545	-1.7247446	3.8152685	1.9780943	36.558113	11.922659	-1.3063104	158.66522	131.53995	54.25055	0.0	True	0.0
