ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
500	500	148.41316	-0.10036608	3.7599633	148.41316	3.7684402	6.2110276	-0.09828835	167.96237	154.719	26.486755	2.3841858e-07	True	2.432842643893495e-06
228	228	148.41316	-0.18302089	4.3711076	148.41316	4.0929523	7.5141473	-0.08449512	134.06725	120.7711	26.592285	2.3841858e-07	True	2.432842643893495e-06
395	395	148.41316	-0.38195762	4.02832	148.41316	4.0469394	6.8519454	-0.48478407	165.55673	152.13673	26.839996	2.3841858e-07	True	2.432842643893495e-06
308	308	148.41316	2.1521647	4.153878	148.41316	4.1570916	7.020247	2.1628988	-12.083572	-25.437824	26.708504	2.3841858e-07	True	2.432842643893495e-06
189	189	34.64849	-0.6271798	3.740437	58.340252	4.9653163	7.1070423	-0.61310476	171.24086	157.87593	26.729858	2.3841858e-07	True	2.432842643893495e-06
165	165	110.32943	1.2531985	3.6351268	34.93516	5.001731	6.5212035	1.1317611	128.89864	115.644035	26.509201	2.3841858e-07	True	2.432842643893495e-06
72	72	148.41316	-1.6204067	4.101377	148.41316	4.519227	7.7724404	-1.650216	149.81255	136.45435	26.7164	2.3841858e-07	True	2.432842643893495e-06
7	7	148.41316	-0.83729315	4.4120674	148.41316	4.207165	7.4834614	-0.8851837	157.22697	144.05632	26.341309	2.9802322e-07	True	2.8656079218937802e-06
434	434	148.41316	1.465901	3.380043	148.41316	3.625195	5.7280173	1.4977208	92.19039	78.964386	26.452011	2.9802322e-07	True	2.8656079218937802e-06
129	129	148.41316	0.6042897	4.3692207	148.41316	4.122142	7.298736	0.57677644	118.69588	105.59489	26.20198	2.9802322e-07	True	2.8656079218937802e-06
424	424	148.41316	-2.3732328	4.138492	82.18915	5.5771823	8.382866	-1.9292263	147.3898	134.56578	25.64804	4.172325e-07	True	3.725290298461914e-06
416	416	148.41316	2.3820703	3.6744013	148.41316	3.7405517	6.1883106	2.271039	-11.179495	-23.942043	25.525097	4.172325e-07	True	3.725290298461914e-06
171	171	79.524475	0.85311115	3.7905517	148.41316	3.7018952	6.452295	0.7168795	126.55079	113.79564	25.5103	4.172325e-07	True	3.725290298461914e-06
380	380	148.41316	0.8434888	4.201563	148.41316	4.0913553	7.238653	0.98735815	93.27693	80.5251	25.503662	4.172325e-07	True	3.725290298461914e-06
209	209	148.41316	-0.7538351	3.833921	148.41316	4.060875	7.097503	-1.0183825	161.41614	148.68958	25.453125	4.7683716e-07	True	3.908501296746926e-06
201	201	148.41316	-0.10932693	4.059273	148.41316	5.300377	7.7055125	0.31882843	155.41718	142.79149	25.251373	4.7683716e-07	True	3.908501296746926e-06
353	353	148.41316	2.7904942	3.7039247	148.41316	3.7220595	6.184197	3.0597374	-147.92477	-160.64362	25.437683	4.7683716e-07	True	3.908501296746926e-06
278	278	135.34627	3.5187085	4.576689	124.66774	3.5354614	7.3558106	3.6172936	-355.0553	-367.6908	25.270996	4.7683716e-07	True	3.908501296746926e-06
73	73	148.41316	0.474407	4.2281957	148.41316	4.006258	7.0418653	0.23327538	142.74855	130.01266	25.471771	4.7683716e-07	True	3.908501296746926e-06
356	356	148.41316	-1.9678928	4.367328	148.41316	3.485594	7.3815246	-2.0185785	142.55997	129.95744	25.205048	5.364418e-07	True	4.063953052867542e-06
110	110	148.41316	1.2944415	4.4427967	148.41316	3.234898	6.9605975	1.3481323	66.86272	54.306595	25.112244	5.364418e-07	True	4.063953052867542e-06
208	208	148.41316	-0.7745875	3.9950783	148.41316	3.146888	6.591208	-0.78145444	158.76897	146.16135	25.21524	5.364418e-07	True	4.063953052867542e-06
115	115	148.41316	-1.4418954	3.8650484	148.41316	3.1718123	6.283666	-1.3252611	155.94553	143.40706	25.076935	5.364418e-07	True	4.063953052867542e-06
405	405	148.41316	2.6976833	4.1046	112.755165	3.834069	6.81716	2.9618442	-178.933	-191.49597	25.125946	5.364418e-07	True	4.063953052867542e-06
