ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
232	232	97.493645	0.6015511	3.7726023	16.407867	13.469404	9.495346	0.72786325	166.36716	143.51071	45.71289	0.0	True	0.0
201	201	100.26332	0.19851518	3.9459202	148.41316	8.589099	9.231185	0.18683001	161.77231	140.966	41.61261	0.0	True	0.0
197	197	8.746703	-0.20369948	4.476418	16.095867	6.8965316	10.085423	-0.48869422	143.04218	126.278824	33.526703	0.0	True	0.0
184	184	8.92771	-2.641366	4.2039022	1.3220062	56.816563	16.19343	-2.0045702	138.84323	103.863396	69.95967	0.0	True	0.0
455	455	18.165129	2.4536228	4.1905074	88.65494	8.334073	10.741316	2.2724035	-44.27994	-64.5314	40.502922	0.0	True	0.0
36	36	129.63844	-1.036537	3.8076174	148.41316	9.904345	8.961004	-0.7662884	183.58919	163.67902	39.820343	0.0	True	0.0
463	463	7.7597747	1.1997207	3.7771711	11.189826	6.1422796	8.108276	1.1097541	89.88469	73.01839	33.732605	0.0	True	0.0
474	474	10.451234	4.85466	5.272417	24.027643	6.114954	11.848437	5.2014637	-827.11646	-845.4909	36.7489	0.0	True	0.0
483	483	148.41316	-1.7003175	3.723272	14.046093	36.680363	15.486993	-1.6555167	158.99538	134.40291	49.184937	0.0	True	0.0
464	464	25.517134	-3.0504818	4.6273494	0.66668916	80.06225	18.284748	-1.4395927	131.1801	112.4179	37.5244	0.0	True	0.0
22	22	148.41316	-1.0376134	3.9817019	109.49751	8.650376	8.873174	-0.9552933	168.95703	153.45203	31.01001	0.0	True	0.0
220	220	123.96884	-0.38413247	3.75319	35.27462	34.626682	14.101862	-0.24596177	194.40189	171.98698	44.829803	0.0	True	0.0
222	222	148.41316	-2.7861998	4.7887707	69.90603	6.4564614	10.197904	-2.6845322	119.18715	100.42196	37.53038	0.0	True	0.0
176	176	104.22814	-2.1083162	4.2792287	48.135532	16.361717	11.92768	-1.8284742	157.10843	130.55338	53.110107	0.0	True	0.0
182	182	12.998409	0.06497192	3.7310061	19.079176	11.275957	10.168082	0.23247679	164.06065	145.51846	37.08438	0.0	True	0.0
204	204	102.32493	-2.0675724	4.1298637	1.9735694	27.285013	13.416571	-1.4102421	148.09756	128.9114	38.372314	0.0	True	0.0
434	434	28.986635	-0.3122262	4.7289953	42.49516	4.0400662	7.8333344	-0.313878	141.68768	126.85718	29.66101	5.9604645e-08	True	3.5906412515295554e-07
127	127	148.41316	-0.117086165	4.201051	148.41316	3.9899466	7.588389	-0.38827118	137.60118	122.77896	29.64444	5.9604645e-08	True	3.5906412515295554e-07
239	239	61.173626	1.4793704	4.6147017	45.455708	3.9064095	7.447349	1.6386693	-30.026642	-44.610886	29.168488	5.9604645e-08	True	3.5906412515295554e-07
