ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
397	397	64.031166	0.86022455	4.048157	135.29503	7.3253202	9.248805	0.9208692	124.83884	106.75122	36.175232	0.0	True	0.0
396	396	125.31166	-0.21595787	3.5323102	58.327095	71.84889	21.494167	0.22511041	188.74397	168.7638	39.960358	0.0	True	0.0
205	205	20.75862	1.2278098	3.3849814	1.9954568	56.776047	7.975709	1.6236026	122.62986	102.569466	40.12079	0.0	True	0.0
180	180	148.41316	-0.055603538	3.9367301	24.367825	10.891014	9.274742	-0.09882135	177.75613	158.0858	39.340668	0.0	True	0.0
179	179	12.529486	0.762619	3.5991793	19.794233	13.771691	9.813538	0.5407387	179.8372	150.22282	59.22876	0.0	True	0.0
431	431	124.31507	0.32941657	3.7881837	61.84094	8.633012	8.6093445	0.505007	168.46992	148.31961	40.30063	0.0	True	0.0
194	194	148.41316	0.2476427	3.585397	128.5391	10.368217	8.834339	0.3300336	179.3919	157.90022	42.983368	0.0	True	0.0
193	193	8.957149	0.38247567	4.1586423	5.20486	9.330241	9.428714	0.26886806	138.66075	120.6075	36.106506	0.0	True	0.0
192	192	26.169617	1.0425012	3.9549017	36.776237	4.9654765	7.339391	1.1394132	100.725174	83.54946	34.351425	0.0	True	0.0
190	190	64.75299	0.40240628	3.9246478	111.44232	10.69658	10.026672	0.6547879	151.84491	132.39296	38.9039	0.0	True	0.0
189	189	148.41316	1.2739269	4.134873	131.66559	7.8717384	8.5633135	1.3432593	102.685814	85.44698	34.47766	0.0	True	0.0
188	188	43.707603	1.2391013	4.5232806	33.324284	11.174421	10.347241	1.2157539	114.576675	88.1264	52.900543	0.0	True	0.0
186	186	62.39888	0.27423012	3.0839932	24.70307	16.989159	9.165542	0.51526296	188.45322	167.6536	41.599243	0.0	True	0.0
181	181	8.481637	1.9669267	3.6532528	1.8399297	60.760345	7.1879935	2.1233335	66.56742	35.880177	61.37449	0.0	True	0.0
204	204	134.59628	-0.62735105	3.9153774	148.41316	4.768082	7.123133	-0.24259044	164.504	148.76195	31.4841	0.0	True	0.0
202	202	9.200713	0.5846201	3.832442	12.950778	5.1183696	7.5425987	0.7280617	112.292	95.24049	34.103012	0.0	True	0.0
201	201	148.41316	0.6448903	4.169339	148.41316	7.89794	8.430967	0.80957645	150.18204	127.622955	45.118164	0.0	True	0.0
200	200	124.44253	0.7836609	4.6945786	148.41316	4.307873	7.952875	1.115052	64.64674	49.05333	31.186829	0.0	True	0.0
198	198	108.98542	0.52779675	3.4770668	124.3587	11.680612	9.425229	0.4827142	176.20341	155.21553	41.97577	0.0	True	0.0
197	197	43.48786	-0.06599593	3.5790758	1.3742276	50.964302	10.050972	0.5097588	169.89972	150.64937	38.5007	0.0	True	0.0
218	218	148.41316	-0.39373615	3.6031976	76.23206	5.7550225	6.9347153	-0.46792012	177.37068	159.735	35.271362	0.0	True	0.0
217	217	148.41316	0.69512933	3.3018467	77.782364	8.838907	7.0277796	0.8002096	181.76465	162.27391	38.981476	0.0	True	0.0
216	216	148.41316	0.40485013	4.3321557	148.41316	6.333352	8.450526	0.56245756	136.70432	118.56583	36.276978	0.0	True	0.0
375	375	148.41316	-0.8184357	3.9350178	148.41316	10.811248	9.129954	-0.80434287	184.73819	162.26859	44.93921	0.0	True	0.0
