node_name,regime
E15_rep1_clone00910,diff
internal_node135,pro
E15_rep1_clone00892,diff
internal_node136,pro
E15_rep1_clone00917,pro
internal_node137,diff
E15_rep1_clone00364,diff
E15_rep1_clone00431,diff
internal_node138,pro
E15_rep1_clone00909,diff
internal_node139,diff
E15_rep1_clone00914,diff
E15_rep1_clone00916,diff
internal_node140,pro
E15_rep1_clone00838,diff
internal_node141,pro
internal_node142,pro
E15_rep1_clone00633,diff
internal_node143,diff
E15_rep1_clone00837,diff
E15_rep1_clone00906,diff
internal_node144,pro
E15_rep1_clone00895,diff
internal_node145,pro
E15_rep1_clone00487,diff
E15_rep1_clone00834,diff
internal_node146,pro
internal_node147,pro
internal_node148,pro
E15_rep1_clone00901,diff
internal_node149,diff
E15_rep1_clone00419,diff
E15_rep1_clone00629,diff
internal_node150,diff
E15_rep1_clone00630,diff
E15_rep1_clone00830,diff
internal_node151,pro
E15_rep1_clone00824,diff
internal_node152,pro
internal_node153,pro
E15_rep1_clone00828,diff
internal_node154,pro
E15_rep1_clone00604,pro
E15_rep1_clone00818,diff
internal_node155,pro
E15_rep1_clone00826,diff
internal_node156,pro
internal_node157,diff
E15_rep1_clone00486,diff
E15_rep1_clone00832,diff
internal_node158,pro
internal_node159,diff
E15_rep1_clone00849,diff
E15_rep1_clone00850,diff
internal_node160,pro
E15_rep1_clone00831,pro
E15_rep1_clone00839,diff
