# logfile for VINE (version 0.3.4), Tue May 19 17:21:48 2026
# Host: bam31 [Linux, release 4.18.0-553.120.1.el8_10.x86_64, x86_64]
# Command line: vine --format CRISPR --mean \
#   data/vine_no_migration/e15_rep1_fp_lineage/E15_rep1_fp_lineage_homogeneous_clone_vine_mean.nwk \
#   --nsamples 100 -j 16 \
#   data/laml/e15_rep1_fp_lineage/E15_rep1_fp_lineage_homogeneous_clone_character_matrix.tsv \
#   --logfile \
#   data/vine_no_migration/e15_rep1_fp_lineage/E15_rep1_fp_lineage_homogeneous_clone_vine.log 
#
state	ll	elbo	kld	half_trHS	elbo_bias	penalty	sigma.0	nu	lead_t	
54	-4389.087611	-4496.179559	81.028122	40.441687	0.000000	26.063827	-2.234972	0.891752	0.000000	
55	-4384.882987	-4490.930860	81.072375	40.441687	0.000000	24.975498	-2.186755	0.886538	0.000000	
56	-4379.835743	-4484.864339	81.119100	40.441687	0.000000	23.909495	-2.138506	0.880593	0.000000	
57	-4366.549006	-4470.583180	81.168132	40.441687	0.000000	22.866042	-2.090232	0.873938	0.000000	
58	-4362.233216	-4465.297700	81.219143	40.441687	0.000000	21.845342	-2.041939	0.866576	0.000000	
59	-4341.509347	-4443.623238	81.266312	40.441687	0.000000	20.847579	-1.993636	0.858502	0.000000	
60	-4345.327801	-4446.513935	81.313215	40.441687	0.000000	19.872920	-1.945329	0.849867	0.000000	
61	-4344.624673	-4444.898495	81.352306	40.441687	0.000000	18.921516	-1.897024	0.840725	0.000000	
62	-4325.670771	-4425.055907	81.391631	40.441687	0.000000	17.993504	-1.848730	0.831072	0.000000	
63	-4316.472531	-4414.990880	81.429344	40.441687	0.000000	17.089006	-1.800452	0.820956	0.000000	
64	-4292.435993	-4390.109787	81.465662	40.441687	0.000000	16.208132	-1.752197	0.810274	0.000000	
65	-4291.732326	-4388.589576	81.506270	40.441687	0.000000	15.350980	-1.703974	0.799128	0.000000	
66	-4327.221041	-4423.291300	81.552621	40.441687	0.000000	14.517638	-1.655789	0.788013	0.000000	
67	-4273.623118	-4368.933946	81.602644	40.441687	0.000000	13.708183	-1.607649	0.776529	0.000000	
68	-4262.933699	-4357.516755	81.660372	40.441687	0.000000	12.922684	-1.559564	0.764677	0.000000	
69	-4318.826858	-4412.713874	81.725818	40.441687	0.000000	12.161199	-1.511541	0.752858	0.000000	
70	-4235.640510	-4328.862872	81.798584	40.441687	0.000000	11.423778	-1.463589	0.740685	0.000000	
71	-4220.856417	-4313.446575	81.879694	40.441687	0.000000	10.710464	-1.415718	0.728202	0.000000	
72	-4207.211671	-4299.202399	81.969438	40.441687	0.000000	10.021291	-1.367939	0.715446	0.000000	
73	-4216.533515	-4307.956416	82.066617	40.441687	0.000000	9.356284	-1.320262	0.702487	0.000000	
74	-4271.588883	-4362.471498	82.167151	40.441687	0.000000	8.715464	-1.272701	0.690319	0.000000	
75	-4235.525387	-4325.894129	82.269902	40.441687	0.000000	8.098840	-1.225269	0.678316	0.000000	
76	-4227.661038	-4317.550192	82.382738	40.441687	0.000000	7.506415	-1.177980	0.666561	0.000000	
77	-4304.611113	-4394.053220	82.503924	40.441687	0.000000	6.938183	-1.130852	0.657639	0.000000	
78	-4266.672544	-4355.697366	82.630692	40.441687	0.000000	6.394130	-1.083903	0.650604	0.000000	
79	-4204.663833	-4293.299703	82.761638	40.441687	0.000000	5.874231	-1.037155	0.643807	0.000000	
80	-4227.129056	-4315.408030	82.900523	40.441687	0.000000	5.378451	-0.990630	0.637710	0.000000	
81	-4249.661995	-4337.617102	83.048363	9.490801	21.665620	4.906744	-0.944952	0.634853	0.000000	
82	-4303.242045	-4390.911369	83.204656	9.490801	21.665620	4.464668	-0.900150	0.633255	0.000000	
83	-4279.736595	-4367.158382	83.370439	9.490801	21.665620	4.051348	-0.856266	0.632029	0.000000	
84	-4279.527916	-4366.731559	83.537687	9.490801	21.665620	3.665957	-0.813352	0.630995	0.000000	
85	-4292.353198	-4379.366953	83.706046	9.490801	21.665620	3.307709	-0.771472	0.630673	0.000000	
86	-4289.244363	-4376.091880	83.871674	9.490801	21.665620	2.975843	-0.730701	0.631467	0.000000	
87	-4260.444255	-4347.155223	84.041352	9.490801	21.665620	2.669616	-0.691128	0.632568	0.000000	
88	-4239.887437	-4326.492318	84.216588	9.490801	21.665620	2.388293	-0.652860	0.633271	0.000000	
89	-4390.656973	-4477.182837	84.394731	9.490801	21.665620	2.131132	-0.616016	0.636641	0.000000	
90	-4372.990165	-4459.466832	84.579290	9.490801	21.665620	1.897378	-0.580732	0.641648	0.000000	
91	-4319.632997	-4406.087774	84.768527	9.490801	21.665620	1.686249	-0.547162	0.647084	0.000000	
92	-4276.099376	-4362.549447	84.953142	9.490801	21.665620	1.496929	-0.515472	0.651086	0.000000	
93	-4253.191072	-4339.659111	85.139483	9.490801	21.665620	1.328556	-0.485844	0.652541	0.000000	
94	-4200.672696	-4287.175671	85.322754	9.490801	21.665620	1.180221	-0.458468	0.651271	0.000000	
95	-4259.257161	-4345.813296	85.505171	9.490801	21.665620	1.050964	-0.433539	0.648935	0.000000	
96	-4257.832982	-4344.458446	85.685685	9.490801	21.665620	0.939779	-0.411248	0.645478	0.000000	
97	-4212.854802	-4299.565016	85.864589	9.490801	21.665620	0.845624	-0.391776	0.640647	0.000000	
98	-4274.713799	-4361.524858	86.043618	9.490801	21.665620	0.767441	-0.375281	0.636520	0.000000	
99	-4279.476964	-4366.410831	86.229689	9.490801	21.665620	0.704178	-0.361891	0.633010	0.000000	
100	-4274.295082	-4361.372838	86.422931	9.490801	21.665620	0.654825	-0.351693	0.629695	0.000000	
# Average ELBO for last 50: -4385.978739
101	-4239.558647	-4326.794921	86.617833	9.490801	21.665620	0.618441	-0.344730	0.625680	0.000000	
102	-4160.346406	-4247.757355	86.816754	9.490801	21.665620	0.594194	-0.340993	0.619837	0.000000	
103	-4341.501170	-4429.099950	87.017400	9.490801	21.665620	0.581380	-0.340422	0.616014	0.000000	
104	-4277.739875	-4365.543930	87.224618	9.490801	21.665620	0.579437	-0.342915	0.612461	0.000000	
105	-4228.009444	-4316.035053	87.437654	9.490801	21.665620	0.587954	-0.348325	0.607922	0.000000	
106	-4252.549280	-4340.806988	87.651056	9.490801	21.665620	0.606653	-0.356473	0.603290	0.000000	
107	-4185.458147	-4273.958093	87.864580	9.490801	21.665620	0.635365	-0.367152	0.597472	0.000000	
108	-4180.264942	-4269.017551	88.078606	9.490801	21.665620	0.674004	-0.380135	0.590631	0.000000	
109	-4336.779218	-4425.796794	88.295061	9.490801	21.665620	0.722515	-0.395180	0.585486	0.000000	
110	-4311.450636	-4400.742139	88.510666	9.490801	21.665620	0.780837	-0.412032	0.582809	0.000000	
111	-4307.148170	-4396.727273	88.730252	3.158527	19.598526	0.848851	-0.433209	0.583600	0.000000	
112	-4297.146035	-4387.035983	88.951601	3.158527	19.598526	0.938348	-0.457877	0.586350	0.000000	
113	-4264.707246	-4354.932462	89.176958	3.158527	19.598526	1.048258	-0.485407	0.589894	0.000000	
114	-4319.227077	-4409.815501	89.410324	3.158527	19.598526	1.178100	-0.515297	0.594772	0.000000	
115	-4271.001621	-4361.979214	89.649940	3.158527	19.598526	1.327653	-0.547130	0.599904	0.000000	
116	-4248.620330	-4340.014949	89.897861	3.158527	19.598526	1.496758	-0.580547	0.604537	0.000000	
117	-4262.365719	-4354.199820	90.148925	3.158527	19.598526	1.685176	-0.615220	0.608996	0.000000	
118	-4213.036283	-4305.331102	90.402341	3.158527	19.598526	1.892477	-0.650836	0.612608	0.000000	
119	-4190.811683	-4283.591057	90.661437	3.158527	19.598526	2.117937	-0.687083	0.614721	0.000000	
120	-4194.153686	-4287.420140	90.906036	3.158527	19.598526	2.360418	-0.723635	0.614975	0.000000	
121	-4189.028794	-4282.800582	91.153549	3.158527	19.598526	2.618239	-0.760133	0.612198	0.000000	
122	-4120.512567	-4214.799745	91.398165	3.158527	19.598526	2.889013	-0.796175	0.607338	0.000000	
123	-4129.806088	-4224.609166	91.633607	3.158527	19.598526	3.169470	-0.831296	0.601094	0.000000	
124	-4123.492600	-4218.813004	91.865138	3.158527	19.598526	3.455266	-0.864965	0.593690	0.000000	
125	-4121.416673	-4217.249540	92.092042	3.158527	19.598526	3.740825	-0.896580	0.585346	0.000000	
126	-4349.429462	-4445.762620	92.313875	3.158527	19.598526	4.019283	-0.925487	0.577457	0.000000	
127	-4270.055617	-4366.860356	92.522111	3.158527	19.598526	4.282628	-0.951016	0.570213	0.000000	
128	-4295.220142	-4392.470191	92.727894	3.158527	19.598526	4.522155	-0.972549	0.564335	0.000000	
129	-4166.638097	-4264.301879	92.934525	3.158527	19.598526	4.729257	-0.989590	0.558033	0.000000	
130	-4203.377875	-4301.415811	93.141497	3.158527	19.598526	4.896439	-1.001827	0.551846	0.000000	
131	-4165.061406	-4263.424952	93.345258	3.158527	19.598526	5.018288	-1.009166	0.545466	0.000000	
132	-4215.512967	-4314.151318	93.546271	3.158527	19.598526	5.092080	-1.011716	0.540141	0.000000	
133	-4208.067957	-4306.926940	93.741138	3.158527	19.598526	5.117845	-1.009750	0.535591	0.000000	
134	-4221.097937	-4320.125348	93.929431	3.158527	19.598526	5.097980	-1.003654	0.531188	0.000000	
135	-4130.020905	-4229.169326	94.111818	3.158527	19.598526	5.036602	-0.993871	0.526559	0.000000	
136	-4157.545146	-4256.768053	94.284006	3.158527	19.598526	4.938901	-0.980878	0.522500	0.000000	
137	-4168.279119	-4267.537736	94.448013	3.158527	19.598526	4.810604	-0.965155	0.519640	0.000000	
138	-4139.678398	-4238.941287	94.605264	3.158527	19.598526	4.657624	-0.947191	0.516257	0.000000	
139	-4164.724042	-4263.977179	94.767285	3.158527	19.598526	4.485852	-0.927479	0.512719	0.000000	
140	-4148.559616	-4247.792086	94.931383	3.158527	19.598526	4.301087	-0.906536	0.509315	0.000000	
141	-4205.689969	-4304.899873	95.100865	-26.815287	34.700638	4.109038	-0.884698	0.510979	0.000000	
142	-4294.189997	-4393.377467	95.274013	-26.815287	34.700638	3.913457	-0.862573	0.513600	0.000000	
143	-4225.415348	-4324.588567	95.453061	-26.815287	34.700638	3.720159	-0.840836	0.516118	0.000000	
144	-4218.105818	-4317.278122	95.637276	-26.815287	34.700638	3.535029	-0.820244	0.518623	0.000000	
145	-4240.438940	-4339.620504	95.817566	-26.815287	34.700638	3.363998	-0.801608	0.521633	0.000000	
146	-4393.212641	-4492.428729	96.003214	-26.815287	34.700638	3.212873	-0.785742	0.527002	0.000000	
147	-4348.110573	-4447.392443	96.194919	-26.815287	34.700638	3.086951	-0.773367	0.533493	0.000000	
148	-4434.460143	-4533.844005	96.393380	-26.815287	34.700638	2.990482	-0.765005	0.541169	0.000000	
149	-4150.112141	-4249.629611	96.591310	-26.815287	34.700638	2.926160	-0.760904	0.546864	0.000000	
150	-4184.701261	-4284.388956	96.792818	-26.815287	34.700638	2.894877	-0.761033	0.551104	0.000000	
# Average ELBO for last 50: -4324.038913
151	-4229.567592	-4329.457586	96.994135	-26.815287	34.700638	2.895860	-0.765124	0.555018	0.000000	
152	-4226.761146	-4326.878892	97.190675	-26.815287	34.700638	2.927071	-0.772740	0.558433	0.000000	
153	-4199.081214	-4299.452725	97.385873	-26.815287	34.700638	2.985638	-0.783342	0.560203	0.000000	
154	-4231.779633	-4332.431847	97.584090	-26.815287	34.700638	3.068125	-0.796316	0.561473	0.000000	
155	-4199.889482	-4300.842596	97.782521	-26.815287	34.700638	3.170592	-0.810982	0.561212	0.000000	
156	-4205.397845	-4306.669803	97.983499	-26.815287	34.700638	3.288460	-0.826587	0.559669	0.000000	
157	-4347.145010	-4448.748548	98.187305	-26.815287	34.700638	3.416233	-0.842283	0.558550	0.000000	
158	-4355.836643	-4457.777869	98.394020	-26.815287	34.700638	3.547206	-0.857128	0.558304	0.000000	
159	-4321.435944	-4423.707595	98.598311	-26.815287	34.700638	3.673340	-0.870125	0.558722	0.000000	
160	-4155.524849	-4258.110363	98.799926	-26.815287	34.700638	3.785588	-0.880333	0.556873	0.000000	
161	-4214.980657	-4317.856754	99.001167	-26.815287	34.700638	3.874930	-0.887015	0.554662	0.000000	
162	-4220.517958	-4323.641639	99.189701	-26.815287	34.700638	3.933980	-0.889774	0.551544	0.000000	
163	-4272.164798	-4375.504941	99.381653	-26.815287	34.700638	3.958490	-0.888592	0.548927	0.000000	
164	-4265.342102	-4368.867293	99.577216	-26.815287	34.700638	3.947976	-0.883778	0.546207	0.000000	
165	-4265.726720	-4369.396510	99.764475	-26.815287	34.700638	3.905315	-0.875880	0.543746	0.000000	
166	-4212.036018	-4315.822100	99.950249	-26.815287	34.700638	3.835833	-0.865617	0.540159	0.000000	
167	-4393.547722	-4497.428814	100.134629	-26.815287	34.700638	3.746464	-0.853845	0.539126	0.000000	
168	-4233.448015	-4337.413398	100.320124	-26.815287	34.700638	3.645259	-0.841567	0.537807	0.000000	
169	-4229.579702	-4333.625010	100.504135	-26.815287	34.700638	3.541173	-0.829918	0.536127	0.000000	
170	-4224.882030	-4329.015414	100.689562	-26.815287	34.700638	3.443822	-0.820099	0.535030	0.000000	
171	-4264.390776	-4368.635137	100.881547	-23.412174	21.908267	3.362814	-0.814566	0.536733	0.000000	
172	-4212.275511	-4316.677647	101.084544	-23.412174	21.908267	3.317593	-0.813705	0.539940	0.000000	
173	-4171.543117	-4276.148737	101.295044	-23.412174	21.908267	3.310577	-0.817268	0.542104	0.000000	
174	-4187.881657	-4292.734552	101.513261	-23.412174	21.908267	3.339634	-0.824572	0.544306	0.000000	
175	-4350.804145	-4455.940128	101.736385	-23.412174	21.908267	3.399598	-0.834670	0.547463	0.000000	
176	-4287.365663	-4392.808118	101.959088	-23.412174	21.908267	3.483367	-0.846410	0.550796	0.000000	
177	-4314.946815	-4420.708984	102.180117	-23.412174	21.908267	3.582052	-0.858434	0.553617	0.000000	
178	-4154.114332	-4260.204254	102.405377	-23.412174	21.908267	3.684545	-0.869195	0.553707	0.000000	
179	-4157.528800	-4263.933213	102.626917	-23.412174	21.908267	3.777496	-0.877160	0.551398	0.000000	
180	-4353.310536	-4459.999380	102.841798	-23.412174	21.908267	3.847046	-0.881202	0.550743	0.000000	
181	-4266.998533	-4373.915508	103.034393	-23.412174	21.908267	3.882581	-0.880917	0.551153	0.000000	
182	-4441.641455	-4548.746267	103.224741	-23.412174	21.908267	3.880071	-0.876625	0.554079	0.000000	
183	-4325.245612	-4432.502011	103.414038	-23.412174	21.908267	3.842361	-0.869163	0.558319	0.000000	
184	-4342.298848	-4449.661358	103.585293	-23.412174	21.908267	3.777217	-0.859710	0.564090	0.000000	
185	-4251.142379	-4358.585352	103.747463	-23.412174	21.908267	3.695510	-0.849747	0.570086	0.000000	
186	-4278.267436	-4385.782776	103.904987	-23.412174	21.908267	3.610354	-0.840982	0.575307	0.000000	
187	-4345.506756	-4453.099081	104.056073	-23.412174	21.908267	3.536252	-0.835065	0.580943	0.000000	
188	-4235.140707	-4342.835506	104.208135	-23.412174	21.908267	3.486664	-0.833077	0.583938	0.000000	
189	-4225.987765	-4333.826164	104.368313	-23.412174	21.908267	3.470086	-0.835193	0.585081	0.000000	
190	-4216.966952	-4324.982708	104.528018	-23.412174	21.908267	3.487737	-0.840774	0.584438	0.000000	
191	-4233.770838	-4341.991335	104.685988	-23.412174	21.908267	3.534508	-0.848623	0.582100	0.000000	
192	-4192.285432	-4300.730308	104.844071	-23.412174	21.908267	3.600806	-0.857125	0.577702	0.000000	
193	-4199.832059	-4308.503592	104.998215	-23.412174	21.908267	3.673318	-0.864385	0.571883	0.000000	
194	-4198.487589	-4307.373105	105.149705	-23.412174	21.908267	3.735811	-0.868647	0.564854	0.000000	
195	-4211.559002	-4320.626643	105.294904	-23.412174	21.908267	3.772737	-0.868950	0.556883	0.000000	
196	-4235.934729	-4345.144643	105.434542	-23.412174	21.908267	3.775371	-0.865438	0.548919	0.000000	
197	-4190.467169	-4299.779805	105.567720	-23.412174	21.908267	3.744916	-0.859143	0.540685	0.000000	
198	-4285.423658	-4394.804274	105.689981	-23.412174	21.908267	3.690635	-0.851713	0.533924	0.000000	
199	-4288.308332	-4397.755631	105.820227	-23.412174	21.908267	3.627072	-0.845205	0.530221	0.000000	
200	-4197.880981	-4307.408846	105.956009	-23.412174	21.908267	3.571857	-0.841585	0.526553	0.000000	
# Average ELBO for last 50: -4357.769895
# Reverting to parameters from iteration 122; ELB: -4214.80, LNL: -4120.51, LPRIOR: 0.00, KLD: 91.40, penalty: 2.89, LNL_mc: -4255.76, nu: 0.6122, lead_t: 0.0000
