gene	log2FC	p_value	q_value	signif
396	3.3849878	6.253122296284211e-06	0.0031265611481421053	True
459	2.3686082	0.00013197272805781516	0.028400567335555876	True
239	2.5765562	0.00017040340401333525	0.028400567335555876	True
425	2.792791	0.0005149473830906182	0.0537241130159275	False
10	2.3441694	0.000537241130159275	0.0537241130159275	False
1	1.8848265	0.0010410244602232432	0.08059198585742487	False
318	1.7214347	0.0011282878020039482	0.08059198585742487	False
464	2.1307194	0.0014566597157775047	0.09104123223609403	False
484	2.155018	0.0020995683915233866	0.11664268841796593	False
97	2.042923	0.0029623219842874566	0.12536888122359877	False
211	2.0467298	0.0031729619855778136	0.12536888122359877	False
296	2.3215213	0.003309281734162507	0.12536888122359877	False
436	1.6277909	0.0033971687262172126	0.12536888122359877	False
78	1.883253	0.00382945857341821	0.12536888122359877	False
60	1.6677293	0.003909550671747262	0.12536888122359877	False
382	1.4692106	0.004011804199155161	0.12536888122359877	False
468	1.7484872	0.004289125017266654	0.1261507358019604	False
111	1.5276817	0.004822668677732603	0.1326987759824401	False
359	1.5358787	0.00525486843328711	0.1326987759824401	False
204	1.9324383	0.005307951039297604	0.1326987759824401	False
340	1.4770133	0.00607351542829821	0.1351554405821933	False
495	1.9474441	0.006444632155604265	0.1351554405821933	False
393	2.0303082	0.006903296868612017	0.1351554405821933	False
252	1.8202984	0.0070740812552666996	0.1351554405821933	False
258	1.4449056	0.007391077541162428	0.1351554405821933	False
48	1.5922881	0.007609428430337052	0.1351554405821933	False
338	1.889346	0.007683486795388324	0.1351554405821933	False
418	1.8500687	0.007758190499969481	0.1351554405821933	False
412	2.0829616	0.008180813362849077	0.1351554405821933	False
107	2.0056298	0.008299594812494832	0.1351554405821933	False
234	1.6523793	0.008379637316095985	0.1351554405821933	False
283	1.5848949	0.008706756166486439	0.1360430651013506	False
171	2.0873353	0.00962038433817693	0.14138880098595916	False
250	1.7357711	0.009896665585242484	0.14138880098595916	False
248	1.4964594	0.010132276537926936	0.14138880098595916	False
50	2.1075757	0.01017999367098906	0.14138880098595916	False
241	1.9876678	0.0106185318769141	0.1416894865268589	False
289	1.8264118	0.010768400976041276	0.1416894865268589	False
413	1.6947893	0.011125431498389564	0.14263373715884056	False
386	1.7959979	0.01301338425975249	0.15902508585330358	False
379	2.0179844	0.013374497420560898	0.15902508585330358	False
351	1.4208108	0.014059596743774388	0.15902508585330358	False
19	1.8689475	0.01412338823294287	0.15902508585330358	False
476	1.843145	0.014511527914127433	0.15902508585330358	False
148	1.5179356	0.01470910181816283	0.15902508585330358	False
411	1.9709918	0.01538491010939421	0.15902508585330358	False
353	1.5602758	0.016016352895890363	0.15902508585330358	False
391	1.489936	0.0160879006260607	0.15902508585330358	False
467	1.8028052	0.016449869558246424	0.15902508585330358	False
284	1.7184283	0.016596648356553445	0.15902508585330358	False
160	1.7602203	0.016893660050517224	0.15902508585330358	False
488	2.2063444	0.017195326797707473	0.15902508585330358	False
265	1.592244	0.017424667795665337	0.15902508585330358	False
108	1.9301542	0.017501708573576556	0.15902508585330358	False
343	1.5546361	0.017501708573576556	0.15902508585330358	False
52	1.4085827	0.018049404524186293	0.15902508585330358	False
354	1.8267124	0.01812885978727661	0.15902508585330358	False
404	1.7641966	0.018449751851827574	0.15904958492954804	False
144	1.5180535	0.020129877555643504	0.17059218267494497	False
2	1.3783474	0.020928510336445143	0.17375074671323681	False
200	1.2193389	0.02129223194004477	0.17375074671323681	False
457	1.3998333	0.021848135107550626	0.17375074671323681	False
448	1.611236	0.022320992927607593	0.17375074671323681	False
29	1.6927407	0.022512613153804633	0.17375074671323681	False
422	1.9414032	0.022802724227318494	0.17375074671323681	False
55	1.3555825	0.023592286155252218	0.17375074671323681	False
214	1.6196043	0.02369263037047515	0.17375074671323681	False
218	1.5014005	0.024097718981954765	0.17375074671323681	False
115	1.6281161	0.02430250574900025	0.17375074671323681	False
255	1.7671797	0.024716608464763354	0.17375074671323681	False
487	1.4146969	0.024821084210835224	0.17375074671323681	False
3	1.6026706	0.025136809487336497	0.17375074671323681	False
133	1.9882455	0.026104931162681297	0.17375074671323681	False
119	1.8073758	0.026214464221895745	0.17375074671323681	False
132	1.7513764	0.02643472242216569	0.17375074671323681	False
293	1.699346	0.026768107156253215	0.17375074671323681	False
104	1.3484287	0.027105116487264942	0.17375074671323681	False
127	1.7445014	0.027105116487264942	0.17375074671323681	False
435	1.431356	0.027790134252078148	0.17586437024384663	False
207	1.7832611	0.028255061506216077	0.17586437024384663	False
244	1.310067	0.028490027979503153	0.17586437024384663	False
191	1.5460055	0.02969026864445493	0.17885704002683692	False
98	1.3551393	0.02969026864445493	0.17885704002683692	False
256	1.8992792	0.030058715196015984	0.17892092378580943	False
49	1.5710889	0.031187723869051037	0.18070976313922124	False
37	1.8059399	0.031315387278884145	0.18070976313922124	False
270	1.6709902	0.031443498786224496	0.18070976313922124	False
319	1.6459869	0.03222164702424292	0.18307753991047115	False
245	1.2344284	0.034239550488269106	0.19008083266122858	False
61	1.6057997	0.03451659709009031	0.19008083266122858	False
21	1.5916429	0.03535925470862205	0.19008083266122858	False
124	1.1909944	0.03535925470862205	0.19008083266122858	False
358	1.5614779	0.0363644834274606	0.19008083266122858	False
128	1.6737047	0.03665612680289898	0.19008083266122858	False
67	1.568006	0.037097326867141234	0.19008083266122858	False
216	1.8293492	0.037393965494438845	0.19008083266122858	False
136	1.5981312	0.03754304031570417	0.19008083266122858	False
347	1.4365685	0.03754304031570417	0.19008083266122858	False
390	1.6177801	0.037842707545075495	0.19008083266122858	False
134	1.658464	0.039061804563290684	0.19008083266122858	False
288	1.4069244	0.03937173887358292	0.19008083266122858	False
46	1.4945472	0.03968375851580885	0.19008083266122858	False
427	1.7298986	0.04015572139703866	0.19008083266122858	False
401	1.6184903	0.04031409663580958	0.19008083266122858	False
297	1.8415558	0.04031409663580958	0.19008083266122858	False
106	1.0259167	0.04063243660165296	0.19008083266122858	False
313	1.6616715	0.04095290487524781	0.19008083266122858	False
286	1.1080049	0.04143762152014783	0.19008083266122858	False
489	1.4006158	0.04143762152014783	0.19008083266122858	False
63	1.3684157	0.04655762180476536	0.20714387541344426	False
444	0.9890796	0.04655762180476536	0.20714387541344426	False
285	1.346514	0.04709772618738659	0.20714387541344426	False
365	1.0510268	0.047278928162871714	0.20714387541344426	False
301	1.4727618	0.047460716078204686	0.20714387541344426	False
392	1.4981457	0.04764309134509218	0.20714387541344426	False
447	1.5685556	0.048193755393784864	0.20773170428355545	False
7	1.330068	0.05045016686032648	0.21540131572752821	False
243	1.1504511	0.050834710511696655	0.21540131572752821	False
157	1.3657495	0.05161116536202654	0.21570247302897969	False
314	1.5654956	0.051806822378248164	0.21570247302897969	False
54	1.6627612	0.052199998473013084	0.21570247302897969	False
195	1.7160652	0.05522906571675409	0.22619429924181048	False
4	1.7253791	0.055643797613485375	0.22619429924181048	False
42	1.1010702	0.05754233006860807	0.22983477378670958	False
