ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_pro	h1_theta_diff	h0	h1	lrt	p	q	signif
13	Stmn1	16.4643	8.980896	271.54807	158.9219207763672	18.42876	22.783857	347.00906	65.13661193847656	171.5412139892578	-101687.055	-101757.17	140.23438	0.003585797669868428	0.1668264146860864	False
55	Jpt1	371.10864	12.117932	44.436092	30.692052841186523	1096.6332	29.910442	42.994026	12.1998929977417	33.13214111328125	-13335.604	-13385.316	99.42578	0.00914184751700133	0.1668264146860864	False
25	Tmsb4x	12.137085	7.1835732	231.45662	144.9022674560547	16.54121	11.391971	220.10406	221.55203247070312	130.53143310546875	-90748.77	-90796.8	96.046875	0.00994896273434101	0.1668264146860864	False
18	Stmn3	519.8667	10.041736	47.66936	29.76774024963379	790.7593	21.153173	48.426376	9.700154304504396	32.63444900512695	-13161.153	-13205.616	88.92578	0.011939673780438463	0.1668264146860864	False
15	Tmsb10	12.086092	10.450979	355.34125	178.34515380859375	17.756577	22.542227	380.03366	80.05924224853516	191.3027191162109	-115718.12	-115753.84	71.453125	0.019162651823971196	0.1668264146860864	False
16	Nfia	1.4368508	13.550829	32.211414	-2.649550199508667	3.0661175	32.10052	30.838297	9.855002403259276	-3.128445625305176	-126.590515	-161.3571	69.53317	0.02023368552321037	0.1668264146860864	False
21	Tubb3	36.98414	10.072152	88.0958	36.87928009033203	7.267951	19.59269	74.30453	9.740241050720217	41.07814407348633	-18947.814	-18981.535	67.44141	0.02148123033848409	0.1668264146860864	False
12	Tubb2a	66.55598	8.422727	64.76832	30.342565536499023	4.266278	16.899176	32.319374	13.833468437194824	33.317291259765625	-14300.811	-14332.138	62.654297	0.0246910704172357	0.1668264146860864	False
43	Basp1	592.62714	10.088769	58.13153	53.5880241394043	1096.6332	26.613956	71.542145	31.26163101196289	56.5833625793457	-28650.807	-28681.055	60.496094	0.026319801642021856	0.1668264146860864	False
1	Tubb5	57.160828	7.9864354	95.545815	50.469608306884766	13.136346	21.643267	100.875046	15.280109405517578	55.33407974243164	-28850.887	-28879.115	56.45703	0.029718523349489795	0.1668264146860864	False
9	Rtn1	137.33148	8.068729	83.39242	61.12300109863281	425.53738	22.906206	112.86351	27.42455291748047	65.70964050292969	-34247.633	-34275.617	55.96875	0.030163238220341417	0.1668264146860864	False
0	Malat1	9.536333	24.03289	578.0782	234.17819213867188	11.0105095	20.150246	450.85248	332.4053039550781	223.7471923828125	-162180.0	-162206.61	53.21875	0.032818311085787484	0.1668264146860864	False
11	Meg3	40.017155	4.6121383	85.302444	49.33642959594727	57.804382	5.644621	77.86404	16.18020248413086	60.54893112182617	-23300.438	-23324.115	47.35547	0.03944882285886007	0.18510601495311263	False
57	Calm2	48.14943	6.212889	29.89924	21.27031707763672	12.670544	23.473068	39.147526	10.492969512939451	22.99857521057129	-8055.1924	-8077.3125	44.240234	0.043604934033484186	0.1899929268601811	False
2	Sox4	42.955685	10.554691	30.21758	11.602165222167969	3.1601276	13.028599	11.595545	4.254008769989014	12.793789863586426	-3117.2017	-3136.2454	38.087402	0.053419011871000746	0.20899794741158445	False
37	Ly6h	33.202232	8.443612	21.836952	24.59774780273437	29.076075	9.008581	15.607143	14.917376518249512	26.92609024047852	-9327.027	-9345.687	37.31836	0.054819133747300845	0.20899794741158445	False
8	Actg1	243.95271	12.883706	99.17341	71.22956848144531	83.75089	19.18953	100.38911	50.41820526123047	74.00595092773438	-42303.88	-42320.125	32.492188	0.06465445620142493	0.21038755954803015	False
14	Actb	15.242127	13.73736	163.41895	78.93838500976562	10.406745	5.8609653	87.0052	73.1022720336914	77.32806396484375	-46119.176	-46135.24	32.125	0.06548386186981713	0.21038755954803015	False
51	Atpif1	411.03415	7.7087607	15.270732	19.409067153930664	1005.8584	18.85652	19.7687	12.78636646270752	20.38778114318848	-6844.845	-6860.8975	32.104492	0.06553055133463234	0.21038755954803015	False
