cell_name	q_mean	q_std	read_count
c4898	1.6606319730425851	2.0589513750331565	1
c4902	2.180991290041961	1.828317658510506	2
c4906	1.8789149730492691	2.7606665417814606	0
c4909	4.460932028882538	2.581916466048702	0
c4910	4.473844144637853	2.586954619040356	0
c4911	2.06632054581395	1.734765587329265	2
c4917	2.149837319137724	1.790058573029118	2
c4920	4.0685602327805865	2.876861940883745	0
c4921	5.831781520016489	1.678288931836307	10
c4922	0.7408204222885385	2.369608929508658	0
c4923	5.820025784772727	1.7617597914250174	10
c4929	3.5800848089920065	2.998760821642517	0
c4936	0.9868523943406092	1.996252125308404	1
c4940	0.92040041879096	1.9723168581610075	1
c4944	2.884025215912857	2.903537626756657	0
c4946	2.746530048738188	1.9469689220678643	2
c4947	2.3697591522294403	1.8301421509920408	2
c4956	3.606934587194744	1.7645316760760588	4
c4958	3.764885521471027	2.836367699295955	0
c4961	2.883596511662708	2.873685333861057	0
c4965	3.876156541158597	2.853264291042385	0
c4969	2.9533780459376104	2.958123569619284	0
c4971	0.9251406495959784	1.9660067185018677	1
c4974	0.7912279265828875	1.9605558984359013	1
c4976	5.336559040935773	1.7568500057342098	8
c4978	3.9158121116838553	2.8379085748684503	0
c4983	6.4614781596170126	1.8868554019761683	9
c4984	4.009536002047	2.115091999412308	2
c4985	0.773349777408466	1.961918424216607	1
c4989	1.1091424861545078	2.290581406813441	0
c4990	2.376744776530733	1.4901806454919817	3
c4991	1.0775123451122506	2.5042603582327905	0
c4996	3.263394431884296	2.89317528261197	0
c4997	2.948844617515258	2.9057196697128105	0
c5002	2.9652536948249684	2.957265400359126	0
c5004	3.6697043556697215	2.8610049473592367	0
c5008	1.9686951556013212	2.5825099852754665	0
c5009	8.993693309032599	2.160886737305001	17
c5012	3.800073894899924	1.736613815428784	4
c5017	3.062775153748264	1.7724483416971215	3
c5024	3.981703971168914	2.863642200282825	0
c5026	3.13315471061721	2.865225405416122	0
c5028	4.348558616930306	1.8721179825390888	5
c5040	0.932647389259636	1.9015023244938687	1
c5041	5.948752081427863	1.9547884582046668	8
c5043	3.081677477178744	2.831167529212826	0
c5051	3.373007023318068	1.719527036442141	4
c5053	2.9387913879308774	2.864877972557155	0
c5055	0.7813264952539406	1.9518406074144727	1
c5058	4.085112473824994	2.881964587646777	0
c5063	3.803794575690637	2.802816745785702	0
c5066	3.6393442010727344	2.86261711433707	0
c5072	2.8383055777289723	2.666486514707043	0
c5078	2.821669645368653	2.8718773543210987	0
c5080	3.1400485246272143	2.947199924736944	0
c5083	2.3850325636223824	1.5136123855309989	3
c5084	1.152238496658266	2.275576654936313	0
c5103	8.957754671225523	2.1729396857593093	14
c5104	8.912138569709292	2.135112082976235	14
c5106	2.6857188437453945	2.814878872613749	0
c5109	2.8720520804162555	2.8996884729994385	0
c5118	0.6975740207590915	1.827843755761411	1
c5122	3.754401306109506	1.7985496405151389	4
c5124	1.640696799831896	1.6384251413370825	2
c5127	2.752560046742577	2.387686877876172	0
c5128	2.7650643575558784	2.3532889005626165	0
c5130	3.245332824544999	2.9373199784401622	0
c5131	2.3533999412735622	2.3405007375042097	0
c5132	2.365899004200652	2.332921414145041	0
c5140	3.79851738777432	2.8080122356279125	0
c5141	1.6215562426478656	2.2823031056374727	0
c5142	2.1139962203022664	1.4283231429475307	3
c5144	3.704786682026347	1.598833277943875	5
c5148	5.096957833077811	1.8466053684516637	6
c5151	1.2322810030461913	2.555104143293297	0
c5153	0.7820317159500192	2.2491546435443404	0
c5154	4.147828333736773	1.4739261636280692	7
c5157	1.8830834629528896	2.5854081714397497	0
c5162	4.363852565444277	2.865785058902605	0
c5164	2.9389750824910656	2.976734509607201	0
c5168	2.995765562144883	1.7322864804946918	3
c5169	1.7179438827376907	1.6698303856433128	2
c5171	3.388503304458324	2.9457716090945287	0
c5174	2.0855548112824778	2.735630631676886	0
c5176	2.3118647836378905	1.815515599817076	2
c5181	4.471779514793382	2.586117310559972	0
c5182	4.458709169319499	2.577470015929477	0
c5183	4.171520423616598	2.550865500894345	0
c5184	4.181463868478724	2.5793815452024957	0
c5189	2.71373310049039	2.875506339846208	0
c5192	2.961528945737274	2.926318551724136	0
c5195	4.365335418755819	2.884845091670256	0
c5197	5.741217277679144	1.8540004239085437	8
c5206	1.0562140352980955	1.9344274177409704	1
c5207	2.3173264810440592	2.0683043301235937	1
c5208	5.273111696870917	1.7706444294852766	7
c5214	3.691246608727345	3.002183681722565	0
c5215	3.666074406107748	2.8850935264640847	0
c5220	0.8506774455807977	1.954917492028095	1
c5222	7.057874053618585	1.9219836342385863	12
c5230	3.2828899032273204	2.911747266358369	0
c5232	2.136027572297182	1.809984499058728	2
c5233	1.8503647477775425	1.592755039502993	2
c5234	0.885039428601626	1.7593685195784683	1
c5238	2.3769443743443275	2.6783647684967566	0
c5242	3.298454265632503	2.888682932200034	0
c5246	2.35245142590597	2.574214944945234	0
c5247	4.310966998569415	1.932337110916928	4
c5249	0.2385611406640531	2.277375482760038	0
c5250	4.798685683392735	1.555822754798979	8
c5251	2.283991234304305	1.8545678634856104	2
c5255	1.4236389199540305	2.256161403911366	0
c5256	2.1835163807470046	1.473150139562463	3
c5259	1.5459860005599908	1.5575404815728158	2
c5260	1.4435555913921767	2.2868920286433303	0
c5264	1.8870395757444216	1.705281680839546	2
c5267	1.2462008460272598	1.9582657027056516	1
c5269	5.360406445921611	1.9312306222188087	7
c5274	2.8130777710946777	2.7105786545762323	0
c5281	2.7903283024139567	2.925203052429496	0
c5285	5.753733943939715	1.952161027684286	8
c5296	3.1289385374609373	2.959464922461412	0
c5299	1.644020182095281	1.950218841247937	1
c5300	3.6036561471755055	1.695859044858095	4
c5303	2.8941236321222306	2.936829934164871	0
c5308	3.414490266487362	1.9784593300500848	3
c5311	7.136790595193493	2.042970604753143	12
c5313	3.6271156481025457	2.52621790784241	0
c5314	3.633420843191548	2.510969866575162	0
c5316	2.14713020968417	1.7875223617784948	2
c5317	0.4315527077248159	2.250602024430773	0
c5318	3.273960034708242	1.5886125744997788	4
c5321	4.2140725915678985	2.0915026953465965	3
c5325	0.7534049062190056	1.9145444265712448	1
c5327	2.9347267628760227	2.932917048452939	0
c5330	2.1503626031589214	2.815738391412409	0
c5333	3.83089478733774	2.965647768200021	0
c5337	3.6437666020683817	2.8593675209154403	0
c5343	0.931504663951748	1.9981394221146305	1
c5346	1.6138825152949654	2.584343120754595	0
c5353	2.8725920888078105	2.907695807800037	0
c5357	2.6880126654757364	1.4497457588199287	4
c5358	1.401843547480312	2.2329850589345783	0
c5365	0.4622431487793648	1.864167010905732	1
c5371	6.410193535731051	2.0177519188162054	10
c5376	3.147797677978649	2.87292371296391	0
c5383	1.5319398945084015	1.5358911761049248	2
c5384	1.427349358797407	2.261576392256184	0
c5385	3.99044408457333	2.8553344915560426	0
c5391	2.897661019983156	2.390905377378536	0
c5392	2.8672261258756437	2.4015850184514647	0
c5396	3.2770891254287915	2.957630996839196	0
c5397	1.8242020348295216	1.6704346420629057	2
c5399	0.762238734502185	1.9492079845168728	1
c5401	2.2085035618916047	2.615933238616971	0
c5406	1.3924551906723348	2.6555982260637907	0
c5408	3.8322853052058425	2.7934199435372884	0
c5419	2.5700348990127586	1.6143138086889068	3
c5422	4.204790861208871	3.029242948745532	0
c5425	3.792392993522384	3.0807599464654585	0
c5429	4.406224719530476	2.5881292064586656	0
c5430	4.374161878170585	2.587342879514294	0
c5431	4.315774910720873	2.902898099834494	0
c5434	3.327999538139196	2.9490102030429406	0
c5436	2.76860609997609	2.828900447882008	0
c5438	0.4935536357991391	1.9174685465844168	1
c5442	3.622905469907416	3.0210932629719465	0
c5443	0.4120082627380423	1.8448574622778988	1
c5461	1.9063789663503703	2.271405830734775	0
c5462	1.2767004793895438	1.4837839037087193	2
c5463	1.6624464249582251	2.3065709936401984	0
c5464	1.3952473274884123	1.514480760511952	2
c5472	2.825827437249929	1.7446139069089162	3
c5478	3.5983480240322008	3.0858032646286637	0
c5479	3.9618350165741583	3.0623170221699656	0
c5482	2.005636768592513	1.7822964263449343	2
c5483	3.820168790025263	2.582863702241516	0
c5484	3.832078214087372	2.548976989093113	0
c5485	5.039629043610663	1.7886240885024642	7
c5494	3.606748353437915	3.021042761630175	0
c5495	4.36473478844349	2.600677720005562	0
c5496	4.386142732866112	2.602765624129173	0
c5503	4.061391470387056	3.053684698852627	0
c5505	3.532996732170842	3.039449877006804	0
c5515	4.471768940632318	1.7627643611196973	6
c5524	4.680217288454814	1.7990376513173236	6
c5526	3.5920734198754958	3.003403398488737	0
c5528	2.831113178533112	2.8441033917897376	0
c5529	2.2078366766938924	2.6471442742790794	0
c5532	2.4470091447706395	1.843669466798732	2
c5533	1.9670077464442317	2.3192184784323926	0
c5534	0.1678504580873576	1.722944184728278	1
c5536	1.763106835685025	1.7033278189063112	2
c5542	2.704584989999439	2.6698500905560008	0
