"gene","OUM_loglik","OUM_AICc","OUM_delta_aicc","OUM_aicc_weight","OUM_alpha","OUM_sigma_sq"
"1",-173.413666440965,355.038973093571,0,0.996612,0.172888919400803,0.146501007591954
"2",-179.900292694286,368.012225600213,0,0.996608,0.256578075066618,0.213029319518692
"3",-175.324532269152,358.860704749943,0,0.95139,0.118996385066325,0.115883158366345
"4",-168.865852505107,345.943345221854,0,0.957656,0.121067509258878,0.109593078033724
"5",-168.392142304293,344.995924820226,0,0.999997,0.230696239742093,0.173551973699165
"6",-163.108979020083,334.429598251806,0,0.999999,0.230054511439577,0.163969932456854
"7",-176.209640680643,360.630921572925,0,1,0.494155306819864,0.365714747051071
"8",-157.178528815669,322.568697842977,0,0.993213,0.17470078847784,0.124867490562652
"9",-184.848155573495,377.907951358631,0.339985084097862,0.457604,0.99430297474535,0.785162051015374
"10",-176.886926495414,361.985493202468,1.24215429083256,0.349537,0.265122817825196,0.212159857673104
"11",-179.302738697977,366.817117607595,0,0.684164,0.144664001063224,0.137222958972332
"12",-140.511639276755,289.23491876515,0,0.999999,0.355408231344167,0.187513507477942
"13",-171.629739720997,351.471119653634,0,0.999848,0.252628475791819,0.193094450364314
"14",-175.34550630512,358.90265282188,2.07639178758325,0.261498,0.157907081825204,0.140077905404843
"15",-173.524647631874,355.260935475388,1.64846803571476,0.304866,0.2889694481735,0.220370527298771
"16",-185.504850090856,379.221340393352,1.82802147470272,0.28618,0.172650955961009,0.165765855274164
"17",-188.332255804032,384.876151819704,0,0.996371,0.200682813993408,0.191095687367192
"18",-180.872903026823,369.957446265287,0,0.679946,0.143610119034645,0.13878449718238
"19",-177.75473245748,363.721105126601,0,0.986944,0.270050129266745,0.217373224803096
"20",-172.658873304377,353.529386820395,0,0.995947,0.35366168429168,0.260154159080757
"21",-165.988526528424,340.188693268487,0,0.802454,0.242184374463162,0.176023965230238
"22",-170.530404416877,349.272449045394,0,0.577774,0.257630466002841,0.194049077030167
"23",-173.21652782475,354.64469586114,0,0.99692,0.294654439522096,0.223248736735953
"24",-154.966732442843,318.145105097325,0,0.99992,0.193292885176061,0.131625617841819
"25",-166.673790369857,341.559220951354,0,0.997517,0.27495990157393,0.19684813914159
"26",-183.581370502434,375.374381216509,2.02774108035123,0.266223,0.139815948604902,0.140131515897827
"27",-155.046177265201,318.303994742042,0,0.999997,0.214750609433976,0.142883669661044
"28",-138.228094539154,284.667829289948,0,1,0.20170684481293,0.114423251102201
"29",-172.136071800384,352.483783812408,0,0.716698,0.181275860836538,0.149749096110561
