"gene","OUM_loglik","OUM_AICc","OUM_delta_aicc","OUM_aicc_weight","OUM_alpha","OUM_sigma_sq"
"1",-173.000048499262,354.211737210164,0,0.999987,0.283270693893062,0.215453301452259
"2",-167.622189894812,343.456020001264,0,0.690048,0.27361896820878,0.19797540404387
"3",-176.839650515545,361.89094124273,1.10400828811873,0.3654,0.237865622922393,0.194041435631718
"4",-180.133440474488,368.478521160616,2.00683017736696,0.268271,0.228206886440013,0.194168407915031
"5",-180.230225297459,368.672090806559,0,1,0.35145102668955,0.279648768218301
"6",-175.422927597993,359.057495407626,0,0.709996,0.163924308716763,0.143880519414526
"7",-196.619672702126,401.450985615892,1.46056129119302,0.325133,0.212725841656894,0.217733189579053
"8",-174.77075819391,357.753156599461,0.851683052744306,0.39512,0.284493965958684,0.22020746213506
"9",-155.879105126679,319.969850464998,0,0.625485,0.294739823628101,0.186754551843056
"10",-175.643822811594,359.499285834828,0.712059838889218,0.411921,0.37601215553287,0.283209522536707
"11",-143.81575007639,295.84314036442,0,0.996697,0.121722303807194,0.0849216878348192
"12",-166.404928581781,341.021497375202,0,0.998745,0.206248845611495,0.155643574184152
"13",-181.446623194356,371.104886600352,0,0.833748,0.323271367575498,0.263150608872194
"14",-165.493622651466,339.198885514572,0,0.804394,0.257475901532367,0.184149446413693
"15",-174.67883805494,357.56931632152,1.36523220516023,0.335678,0.186435710392227,0.156944954839048
"16",-181.91064734975,372.03293491114,0.0386030270052515,0.495175,0.200745296024836,0.178849546098832
"17",-179.270824394188,366.753289000016,0,0.561087,0.294511868226549,0.237523590126981
"18",-165.181136967222,338.573914146083,0,0.999994,0.240344770686097,0.173524387851436
"19",-161.877668848026,331.966977907693,0.970584687168525,0.381003,0.238819006849585,0.166835267289187
"20",-197.664252940687,403.540146093015,1.65517779404462,0.304155,0.206283090604019,0.214879069271686
"21",-183.666263050119,375.544166311878,0,0.506791,0.253722631597371,0.219800676181738
"22",-183.310924207982,374.833488627605,0,0.958174,0.265568343016467,0.227009859218927
"23",-183.384900722973,374.981441657586,1.79920211032487,0.289132,0.272125747784534,0.231837542356769
"24",-184.951646701024,378.114933613689,0,0.749552,0.380497058793612,0.315075242161003
"25",-180.28168286672,368.77500594508,0,0.528783,0.219633478938334,0.188707708297495
"26",-182.957837692872,374.127315597384,0,0.501567,0.424999723228153,0.34111674851351
"27",-160.732571036278,329.676782284197,0,0.980341,0.295041286263515,0.196516926318869
"28",-181.780251014176,371.772142239993,1.55863576751352,0.314467,0.301092657597604,0.248377705409251
"29",-197.327912412506,402.867465036653,0,0.75376,0.226998749134461,0.230647639961378
"30",-177.439959385419,363.091558982478,1.68185655275056,0.301339,0.254545188598895,0.206337146298043
"31",-191.965164153144,392.141968517927,0.593217710733143,0.426387,0.297977785427283,0.273473048525024
"32",-181.989211834558,372.190063880757,1.45569206281198,0.325668,0.237930378249255,0.204673925578317
"33",-165.928233114698,340.068106441036,2.06456464392403,0.262642,0.348285133586317,0.239344432655334
"34",-193.087084283702,394.385808779044,1.35552648989267,0.336761,0.181382639220299,0.185893430702926
"35",-183.20942231756,374.630484846759,0,0.935162,0.240937525316506,0.209370015357592
"36",-182.560357036134,373.332354283909,1.92491460520586,0.276386,0.217732541816199,0.191789293877035
"37",-189.063675422986,386.338991057612,0,0.539794,0.155818816042643,0.159793479290593
"38",-136.853199511894,281.918039235428,0,0.975515,0.225532007575831,0.123122186649019
"39",-154.774481624915,317.760603461471,0,0.960098,0.238352222930791,0.154812483513065
"40",-179.090704259788,366.393048731217,0.565155661220558,0.429822,0.230092656570795,0.193364175376422
"41",-167.464280050041,343.140200311721,0,0.999564,0.492235930756471,0.332960626149208
"42",-150.729090825126,309.669821861892,0,0.501958,0.212750016146628,0.135676488181651
"43",-186.695933948187,381.603508108015,0,0.620991,0.156534851522622,0.156430421932942
"44",-181.984198999149,372.180038209938,1.53718435177404,0.316784,0.259062781587212,0.219220613184597
"45",-156.735235317264,321.682110846169,0,0.75759,0.400570528598241,0.246694490019407
"46",-177.02818341939,362.268007050421,0,0.86304,0.259210952068075,0.208552268202054
"47",-175.159018017133,358.529676245907,0,0.995705,0.3072041004687,0.236036754480218
"48",-178.179517395493,364.570675002627,2.08532157407177,0.260637,0.207855380470276,0.176812032488454
"49",-172.631279235244,353.474198682129,1.85509781896053,0.283422,0.132175760016596,0.120574448841717
"50",-186.327812483617,380.867265178875,0,0.999881,0.314735540549356,0.270404823457522
"51",-180.758622817473,369.728885846587,0,0.599487,0.29291868442467,0.240078671315586
"52",-176.574809516099,361.361259243837,0,0.883887,0.17806034827778,0.154675854286011
"53",-178.13778216423,364.487204540101,0,0.755171,0.25672950045902,0.209261219009745
"54",-185.306711660253,378.825063532147,0,0.998963,0.405358438993799,0.334763706041472
"55",-187.612587707056,383.436815625752,0,0.999965,0.364135072871955,0.311265448391596
