"gene","OUM_loglik","OUM_AICc","OUM_delta_aicc","OUM_aicc_weight","OUM_alpha","OUM_sigma_sq"
"1",-184.847564822956,377.906769857552,0,0.998509,0.542536986967097,0.436391741515928
"2",-181.819649061801,371.850938335242,0,0.992779,0.220784612601716,0.192450641814878
"3",-172.206937750296,352.625515712232,1.44134301502504,0.327245,0.149438638432944,0.130437408404431
"4",-161.012605919717,330.236852051074,0,0.999681,0.321986488304588,0.212468775741495
"5",-171.682682379434,351.577004970508,0,0.999915,0.310683815138327,0.229958537881179
"6",-169.667613177472,347.546866566584,0,0.981076,0.148959818400197,0.126756368260327
"7",-189.612671197612,387.436982606864,0,0.999998,0.456566127618364,0.390177364052188
"8",-148.835482095123,305.882604401886,0,0.999996,0.230166897403233,0.141596406064104
"9",-176.155807667577,360.523255546794,0,0.999786,0.1803725733478,0.155601722004229
"10",-177.626358726559,363.464357664758,0,0.999993,0.245193804748517,0.200476614349853
"11",-178.966916870162,366.145473951963,0,0.999708,0.374129178087748,0.291765377893908
"12",-194.045595523493,396.302831258627,0,0.999964,0.36426837099313,0.332813654488824
"13",-171.33629383437,350.88422788038,0,0.972847,0.144548946109942,0.126333518981074
"14",-155.287185026161,318.786010263962,0,0.999986,0.199441433810185,0.135262924353614
"15",-156.976000166662,322.163640544964,0,0.999875,0.142544274567892,0.107919227410934
"16",-171.988314292627,352.188268796895,0,0.969227,0.238189838665173,0.184783176227336
"17",-184.903440372885,378.018520957409,0,0.998741,0.218074086646128,0.196737834105421
"18",-176.792119481509,361.795879174659,0,0.996274,0.27764855251053,0.220284040109662
"19",-172.046296835764,352.304233883169,0,0.834338,0.200141159721124,0.161166138084707
"20",-195.482237794619,399.176115800878,0,0.99997,0.183669607309762,0.192325414798548
"21",-161.887326503112,331.986293217864,0,1,0.249763911302227,0.173064828014317
"22",-172.60626894053,353.424178092701,0,0.99911,0.248967600847395,0.192759065304578
"23",-185.333209846128,378.878059903896,0,0.997382,0.465229099900658,0.379871065691404
"24",-168.065070624022,344.341781459684,0,0.999993,0.255493370390201,0.187888715239476
"25",-180.416136849853,369.043913911347,0,0.994518,0.268796369270481,0.222554668263563
"26",-170.586820163173,349.385280537986,0,0.867666,0.144688047132651,0.125451914206326
"27",-178.109996325908,364.431632863456,0,0.984312,0.339127761326578,0.26512129364853
"28",-175.834233263685,359.880106739011,0,0.992582,0.232964856324316,0.188849866996482
"29",-175.911418239468,360.034476690576,0,0.983625,0.161650201934762,0.143213633821642
"30",-167.753973577238,343.719587366116,0,0.999338,0.147325721225569,0.123338844244546
"31",-178.641681397699,365.495003007039,0,0.999998,0.22206886736083,0.187106697202262
"32",-160.348939896478,328.909520004596,0,1,0.305100982826035,0.201433853320053
"33",-174.146137937716,356.503916087072,0,0.995873,0.146256251918128,0.131100619375085
"34",-156.494435778556,321.200511768753,0,1,0.327980925512461,0.206055419993101
"35",-175.65905179777,359.52974380718,0,0.999993,0.313005683041061,0.241097544099025
"36",-175.554009583798,359.319659379237,0,0.702066,0.212855745010917,0.17530684683138
"37",-162.694493084358,333.600626380355,0,0.999998,0.234827243416415,0.165992003590838
"38",-172.311879800891,352.835399813422,0,0.999425,0.280141445239224,0.211927587247618
