# logfile for VINE (version 0.3.4), Mon Apr 20 23:53:01 2026
# Host: bam07 [Linux, release 4.18.0-553.51.1.el8_10.x86_64, x86_64]
# Command line: vine --format CRISPR --migration 3724_NT_All_statelabels.csv --primary T1 \
#   --mean 3724_NT_All_vine_mean.nwk --nsamples 100 -j 16 \
#   3724_NT_All_character_matrix_representative.tsv --logfile \
#   3724_NT_All_vine.log --labeled-trees 3724_NT_All_vine_states.nex 
#
state	ll	elbo	kld	half_trHS	elbo_bias	penalty	mig_ll	sigma.0	nu	lead_t	mig[0]	mig[1]	mig[2]	mig[3]	mig[4]	mig[5]	mig[6]	mig[7]	mig[8]	mig[9]	
27	-18924.564889	-19632.160521	645.453399	0.000000	0.000000	62.142233	0.000000	-3.476559	0.260106	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
28	-19005.950242	-19711.045890	644.663331	0.000000	0.000000	60.432318	0.000000	-3.427626	0.246508	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
29	-18990.948965	-19693.573653	643.881585	0.000000	0.000000	58.743103	0.000000	-3.378581	0.233814	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
30	-18819.392054	-19519.593503	643.127414	0.000000	0.000000	57.074035	0.000000	-3.329453	0.222454	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
31	-18823.956811	-19521.767144	642.384051	0.000000	0.000000	55.426282	0.000000	-3.300751	0.212431	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
32	-18797.381571	-19493.858590	642.002242	0.000000	0.000000	54.474777	0.000000	-3.270174	0.204324	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
33	-18753.374906	-19448.401892	641.556791	0.000000	0.000000	53.470195	0.000000	-3.237350	0.198221	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
34	-18646.543195	-19340.003592	641.058232	0.000000	0.000000	52.402165	0.000000	-3.202483	0.195057	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
35	-18807.233683	-19499.041105	640.527926	0.000000	0.000000	51.279495	0.000000	-3.165830	0.193632	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
36	-18760.800850	-19450.881767	639.968513	0.000000	0.000000	50.112404	0.000000	-3.127624	0.193994	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
37	-18603.145853	-19291.442145	639.386147	0.000000	0.000000	48.910145	0.000000	-3.088065	0.195892	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
38	-18568.088186	-19254.556346	638.787441	0.000000	0.000000	47.680719	0.000000	-3.047326	0.198265	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
39	-18608.955833	-19293.563200	638.176395	0.000000	0.000000	46.430973	0.000000	-3.005554	0.200835	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
40	-18599.249197	-19281.992899	637.576933	0.000000	0.000000	45.166769	0.000000	-2.962875	0.204191	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
41	-18520.942057	-19201.811451	636.976255	0.000000	0.000000	43.893139	0.000000	-2.919398	0.207317	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
42	-18522.436988	-19201.416770	636.365361	0.000000	0.000000	42.614421	0.000000	-2.875217	0.210034	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
43	-18443.134774	-19120.223279	635.754142	0.000000	0.000000	41.334364	0.000000	-2.830414	0.211695	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
44	-18510.588519	-19185.780032	635.135291	0.000000	0.000000	40.056222	0.000000	-2.785061	0.211919	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
45	-18633.175966	-19306.470717	634.511922	0.000000	0.000000	38.782828	0.000000	-2.739221	0.210735	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
46	-18529.369537	-19200.774707	633.888519	0.000000	0.000000	37.516651	0.000000	-2.692948	0.207796	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
47	-18487.935380	-19157.447484	633.252254	0.000000	0.000000	36.259849	0.000000	-2.646292	0.203749	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
48	-18321.963459	-18989.582410	632.604637	0.000000	0.000000	35.014314	0.000000	-2.599296	0.198328	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
49	-18473.754178	-19139.479856	631.943975	0.000000	0.000000	33.781702	0.000000	-2.551998	0.191927	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
50	-18376.685817	-19040.542960	631.293672	0.000000	0.000000	32.563471	0.000000	-2.504432	0.185023	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
# Average ELBO for last 50: -20070.166087
51	-15744.535161	-16406.547602	630.651542	2672.771627	0.000000	31.360899	0.000000	-2.460404	0.178392	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
52	-15791.169408	-16451.505837	630.068482	2672.771627	0.000000	30.267947	0.000000	-2.417156	0.172630	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
53	-15756.331259	-16415.058810	629.514326	2672.771627	0.000000	29.213225	0.000000	-2.373863	0.167735	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
54	-15868.779051	-16525.912431	628.957252	2672.771627	0.000000	28.176128	0.000000	-2.330221	0.165677	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
55	-15535.642571	-16191.209742	628.417524	2672.771627	0.000000	27.149647	0.000000	-2.286118	0.165631	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
56	-15692.799285	-16346.803165	627.872205	2672.771627	0.000000	26.131674	0.000000	-2.241523	0.166584	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
57	-15731.200829	-16383.667442	627.344483	2672.771627	0.000000	25.122130	0.000000	-2.196443	0.168763	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
58	-15621.140028	-16272.065782	626.803936	2672.771627	0.000000	24.121818	0.000000	-2.150902	0.171489	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
59	-15641.532816	-16290.934614	626.269892	2672.771627	0.000000	23.131907	0.000000	-2.104932	0.174207	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
60	-15703.781077	-16351.655572	625.720804	2672.771627	0.000000	22.153692	0.000000	-2.058566	0.176217	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
61	-15532.256538	-16178.590355	625.145346	2672.771627	0.000000	21.188470	0.000000	-2.011839	0.177029	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
