	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
4898	12	8	16	8	10	14	14	11	7	10	17	9	8	9	9	10	11	12	10	11	12	14	12	10	8	15	9	9	14	5	11	11	22	10	7	19	9	13	9	15	12	21	5	14	20	16	10	13	13	13	13	15	12	8	10	11	5	9	19	13	17	8	14	11	6	15	9	7	12	9	11	6	13	10	6	9	9	8	5	13	11	12	14	6	11	9	7	10	8	13	12	9	14	11	10	12	9	12	8	6
4902	13	10	18	18	11	9	6	10	20	12	9	8	8	9	13	5	9	13	12	10	6	10	16	6	17	17	11	6	10	10	10	8	13	9	10	15	16	9	10	8	12	10	13	9	6	11	7	17	8	7	7	16	7	17	6	9	9	9	8	18	8	16	12	7	8	16	13	15	7	9	9	15	11	16	13	12	8	13	10	15	8	14	16	8	7	9	4	5	6	12	4	13	7	13	10	14	10	9	10	10
4906	5	9	21	8	13	9	15	13	15	3	9	6	9	11	13	12	6	10	6	10	11	11	13	8	16	16	17	11	9	10	18	14	10	8	8	10	13	10	14	11	10	11	11	6	12	18	19	7	10	18	12	12	14	13	9	7	7	11	9	10	13	4	13	8	17	11	16	9	13	14	9	11	14	15	9	14	12	19	11	13	10	12	9	11	16	8	13	11	12	8	10	7	10	8	11	16	9	8	9	9
4909	14	14	10	5	12	5	11	6	9	9	11	10	13	5	7	13	10	11	16	12	8	9	20	9	8	13	6	10	12	11	4	9	7	11	12	11	9	10	7	10	10	10	12	8	17	4	15	14	14	13	8	8	13	14	6	9	7	5	8	9	10	7	15	7	10	7	5	9	12	10	17	9	9	7	11	8	8	8	9	8	10	11	18	8	9	13	7	5	6	10	12	11	13	8	12	12	10	10	7	7
4910	10	5	14	15	11	9	10	11	7	8	8	4	10	17	6	6	12	8	14	10	5	14	15	10	2	10	8	14	9	12	8	10	8	11	9	13	15	9	7	12	11	7	8	11	8	11	8	13	12	10	10	11	11	8	12	11	11	11	13	8	6	10	12	13	7	11	13	11	10	13	14	12	9	6	14	8	12	12	15	5	5	11	6	7	7	12	8	9	13	8	13	8	13	10	11	17	9	10	12	14
4911	6	7	9	13	10	15	10	7	9	9	8	13	8	7	11	5	10	12	8	7	4	9	6	12	6	9	13	7	7	10	12	10	15	10	10	13	6	14	14	14	9	8	9	7	10	6	11	8	12	10	9	8	10	11	11	10	8	15	16	11	14	10	8	13	4	9	7	9	9	12	10	8	9	8	16	8	10	13	12	17	5	6	14	10	9	7	13	10	8	8	14	4	11	16	12	7	13	3	13	6
4917	11	13	10	7	8	16	14	8	6	12	10	16	9	9	9	14	9	6	13	11	15	8	7	10	13	16	15	10	19	11	15	8	13	9	18	15	10	7	11	7	8	10	10	10	10	10	12	17	11	8	8	6	10	11	11	9	12	10	12	5	11	10	4	14	13	10	18	13	5	10	15	11	8	8	16	10	8	11	14	8	12	18	10	10	15	19	10	13	10	11	12	14	12	7	18	14	7	10	16	11
4920	6	10	10	6	9	11	12	11	6	8	9	12	10	8	10	4	11	15	11	18	11	11	11	6	11	11	16	11	8	7	7	9	7	7	10	13	17	10	6	11	12	16	10	8	5	11	11	8	12	7	9	12	15	8	10	14	13	9	4	7	10	12	12	11	7	13	10	13	9	14	5	8	8	15	14	12	11	8	9	10	12	15	8	9	4	15	12	9	11	10	6	10	13	9	10	11	6	10	13	10
4921	7	18	10	7	8	12	10	8	11	14	12	10	7	7	13	6	13	14	16	10	11	11	12	14	18	10	13	13	10	12	12	10	5	11	9	8	17	14	16	18	11	12	9	14	16	10	11	8	11	12	14	13	8	9	9	13	13	16	6	9	8	10	6	14	11	9	10	13	9	12	8	14	12	11	12	6	12	8	6	7	8	12	10	12	10	8	13	12	5	11	11	9	6	13	12	10	14	8	7	12
4922	10	14	10	10	19	9	10	15	13	7	5	13	11	10	16	9	10	11	13	12	14	11	11	3	17	10	10	11	4	7	6	2	11	17	5	9	12	9	10	9	11	12	8	8	11	10	5	7	14	11	9	12	6	8	9	9	12	10	11	9	5	7	10	11	12	5	13	12	9	12	8	12	8	10	13	12	6	12	9	10	18	20	15	14	8	13	11	4	7	14	7	9	14	10	8	7	6	10	16	11
4923	17	9	13	9	6	16	13	10	14	11	8	10	11	8	8	5	13	10	11	14	14	7	9	16	7	7	13	13	11	7	9	6	9	10	9	7	14	9	12	21	9	6	7	13	7	11	15	10	14	9	11	10	9	16	13	7	10	12	2	7	14	9	5	14	7	10	8	10	11	5	7	7	11	13	8	5	10	13	10	13	7	7	14	10	9	14	6	7	13	11	7	7	8	8	11	15	10	11	9	7
