	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
4923	17	9	9	13	5	11	14	7	13	9	19	14	7	5	10	7	11	5	10	8	13	8	8	9	7	10	16	11	17	16	7	9	15	1	8	15	11	8	8	5	12	12	7	9	10	8	14	12	15	14	8	12	9	12	12	9	13	16	10	6	12	9	7	7	16	10	9	5	10	8	13	12	12	9	13	14	10	3	4	9	7	10	13	8	10	12	11	5	9	7	21	5	11	11	9	12	13	10	5	8
4929	5	15	11	8	10	9	10	3	12	10	10	6	13	9	14	7	10	4	12	9	11	11	10	9	7	11	13	13	8	10	8	8	7	7	13	11	8	11	11	4	11	5	4	9	7	7	11	7	9	5	13	9	6	7	10	5	10	7	14	8	7	11	8	8	10	9	8	8	7	9	3	9	9	8	11	13	6	13	8	11	11	8	14	8	11	6	17	10	9	9	9	8	9	9	10	12	6	11	12	4
4936	8	11	19	8	10	13	9	9	7	9	6	13	10	6	10	9	14	9	13	10	9	12	9	1	9	13	4	11	7	10	8	7	6	18	9	7	12	10	8	9	8	11	8	8	15	9	8	10	8	15	11	14	10	9	9	10	11	8	4	9	13	9	14	10	10	23	16	5	9	11	13	5	7	6	10	6	9	9	11	7	10	7	13	10	5	13	7	5	12	9	6	12	11	13	10	12	11	10	7	15
4940	13	10	9	12	14	10	6	4	16	9	12	10	11	13	8	18	11	12	7	10	6	9	17	11	9	11	10	14	14	5	5	10	13	7	10	8	11	7	14	15	9	8	13	11	9	11	12	12	9	10	6	17	10	15	11	13	11	14	10	12	6	8	9	7	2	10	8	9	16	8	13	6	10	10	11	15	4	10	8	11	9	7	16	10	18	7	8	18	16	8	10	8	8	8	9	5	10	8	10	13
4944	12	15	11	13	8	9	8	12	13	7	10	12	5	11	11	13	8	6	6	12	11	10	17	10	9	10	10	11	9	7	5	21	17	13	8	9	10	6	11	15	11	8	12	7	14	10	17	6	9	4	10	12	10	11	13	8	5	8	10	11	11	11	6	10	12	10	9	7	10	5	8	16	12	14	5	8	13	12	9	9	12	12	11	13	5	13	6	7	11	14	7	15	13	7	8	11	9	11	12	6
4946	8	14	11	10	6	8	9	14	9	15	6	16	12	14	11	12	12	4	15	7	10	13	12	7	10	16	13	16	10	8	10	10	10	10	12	9	6	5	8	9	9	10	7	9	7	6	16	7	11	9	8	7	7	8	9	8	7	8	12	8	4	7	10	14	12	14	8	14	8	13	12	9	3	6	10	10	13	13	8	12	6	8	13	8	6	14	10	10	11	9	8	10	8	8	4	12	8	10	4	9
4947	11	19	12	9	6	9	7	9	7	10	17	13	10	8	14	9	11	8	11	6	17	8	10	7	5	8	3	6	12	9	12	16	9	8	8	7	5	10	9	9	8	13	6	13	17	9	10	9	10	12	8	12	7	5	11	8	12	12	14	9	11	8	11	10	6	11	12	13	8	12	10	9	10	12	12	10	10	9	13	7	11	9	6	14	17	7	10	7	10	11	6	10	10	10	7	11	7	11	7	5
4956	8	7	9	6	13	7	11	11	14	7	11	13	7	6	7	13	8	11	13	10	6	10	8	12	8	11	13	14	5	13	9	11	7	16	9	3	11	9	10	12	13	13	16	8	8	7	7	11	18	10	5	14	13	13	9	12	8	10	11	15	9	18	7	8	12	8	14	8	12	14	10	12	9	13	11	17	9	10	12	8	8	8	4	9	10	7	12	6	16	11	8	8	8	9	14	8	6	6	6	11
4958	8	5	10	8	10	9	9	11	5	6	9	8	10	12	9	11	10	11	18	8	10	9	15	11	17	10	10	13	15	11	11	10	11	8	6	12	10	10	13	8	8	12	8	6	9	5	7	11	7	14	13	9	8	6	16	7	8	16	10	8	11	5	9	9	9	12	6	5	11	9	7	9	8	9	14	13	7	15	9	14	10	5	5	11	7	11	9	4	7	12	17	4	12	14	10	10	9	12	8	7
4961	6	11	11	18	13	10	11	9	14	9	7	8	8	11	7	2	8	8	14	14	10	9	12	8	11	13	15	11	11	6	9	5	16	11	8	10	4	17	9	11	8	6	10	12	7	5	5	13	11	4	12	10	4	3	7	8	10	8	11	11	10	14	11	14	13	8	13	11	13	21	10	10	7	7	5	11	13	8	13	12	9	9	12	6	15	12	14	6	11	11	12	11	13	12	12	12	12	8	9	9
