	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
4898	11	8	5	2	7	0	4	7	4	5	6	7	1	8	7	5	1	1	5	9	6	6	6	7	1	5	8	7	2	6	4	5	6	3	3	10	9	2	5	11	3	7	1	4	16	8	1	2	2	7	3	7	12	11	12	5	3	4	3	2	6	4	3	7	4	3	5	11	2	7	5	6	5	2	1	1	4	5	5	4	6	5	2	3	10	4	8	9	7	5	7	2	2	11	9	6	7	7	4	2
4902	11	5	2	1	7	3	10	10	4	5	3	2	3	4	7	6	8	0	11	2	9	6	7	4	2	1	8	4	7	3	7	3	1	3	5	7	9	9	9	4	9	5	1	4	4	8	5	7	1	8	3	4	4	3	10	4	5	6	3	4	6	5	0	9	2	3	7	1	1	1	12	12	5	5	8	8	5	4	7	3	7	3	3	4	5	0	12	1	7	3	6	4	1	6	9	2	1	4	0	5
4906	9	7	3	2	5	0	9	2	6	4	12	6	3	3	6	6	2	1	7	5	5	8	10	7	1	5	6	6	7	5	8	1	1	8	6	4	8	9	10	2	4	9	0	1	8	9	0	3	8	6	5	4	9	6	11	7	4	12	5	1	7	12	7	8	4	4	9	9	3	6	5	6	8	7	5	4	9	13	10	4	7	0	6	3	8	3	4	2	2	3	1	8	0	11	8	5	11	7	3	2
4909	6	5	1	11	7	3	7	13	6	4	3	3	6	7	10	8	3	6	9	8	3	10	4	8	1	2	9	8	5	1	3	2	3	9	4	1	6	5	4	5	10	7	5	5	7	5	3	3	4	5	5	2	10	3	7	1	4	9	7	2	6	5	1	1	2	2	6	7	6	4	4	16	2	7	4	5	4	5	5	12	3	3	4	5	7	1	4	0	3	3	2	7	7	8	1	4	4	4	8	7
4910	4	7	6	5	5	2	6	7	5	2	3	3	5	1	11	10	1	5	8	4	5	5	3	5	5	3	13	3	4	0	2	3	8	3	7	1	11	5	3	6	8	7	3	9	4	7	11	6	8	4	4	2	8	3	4	6	8	11	7	0	6	6	0	0	3	2	2	7	13	6	7	6	2	6	6	6	8	3	5	6	4	5	14	3	9	1	7	7	4	2	1	5	3	8	6	9	6	3	5	2
4911	4	2	8	13	3	3	6	6	7	3	7	2	3	5	11	8	6	4	13	13	5	0	6	5	1	11	8	6	6	1	5	2	3	3	1	5	10	2	9	4	6	10	4	5	7	6	8	7	3	3	12	3	6	3	4	11	3	5	7	3	9	3	5	3	2	3	9	9	6	4	1	10	4	3	5	9	2	10	1	9	7	4	8	4	7	0	4	3	12	5	3	11	2	4	6	7	6	4	7	9
4917	14	7	2	0	7	2	10	3	3	2	8	2	9	7	9	4	0	0	6	3	5	5	5	7	0	2	7	4	7	5	3	1	3	5	3	8	11	2	4	11	8	15	0	2	6	5	5	2	2	3	7	10	6	3	6	8	1	6	1	3	9	5	1	5	3	3	12	6	1	8	2	8	5	5	3	1	6	5	11	6	9	1	8	9	3	0	4	3	7	5	8	10	0	1	10	6	5	3	4	3
4920	9	6	6	6	4	0	6	7	3	10	5	6	5	8	2	6	2	0	4	4	3	4	4	4	3	4	6	11	4	0	4	4	7	6	2	0	8	4	2	9	3	6	7	3	3	6	3	1	10	9	3	8	4	6	9	3	1	11	9	5	7	7	5	5	3	0	2	4	7	3	3	4	16	7	5	2	8	11	10	3	2	3	3	13	5	4	9	3	1	5	7	5	3	7	6	4	3	8	4	1
4921	6	0	6	5	7	4	7	6	5	5	7	1	1	7	10	6	1	4	6	8	9	1	6	1	1	4	10	7	2	3	6	4	3	4	7	0	6	13	2	4	6	15	7	6	3	2	11	2	2	6	0	4	7	5	1	6	4	5	8	2	10	5	1	4	10	0	6	7	1	2	3	6	2	8	3	7	7	7	10	6	7	0	16	9	7	0	13	4	4	3	5	14	5	7	4	9	3	3	9	2
4922	6	3	13	4	7	0	7	6	4	5	6	0	3	3	8	9	0	6	11	6	7	1	6	3	3	4	10	6	0	2	4	0	1	6	1	1	5	13	2	2	4	15	3	5	9	1	5	1	3	7	3	7	7	4	6	6	0	5	6	8	10	5	2	2	9	0	1	4	4	4	2	11	3	7	0	11	9	5	5	7	6	4	2	6	8	5	10	6	3	1	3	6	12	6	3	4	5	4	7	8
