	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
4898	7	6	1	3	3	5	9	2	4	2	3	3	1	5	6	4	0	7	5	8	10	5	7	4	3	5	7	6	8	9	3	5	5	2	3	3	5	8	3	3	1	7	4	3	6	4	4	5	10	7	4	6	0	0	4	7	9	4	12	13	2	5	3	3	5	5	8	5	3	6	12	5	8	4	2	8	3	3	11	0	8	3	9	10	4	2	1	4	3	6	0	4	9	6	8	2	2	8	5	7
4902	6	11	1	1	3	8	7	4	14	4	4	5	6	8	7	8	4	8	4	7	10	7	10	4	10	12	7	5	6	0	7	3	1	3	4	2	7	3	6	16	7	2	1	5	7	2	7	6	6	2	1	11	4	5	7	8	1	2	4	9	3	11	5	5	9	6	8	6	3	6	7	6	5	3	7	12	0	6	8	2	14	9	10	5	7	6	2	6	4	10	3	4	10	8	12	2	3	4	13	8
4906	5	4	8	0	2	8	3	5	5	4	6	6	3	6	6	10	4	3	4	5	6	6	7	0	13	4	4	4	7	6	5	6	7	9	8	4	4	4	4	3	4	8	7	4	5	5	5	7	11	4	3	10	0	0	5	7	8	5	11	5	2	6	3	2	1	10	7	2	4	6	3	5	9	1	6	2	4	5	6	0	9	9	6	12	1	4	3	6	5	4	0	1	4	7	5	4	0	5	13	6
4909	6	3	3	0	2	3	4	1	2	6	3	3	7	5	2	7	3	5	5	3	8	2	2	5	4	5	12	4	5	0	3	2	8	0	2	3	8	3	5	4	1	7	2	4	2	5	4	5	8	7	4	2	0	8	2	9	10	3	9	3	1	3	4	9	10	11	7	4	6	6	7	3	8	3	5	7	5	5	3	11	8	8	2	5	1	5	4	3	1	1	0	5	3	3	3	0	1	3	6	5
4910	5	0	4	0	5	1	7	9	5	1	7	6	1	9	6	5	3	5	5	7	7	4	4	4	10	4	12	5	8	4	0	3	4	2	12	6	16	1	1	12	2	9	2	3	4	2	2	6	6	2	6	1	0	8	7	8	7	1	4	7	3	1	5	6	3	11	9	5	7	1	7	2	4	4	11	8	3	5	3	4	4	2	2	11	9	3	5	1	0	1	1	5	8	9	6	4	0	2	5	2
4911	8	6	5	3	8	6	2	0	7	3	9	8	1	4	3	2	1	2	7	2	11	7	6	0	7	4	4	3	4	1	5	4	4	5	9	6	6	3	2	0	4	3	3	8	6	4	0	3	3	4	5	6	5	4	4	5	0	7	3	11	0	0	10	8	5	5	12	7	0	7	2	7	9	4	6	6	1	6	2	5	8	5	3	7	11	8	7	8	4	14	1	7	11	3	7	5	6	4	7	3
4917	5	12	6	3	2	8	6	5	4	7	3	8	12	7	3	6	3	3	1	6	10	6	7	2	7	7	3	2	6	9	3	4	6	7	5	9	8	11	7	1	4	3	3	7	1	1	9	1	8	5	0	13	1	4	6	7	5	5	6	9	4	7	1	4	5	7	12	2	8	3	2	2	4	3	5	7	2	4	3	2	9	8	12	7	7	3	9	3	1	5	2	2	4	2	7	7	2	5	5	3
4920	3	1	7	6	5	5	5	2	1	5	8	3	4	4	5	9	2	2	5	10	10	4	6	1	0	5	3	1	6	9	0	2	1	8	7	5	5	5	8	9	8	5	0	7	4	1	2	1	5	4	6	1	5	10	1	10	0	2	2	5	5	5	0	3	12	5	3	2	14	6	11	5	4	2	4	3	6	5	1	2	10	8	2	7	2	6	10	5	3	8	10	8	7	8	3	4	8	3	2	9
4921	12	8	0	2	3	0	4	2	5	7	8	0	5	5	7	3	1	3	11	3	5	8	7	1	7	6	13	5	3	1	8	4	3	6	5	7	9	7	3	5	3	5	8	2	2	0	2	9	2	7	1	2	10	8	5	4	2	4	9	3	4	3	8	6	3	3	3	6	0	3	3	2	5	4	4	5	1	2	6	12	11	6	5	5	12	7	6	6	3	5	0	2	4	7	5	3	8	3	1	9
4922	3	6	0	2	2	2	1	5	7	2	14	0	5	11	7	4	3	6	6	1	7	9	7	0	4	2	5	2	3	4	10	7	3	7	10	2	14	4	4	5	5	5	3	3	1	1	4	7	1	5	0	2	9	6	11	8	3	1	8	4	3	5	8	6	3	6	7	9	1	4	5	3	4	2	2	6	3	6	4	6	11	1	7	6	10	6	3	7	3	4	0	0	8	7	5	6	3	2	3	16
4923	5	6	0	3	5	8	6	5	8	9	9	5	5	8	6	3	0	4	3	7	6	7	6	1	7	8	9	4	8	5	5	3	5	8	6	3	5	0	5	4	1	0	3	7	4	1	2	5	9	2	4	6	9	4	10	12	0	2	6	7	2	4	1	6	10	14	7	4	5	4	8	2	5	4	7	2	5	0	10	1	4	10	4	4	8	7	5	8	8	8	4	0	7	5	1	2	1	0	4	14
4929	3	2	4	0	6	2	9	4	6	2	4	6	5	9	5	6	0	2	10	4	4	6	5	4	5	5	9	4	5	1	1	1	4	3	4	5	9	2	4	5	4	7	1	1	2	2	3	8	6	2	2	0	1	1	7	9	6	10	8	5	6	2	1	5	2	9	8	5	6	4	9	5	10	3	11	4	2	2	5	11	6	8	3	5	5	3	7	6	4	4	2	4	8	4	6	3	5	3	5	1
4936	6	6	4	3	3	4	4	1	9	3	2	4	4	5	13	6	5	4	3	1	6	7	5	3	8	3	4	5	6	2	5	2	4	4	2	8	8	5	3	6	4	9	2	4	2	0	3	3	4	3	1	5	3	4	13	7	6	9	4	7	6	3	7	11	0	2	9	7	0	3	0	6	3	1	5	4	3	7	5	10	9	9	2	7	12	4	5	7	6	7	1	2	4	9	2	4	3	5	6	12
4940	7	2	6	0	2	2	8	4	3	6	4	2	12	10	8	4	0	3	1	4	5	3	3	5	12	6	7	6	10	3	7	2	4	3	6	6	10	4	8	1	4	4	8	3	0	0	4	2	5	5	6	3	6	6	4	12	8	4	3	1	2	4	5	2	2	14	10	0	1	8	11	5	1	7	10	2	4	0	5	6	6	4	3	5	7	8	5	4	0	4	0	2	1	8	9	0	4	1	1	5
4944	7	4	5	0	6	5	8	4	2	4	1	7	8	7	7	9	3	5	3	4	15	1	6	6	8	3	7	1	9	6	5	2	8	8	7	2	6	3	3	6	9	7	3	4	2	1	7	7	9	2	1	8	3	1	11	8	0	4	6	10	1	2	3	12	3	4	8	3	3	5	9	6	7	1	5	9	2	2	7	3	12	3	13	8	2	6	8	7	2	8	3	6	7	6	4	1	1	6	10	8
4946	8	8	11	3	2	7	4	3	4	7	9	1	10	4	11	6	4	10	5	1	10	5	12	9	5	8	9	8	7	6	2	3	0	5	6	3	8	10	6	3	6	2	5	7	4	4	3	5	7	4	0	3	1	4	4	5	1	7	11	6	2	6	3	8	4	9	8	6	1	8	10	7	8	3	7	4	4	10	6	0	5	5	6	3	5	0	7	3	4	10	2	3	3	4	7	3	3	3	13	0
