node,node2,regime
5083,5398,33
5083,5372,33
5083,5401,33
5083,4925,33
5083,5024,33
5083,5130,33
5083,5164,33
5083,5247,33
5083,5041,33
5083,5103,33
5083,5144,33
5083,5195,33
5083,5149,33
5083,4902,33
5083,5343,33
5083,5302,33
5083,5017,33
5083,5214,33
5083,5131,33
5083,5205,33
5083,5282,33
5083,5269,33
5083,5230,33
5083,4923,33
5083,5391,33
5083,5299,33
5083,4927,33
5083,5174,33
5083,4910,33
5083,5233,33
5083,5181,33
5083,5267,33
5083,5185,33
5083,4911,33
5083,4961,33
5083,5276,33
5083,5189,33
5083,5264,33
5083,4994,33
5083,5048,33
5083,4947,33
5083,5000,33
5083,5321,33
5083,4920,33
5083,5226,33
5083,5311,33
5083,5246,33
5083,5066,33
5083,5371,33
5083,5127,33
5083,5128,33
5083,5123,33
5083,5120,33
5083,5287,33
5083,5109,33
5083,5353,33
5083,5337,33
5083,5153,33
5083,4901,33
5083,4914,33
5083,5238,33
5083,5108,33
5083,5146,33
5083,4940,33
5083,4958,33
5083,4898,33
5083,5284,33
5083,5183,33
5083,5064,33
5083,5296,33
5083,5397,33
5083,5268,33
5083,5032,33
5083,5207,33
5083,5342,33
5083,5399,33
5083,5151,33
5083,5002,33
5083,5357,33
5083,5176,33
5083,4946,33
5083,5171,33
5083,4917,33
5083,5053,33
5083,5255,33
5083,4922,33
5083,5303,33
5083,5364,33
5083,5055,33
5083,5385,33
5083,5228,33
5083,5313,33
5083,5306,33
5083,5339,33
5083,5317,33
5083,5425,33
5083,5462,33
5083,5542,33
5083,5434,33
5083,5528,33
5083,5496,33
5083,5483,33
5083,5484,33
5083,5532,33
5083,5524,33
5083,5515,33
5083,5431,33
5083,5478,33
5083,5463,33
5083,5534,33
5083,5495,33
5083,5429,33
5083,5529,33
5083,5472,33
5083,5430,33
5083,5442,33
5083,5505,33
5083,5438,33
5083,5422,33
5083,5494,33
5083,5526,33
5083,5479,33
5083,5533,33
5083,5464,33
5083,5482,33
5083,5419,33
5083,5436,33
5083,5485,33
5083,5461,33
5083,5536,33
5083,5443,33
5083,5503,33
5040,5008,33
5040,5148,33
5040,5285,33
5040,5184,33
5040,4990,33
5040,5242,33
5040,5256,33
5040,5198,33
5040,5080,33
5040,4971,33
5040,5124,33
5040,4932,33
5040,5234,33
5040,5294,33
5040,5031,33
5040,5220,33
5040,4956,33
5040,5010,33
5040,5356,33
5040,4965,33
5040,4991,33
5040,4983,33
5040,4909,33
5040,4989,33
5040,5348,33
5040,5004,33
5040,5361,33
5040,5333,33
5040,5063,33
5040,5173,33
5040,5192,33
5040,4996,33
5040,4969,33
5040,5346,33
5040,5042,33
5040,5274,33
5040,5208,33
5040,5145,33
5040,5132,33
5040,4906,33
5040,4936,33
5040,5365,33
5040,5051,33
5040,4978,33
5040,5383,33
5040,5404,33
5040,5056,33
5040,5141,33
5040,4968,33
5040,5408,33
5040,5249,33
5040,5115,33
5040,5206,33
5040,5325,33
5040,5327,33
5040,5140,33
5040,5028,33
5040,5012,33
5040,4966,33
5040,5398,33
5040,5372,33
5040,5401,33
5040,4925,33
5040,5024,33
5040,5130,33
5040,5164,33
5040,5247,33
5040,5041,33
5040,5103,33
5040,5144,33
5040,5195,33
5040,5149,33
5040,4902,33
5040,5343,33
5040,5302,33
5040,5017,33
5040,5214,33
5040,5131,33
5040,5205,33
5040,5282,33
5040,5269,33
5040,5230,33
5040,4923,33
5040,5391,33
5040,5299,33
5040,4927,33
5040,5174,33
5040,4910,33
5040,5233,33
5040,5181,33
5040,5267,33
5040,5185,33
5040,4911,33
5040,4961,33
5040,5276,33
5040,5189,33
5040,5264,33
5040,4994,33
5040,5048,33
5040,4947,33
5040,5000,33
5040,5321,33
5040,4920,33
5040,5226,33
5040,5311,33
5040,5246,33
5040,5066,33
5040,5371,33
5040,5127,33
5040,5128,33
5040,5123,33
5040,5120,33
5040,5287,33
5040,5109,33
5040,5353,33
5040,5337,33
5040,5153,33
5040,4901,33
5040,4914,33
5040,5238,33
5040,5108,33
5040,5146,33
5040,4940,33
5040,4958,33
5040,4898,33
