	1
c5171	0
c5004	0
c5215	1
c5183	0
c5184	2
c5058	0
c4920	0
c5214	0
c5141	3
c5142	1
c5391	0
c5392	3
c4997	4
c5259	1
c5260	0
c4989	5
c4990	2
c5255	4
c5256	4
c5246	2
c5122	4
c5024	1
c5385	1
c5333	0
c4965	5
c4978	1
c5397	0
c5106	2
c5230	3
c5130	5
c5063	0
c5408	0
c5140	2
c4958	1
c5124	0
c5043	0
c5524	6
c5532	6
c5483	6
c5484	6
c5434	4
c5472	5
c5436	7
c5515	11
c5529	0
c5419	3
c5533	7
c5534	2
c5485	6
c5461	8
c5462	5
c5542	1
c5482	2
c5431	6
c5429	2
c5430	1
c5479	6
c5478	4
c5442	2
c5494	2
c5443	3
c5526	6
c5495	7
c5496	5
c5422	2
c5503	5
c5425	0
c5528	7
c5536	3
c5463	6
c5464	1
c5438	5
c5505	1
c5242	1
c4996	1
c5164	1
c5192	0
c5317	1
c5318	0
c5012	1
c5371	0
c4971	7
c5249	3
c5250	1
c5028	4
c5153	0
c5154	1
c5008	0
c5337	11
c5066	5
c4929	1
c5162	1
c5181	1
c5182	3
c5195	3
c4909	3
c4910	1
c4940	0
c5311	8
c5041	1
c5308	7
c4956	2
c5174	4
c5078	8
c5072	2
c5274	0
c5118	2
c5233	1
c5234	3
c5401	0
c5169	3
c5053	4
c5026	0
c5376	1
c5232	1
c5316	1
c5396	3
c5313	0
c5314	1
c4911	0
c5040	1
c5189	1
c5009	1
c5321	1
c4983	0
c4984	1
c5207	1
c5208	0
c4921	1
c4922	1
c5103	0
c5104	0
c5299	0
c5300	1
c5330	1
c5343	0
c5346	0
c5051	3
c4936	0
c5285	1
c5017	1
c5296	1
c5080	1
c4969	0
c5002	0
c5327	2
c5083	2
c5084	2
c5131	1
c5132	3
c5144	1
c5357	0
c5358	0
c5127	0
c5128	0
c4985	0
c5325	1
c5055	3
c5303	2
c5383	0
c5384	3
c5151	3
c4923	1
c5264	0
c5157	0
c5365	14
c5238	3
c4917	0
c5206	1
c5168	0
c5109	0
c4944	3
c5281	2
c4902	1
c5176	1
c5251	1
c5148	2
c5197	1
c4898	0
c4906	1
c5269	0
c4946	0
c5399	1
c4961	2
c4974	0
c5220	1
c5353	0
c4991	0
c4976	0
c5267	0
c4947	1
c5406	0
c5222	0
c5247	1
