cell_name	q_mean	q_std	read_count
c4898	5.293290259390098	1.628177927977811	5
c4902	1.8097528715833937	1.8155967971393687	1
c4906	6.171032085213765	1.814452566642683	7
c4909	9.50203488828607	1.6572127245483763	5
c4910	11.018713131887903	1.4279361665361217	23
c4911	3.680289788809663	1.548942503599054	3
c4917	3.3962793359362533	1.865874127328772	2
c4920	1.3724504203209804	1.5210375942686527	1
c4921	0.3300802132560652	1.418017952756266	0
c4922	0.5134436569691175	1.2636088442788875	1
c4923	2.7310824205554334	1.5231665205610134	2
c4929	8.68119312158698	2.016081817633918	11
c4936	4.740716300614411	1.7859688018707656	4
c4940	5.977558860456526	1.7564228880812522	8
c4944	5.980439980310003	1.810563864910961	6
c4946	3.1976302137429857	1.5002755224667603	3
c4947	0.6499905118047615	1.707777731733849	0
c4956	2.6603371484728235	1.6551698591627706	2
c4958	0.156351203569301	1.6906249518549752	0
c4961	3.9923027187357296	1.6514675989106071	4
c4965	1.5896813240466776	1.5732184497381396	1
c4969	0.7537278269628251	2.1370054395153457	0
c4971	6.805808124687126	1.861766278303807	8
c4974	5.1119693387467	1.7250409677768068	6
c4976	0.5047163061000983	1.7215340904273488	0
c4978	2.810668640823389	1.4236170988258714	3
c4983	4.990660133030751	1.3580342301447863	6
c4984	5.15622691698119	1.305635597766032	7
c4985	4.0086883473822255	1.69198848165947	4
c4989	1.8388985024635092	1.5326651403813756	0
c4990	1.8332343290470356	1.5219841468634487	0
c4991	1.5202823644723458	1.3226187060927097	2
c4996	8.345653183682343	1.7462173431108332	14
c4997	1.1479294621179892	2.1796798671497206	0
c5002	3.130242192225281	1.6037200876735898	3
c5004	3.821714076400994	1.470570436010146	4
c5008	1.891440572621391	1.5756084673837436	1
c5009	1.8869985887563991	1.6365522839277054	1
c5012	6.298345532682647	1.5682812040309884	9
c5017	3.442926432234344	1.6679014182417031	3
c5024	2.2325198272263065	1.4121177027466123	2
c5026	3.6197105916898713	1.663684274517044	3
c5028	5.249094178102786	1.820957164204266	5
c5040	3.683471042860968	1.58012051037693	3
c5041	4.057337675172001	1.5873474422174667	4
c5043	1.098471221867662	1.5405095932334445	1
c5051	1.5115698090499003	1.3385879754146843	2
c5053	5.885280480198859	1.8695231208623384	6
c5055	0.6814116423676729	2.181134907444567	0
c5058	2.1083716409540045	1.3771492344887464	2
c5063	2.2099289124801125	1.4062377275163656	2
c5066	6.852162744461039	1.827766797409964	6
c5072	5.934000172712614	1.4359436116259092	12
c5078	0.3144597857642516	2.1653239757580214	0
c5080	0.8063394803897347	2.0546050984034534	0
c5083	3.486551400538458	1.4014525988175923	3
c5084	3.769418848369204	1.332991719967425	4
c5103	2.525284618222789	1.3277943010098912	2
c5104	2.847619696610777	1.262655231120536	3
c5106	1.980883364425604	1.9893798505718785	0
c5109	6.012659696836991	1.8403545425494503	6
c5118	0.2536109144340921	1.7123193996599084	0
c5122	6.690316965779285	1.6863156946204438	11
c5124	2.016768678867217	1.4176672150655714	2
c5127	0.9136248876430054	1.2773477638522208	1
c5128	0.9171377664554128	1.2794433216380754	1
c5130	1.853097548148507	2.059906414306925	0
c5131	4.596946314780793	1.425828758266924	3
c5132	5.037529099878504	1.4018185690501084	5
c5140	1.7658811080854862	1.376106911381873	2
c5141	1.2177083268979652	1.4435096403007786	0
c5142	0.2345860981275917	1.2465137246683295	1
c5144	6.291406931611381	1.5366276320037873	9
c5148	7.426046904602088	1.7009285413671018	12
c5151	3.265999281983792	1.4715246234122874	3
c5153	3.062179701088888	1.276625255617825	3
c5154	3.05608739106323	1.3054933045004855	3
c5157	1.8865756587337776	1.6079406445922382	1
c5162	8.077537374238387	1.839361813093807	7
c5164	0.6470382844938899	2.137391887823725	0
c5168	8.809134247089577	1.6935591899027669	16
c5169	6.276888657886782	1.834883034392396	5
c5171	0.3131575383758992	2.0566907940258567	0
c5174	2.6349692020854545	1.604468571113748	2
c5176	3.970134110209158	1.8093227705012649	3
c5181	7.630283875978027	1.5714396828423267	5
c5182	8.015938748391532	1.516403742252462	8
c5183	1.1414857877184337	1.30726729317187	1
c5184	1.137965094068197	1.3105656584114929	1
c5189	5.248192706839259	1.712891410192704	6
c5192	1.321489978943424	1.7622228199231045	1
c5195	10.958530975922812	1.6599562236863503	20
c5197	4.182791126368297	1.7490909135665909	2
c5206	6.94174651829897	1.8249306947494557	6
c5207	0.7732240940053938	1.2740770009400495	1
c5208	0.781887800122187	1.270669689299181	1
c5214	4.059068155462708	1.4850811507758757	5
c5215	3.777521457044549	1.48889107783566	4
c5220	1.8095748698164145	1.8437397731194671	1
c5222	2.113358846146772	1.408125090107854	2
c5230	1.8549382336501876	2.040946805804305	0
c5232	4.522445074995775	1.7570219376520542	4
c5233	1.6422337130311713	1.2266376823018628	2
c5234	0.3953682594586917	1.4447024062348766	0
c5238	5.261789823815914	1.890727695190928	3
c5242	6.379223611900771	1.8772059504524647	6
c5246	1.7220861786760508	1.408313682601938	2
c5247	2.120585558746838	1.4231490502227266	2
c5249	7.662112300327458	1.369998401276214	14
c5250	6.126732124992443	1.6286274478708	3
c5251	5.123624086164431	1.8001517485656482	5
c5255	1.3804271089781393	1.16355741325036	2
c5256	0.0872567032300919	1.44173403249817	0
c5259	1.8488451855267236	1.533221062744282	0
c5260	1.8177782390180963	1.5232196522669843	0
c5264	3.0569812045037934	1.4606482752904058	3
c5267	0.6047845246614018	1.4358087843292358	1
c5269	2.0213252965799264	1.6417526002641647	1
c5274	2.3170807686980885	1.6584953839485497	1
c5281	4.919063398018488	1.818365356163031	5
c5285	7.242280282185286	1.842034017126292	11
c5296	0.9508587353900018	1.6472032948109985	1
c5299	3.474632790001678	1.2050655395487972	5
c5300	2.139396432257016	1.4178171521427116	1
c5303	0.5922968315093619	2.156013612951201	0
c5308	2.9756999785785503	1.692051126737649	2
c5311	1.8120889958458697	1.8325757633595707	1
c5313	5.777853754280082	1.527008632191494	5
c5314	6.130167712521722	1.4693268315248378	7
c5316	5.424824545038901	1.7165722372430916	6
c5317	5.036239753024749	1.391959166989531	5
c5318	4.568952502178347	1.458247114963926	3
c5321	4.102463945544058	1.493761639264637	4
c5325	3.460318688970792	1.684204695281303	3
c5327	0.7884328906007596	2.172564546907904	0
c5330	0.6382914996147615	2.038892868342339	0
c5333	2.9631260553180807	1.46947698574297	3
c5337	7.528027818609493	1.752546819061647	9
c5343	0.9597425689117156	2.032348655084217	0
c5346	0.5077459924314554	1.7804162559812429	0
c5353	4.210552445367365	1.7355686187114985	4
c5357	1.3688467959493806	1.1734992066582928	2
c5358	0.0620360264801817	1.4353229680448971	0
c5365	8.137663963944336	1.5939305916027218	16
c5371	3.788553241862922	1.7929597298638962	3
c5376	3.029423106975848	1.6769934647552045	2
c5383	5.5422374508011085	1.2857250587704174	9
c5384	4.087829780639325	1.5514060866106103	2
c5385	1.5191409083443956	1.5351878753133492	1
c5391	1.7145215634663438	1.4813808192172746	0
c5392	1.7317942034598162	1.4796771845380583	0
c5396	6.973678057827762	1.8158836535082927	9
c5397	1.9715120235166632	1.975334376346852	0
c5399	0.2926344682767178	2.1210280999263413	0
c5401	8.1228236317052	1.613191529404209	14
c5406	1.2497308206692086	1.57742328709744	1
c5408	3.125288517666713	1.3358728602032994	4
c5419	3.196313611128617	1.3641871919112012	4
c5422	1.93357648845134	1.4178505623090951	2
c5425	2.948971029626454	1.5600134866139033	3
c5429	0.9374495859026056	1.43351403228669	0
c5430	0.9315505573700626	1.4245793975213892	0
c5431	1.4390199568770867	1.3180826395338625	2
c5434	1.0434791471666305	1.6968301691529577	1
c5436	0.8387550602350723	1.5859793637146429	1
c5438	2.400231574545697	1.671679031375929	2
c5442	3.9412265273823857	1.7063280183573435	3
c5443	5.738419450510505	1.7415622946184477	7
c5461	0.7633211961093588	1.2681488571503716	1
c5462	0.7602071694998148	1.2693838371933055	1
c5463	2.1539033632519677	1.1715726227003822	3
c5464	0.5435920216633142	1.4811534473129873	0
c5472	3.441310942659628	1.5210367918035113	4
c5478	3.873478954177892	1.6438748133168852	4
c5479	1.0352614288595616	1.6014882738061922	1
c5482	3.849912610765207	1.558426370356155	4
c5483	0.6201180462292547	1.4671290065831848	0
c5484	0.2567973589356727	1.2679644010522504	1
c5485	5.222830019431822	1.6971397768463767	6
c5494	5.284556188690998	1.752500317332236	6
c5495	0.9090832576176932	1.2788010778219896	1
c5496	0.91179754337841	1.275128193451838	1
c5503	0.6946261256172936	1.947765027785481	0
c5505	2.355235792804985	1.6363880215271838	2
c5515	0.8945825604145282	1.9733885005131155	0
c5524	0.971163655828714	1.5144762683456654	1
c5526	4.73104907398	1.7397425846898338	5
c5528	0.144552848246076	1.8973289467659733	0
c5529	0.4594982602966861	1.8192412065829988	0
c5532	0.9463359545188864	1.487674717639039	1
c5533	5.563160607036165	1.393384464032273	6
c5534	5.720774175120571	1.3728968076946322	7
c5536	4.83539925151662	1.423514533169396	8
c5542	0.4286306522336761	1.733828169909133	0
