ID	gene	h0_theta	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
77	78	0.4707654	0.4681401252746582	11.911909103393555	-3835.9114	-3900.2678	64.356445	9.992007221626409e-16	1.5612511283791264e-15	True
23	24	0.51771265	0.4958248734474182	8.425054550170898	-4077.5464	-4139.2104	61.664062	4.107825191113079e-15	6.319731063250891e-15	True
92	93	5.62857	5.482309818267822	8.729463577270508	-5150.643	-5209.257	58.61377	1.9206858326015208e-14	2.910130049396244e-14	True
69	70	1.2038932	1.0033167600631714	9.198497772216797	-3782.0625	-3840.1487	58.08618	2.5091040356528538e-14	3.7449313964967966e-14	True
82	83	4.070525	3.8536441326141357	7.982309341430664	-5101.263	-5158.2812	57.018066	4.318767565791859e-14	6.351128773223321e-14	True
4	5	2.794798	2.6028804779052734	9.459028244018555	-4270.2305	-4325.561	55.330566	1.0191847366058937e-13	1.4770793284143388e-13	True
11	12	7.166831	7.070493221282959	8.905034065246582	-6363.446	-6410.0703	46.62451	8.597789147302137e-12	1.228255592471734e-11	True
94	95	1.6810639	1.410151720046997	10.600445747375488	-4212.6553	-4259.191	46.535645	8.996692280049956e-12	1.267139757753515e-11	True
18	19	5.554449	5.2727952003479	11.87794017791748	-4902.795	-4948.3687	45.57373	1.4700018979851848e-11	2.041669302757201e-11	True
98	99	3.1764193	2.989389657974243	6.971596717834473	-4735.3433	-4778.9116	43.56836	4.094047323377481e-11	5.608284004626687e-11	True
38	39	2.0051787	1.6742994785308838	13.847962379455566	-3964.573	-4005.097	40.523926	1.9422308206173966e-10	2.624636244077563e-10	True
50	51	2.512847	2.311488389968872	9.468029975891113	-4046.3132	-4086.4514	40.138184	2.366183915469833e-10	3.1549118872931103e-10	True
70	71	7.102921	6.9168782234191895	11.689361572265625	-5261.0635	-5298.199	37.135742	1.1018544965324395e-09	1.4498085480689993e-09	True
27	28	4.5833945	4.458375930786133	7.285402774810791	-4933.03	-4968.974	35.944336	2.030357326709975e-09	2.6368276970259416e-09	True
74	75	4.7310886	4.532137870788574	8.524277687072754	-4900.0596	-4933.6064	33.546875	6.956705433935895e-09	8.918853120430635e-09	True
34	35	5.194096	5.005108833312988	9.258149147033691	-5119.5513	-5152.803	33.251953	8.09583999838992e-09	1.024789873213914e-08	True
36	37	3.0572078	2.8044660091400146	9.275187492370605	-4565.1577	-4598.0625	32.904785	9.678474577334839e-09	1.2098093221668549e-08	True
5	6	5.1051154	4.939214706420898	8.751387596130371	-4968.452	-5000.967	32.51465	1.1829750401481931e-08	1.4604630125286334e-08	True
54	55	5.257632	5.129551410675049	7.87589168548584	-5036.4346	-5068.2656	31.831055	1.6818212600355764e-08	2.0510015366287518e-08	True
45	46	0.47050261	0.46734315156936646	12.488590240478516	-3781.8567	-3812.3342	30.47754	3.3775443553096807e-08	4.069330548565881e-08	True
7	8	3.0744517	2.798326253890991	10.348048210144043	-4312.868	-4340.4077	27.53955	1.5391465280067962e-07	1.832317295246186e-07	True
87	88	7.5831485	7.523820400238037	8.586738586425781	-6283.2017	-6309.8003	26.598633	2.504209007936353e-07	2.946128244631004e-07	True
59	60	1.9122549	1.6458673477172852	12.418217658996582	-3963.1025	-3988.5854	25.48291	4.4631889994928287e-07	5.189754650573057e-07	True
88	89	8.833318	8.784005165100098	9.613224029541016	-7901.2544	-7925.5186	24.26416	8.398735432679771e-07	9.653718888137668e-07	True
30	31	5.9541116	5.806914806365967	9.212472915649414	-5151.6353	-5174.0396	22.404297	2.2087929931746686e-06	2.509992037698487e-06	True
14	15	3.0488613	2.8108959197998047	8.924741744995117	-4505.222	-4527.453	22.230957	2.417444853075601e-06	2.7162301719950573e-06	True
40	41	3.174229	2.893625497817993	11.070242881774902	-4512.0293	-4533.4688	21.439453	3.6517916042200227e-06	4.057546226911136e-06	True
71	72	3.879043	3.52876877784729	13.886436462402344	-4478.2144	-4499.3955	21.181152	4.178535651822024e-06	4.5917974195846415e-06	True
17	18	6.5195255	6.450748920440674	8.24996280670166	-5302.6597	-5323.106	20.44629	6.132835395189495e-06	6.666125429553799e-06	True
15	16	5.2986603	5.208052635192871	8.128617286682129	-4405.207	-4424.035	18.828125	1.430422003545484e-05	1.538088175855359e-05	True
48	49	1.7077693	1.398754596710205	14.56704330444336	-4337.6807	-4354.8774	17.196777	3.3700756594257086e-05	3.5851868717294775e-05	True
66	67	4.594381	4.394810676574707	11.529094696044922	-4375.1797	-4386.279	11.099121	0.0008636864175766146	0.000909143597449068	True
61	62	5.2109942	5.023448467254639	9.452620506286621	-4876.7305	-4882.839	6.1083984	0.013454099013218923	0.014014686472103046	True
6	7	4.355513	4.147128105163574	8.71468448638916	-5009.632	-5009.9194	0.28759766	0.591764137419987	0.610066121051533	False
29	30	5.686274	5.532361030578613	9.019485473632812	-5131.312	-5117.4316	-13.880371	1.0	1.0	False
32	33	9.29882	9.307990074157715	9.183881759643555	-10143.298	-10139.231	-4.0664062	1.0	1.0	False
44	45	5.7454205	5.621095657348633	8.962935447692871	-4881.82	-4870.8726	-10.947266	1.0	1.0	False
