	1
c5171	2
c5004	0
c5215	1
c5183	3
c5184	0
c5058	0
c4920	2
c5214	3
c5141	3
c5142	0
c5391	0
c5392	5
c4997	1
c5259	0
c5260	1
c4989	0
c4990	0
c5255	1
c5256	1
c5246	1
c5122	0
c5024	2
c5385	4
c5333	6
c4965	1
c4978	1
c5397	2
c5106	2
c5230	3
c5130	6
c5063	0
c5408	0
c5140	0
c4958	0
c5124	0
c5043	0
c5524	1
c5532	2
c5483	4
c5484	5
c5434	3
c5472	6
c5436	5
c5515	3
c5529	3
c5419	1
c5533	0
c5534	3
c5485	2
c5461	7
c5462	7
c5542	13
c5482	6
c5431	1
c5429	2
c5430	0
c5479	1
c5478	4
c5442	5
c5494	3
c5443	3
c5526	7
c5495	1
c5496	2
c5422	4
c5503	1
c5425	1
c5528	2
c5536	3
c5463	1
c5464	2
c5438	1
c5505	1
c5242	2
c4996	3
c5164	0
c5192	4
c5317	0
c5318	0
c5012	2
c5371	5
c4971	0
c5249	1
c5250	1
c5028	2
c5153	0
c5154	2
c5008	3
c5337	3
c5066	1
c4929	2
c5162	3
c5181	2
c5182	0
c5195	0
c4909	2
c4910	2
c4940	1
c5311	0
c5041	2
c5308	1
c4956	0
c5174	0
c5078	2
c5072	1
c5274	0
c5118	0
c5233	0
c5234	2
c5401	0
c5169	1
c5053	0
c5026	0
c5376	1
c5232	0
c5316	1
c5396	1
c5313	1
c5314	0
c4911	0
c5040	0
c5189	3
c5009	1
c5321	0
c4983	0
c4984	0
c5207	1
c5208	1
c4921	0
c4922	1
c5103	1
c5104	0
c5299	0
c5300	0
c5330	0
c5343	0
c5346	0
c5051	2
c4936	0
c5285	0
c5017	1
c5296	5
c5080	2
c4969	9
c5002	1
c5327	3
c5083	2
c5084	0
c5131	0
c5132	0
c5144	0
c5357	0
c5358	1
c5127	3
c5128	0
c4985	0
c5325	1
c5055	4
c5303	4
c5383	0
c5384	0
c5151	0
c4923	0
c5264	0
c5157	1
c5365	0
c5238	0
c4917	1
c5206	0
c5168	1
c5109	2
c4944	1
c5281	3
c4902	0
c5176	5
c5251	3
c5148	9
c5197	3
c4898	6
c4906	7
c5269	0
c4946	4
c5399	3
c4961	1
c4974	8
c5220	4
c5353	2
c4991	2
c4976	2
c5267	0
c4947	3
c5406	0
c5222	2
c5247	3
