ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_IGHG1	h1_theta_IGHA1	h0	h1	lrt	p	q	signif
6	ACTG1	3.4387946	35.560158	188.91277	25.220116	0.87736726	45.26706	90.66273	28.78614616394043	22.065847396850582	-14200.741	-14244.252	87.021484	0.0004997501249375312	0.008162585373979677	True
29	IGHG2	0.14233668	99.03811	20.577042	-0.14617486	0.15831237	91.52874	12.400588	-0.5247774124145508	3.1955347061157227	-11817.687	-11839.229	43.083984	0.0004997501249375312	0.008162585373979677	True
35	XBP1	12.526658	42.07433	264.59323	45.83094	3.746289	41.579548	126.77618	45.9172477722168	38.37078094482422	-20301.16	-20322.291	42.26172	0.0004997501249375312	0.008162585373979677	True
1	FTL	7.0127077	44.727386	104.94458	30.702679	4.095081	47.510387	74.82631	31.945236206054688	22.81151580810547	-14854.807	-14872.122	34.63086	0.0014992503748125937	0.014692653673163417	True
28	RPS2	4.9099646	42.219368	204.71744	44.61723	2.5660932	49.1084	138.16663	46.57743835449219	30.772506713867188	-25893.943	-25915.488	43.089844	0.0014992503748125937	0.014692653673163417	True
8	IGHGP	1.3859185	2.4453378	28.88315	19.03243	1.2391925	41.534584	57.684555	20.37090301513672	-2.027634382247925	-6304.112	-6341.666	75.1084	0.001999000499750125	0.016325170747959354	True
14	IGHG4	1.3306055	2.4054093	39.70546	26.03291	1.3078303	39.557575	69.45259	30.058927536010746	-3.2943711280822754	-9741.131	-9780.284	78.30664	0.0029985007496251873	0.020989505247376312	True
10	IGHG3	1.3992205	4.5510645	101.27061	48.116188	1.2788179	24.475464	110.90704	55.0203857421875	-4.6720404624938965	-20606.938	-20648.502	83.12891	0.00849575212393803	0.05203648175912044	False
26	JCHAIN	6.835886	148.41316	58435.387	468.65967	10.46706	148.41316	43279.746	464.0022583007813	563.8423461914062	-364014.03	-364100.7	173.3125	0.02048975512243878	0.10039980009995002	False
31	IGHV3-48	0.5030338	4.097818	15.875771	-1.4013075	0.4405764	7.093473	16.421412	-1.523665189743042	3.4719009399414062	-1662.1116	-1670.3329	16.442627	0.02048975512243878	0.10039980009995002	False
30	H1FX	2.3832922	40.558395	68.418816	8.681593	0.9954875	46.488964	42.331432	10.416163444519045	4.465931415557861	-2684.146	-2690.9866	13.681152	0.029985007496251874	0.13356957884694018	False
