node_name	is_leaf	regime	infer_mu	infer_var
c0	False	0	3.013656472544988	7.923012930135503
c6	False	0	3.0136564725449886	7.923012930135505
c20	False	0	3.0136564725449886	7.923012930135505
c31	False	0	3.0136564725449886	7.923012930135503
c124	False	0	3.013656472544988	7.923012930135503
c183	False	0	3.0136564725449886	7.923012930135503
c1340	False	0	3.013656472371631	7.923012930135503
c2199	False	0	3.0136552646952457	7.9230129301339245
c5171	True	0	1.184761952365709	2.2554128698814853
c3711	False	0	3.008061863379715	7.92293713367922
c5004	True	0	2.8314459020135474	1.1933791596411047
c5215	True	0	0.8987796798384614	1.8746917976581396
c2884	False	0	3.0136517223092736	7.923012928976568
c3159	False	0	3.013504813918166	7.923012546024638
c4378	False	0	2.977384183161635	7.890035828509541
c5183	True	0	2.224722382020662	1.2836797429359685
c5184	True	0	3.0658201467716073	0.9941515395839069
c3890	False	0	3.012366399957043	7.922935535918722
c5058	True	0	2.9494357496097234	1.3470766756881147
c4920	True	0	2.5499743471506404	1.4517186753960882
c5214	True	0	3.4757337790741647	1.5734621152669734
c226	False	0	3.0136564725449886	7.923012930135503
c283	False	0	3.0136564725449886	7.923012930135503
c795	False	0	3.013656472544968	7.923012930135503
c3643	False	0	3.005624217319538	7.922859671065044
c4323	False	0	2.932325002189613	7.891538693511173
c5141	True	0	2.1877570543954628	1.4508352055417408
c5142	True	0	2.19154532011957	1.446632887779807
c4324	False	0	2.9318343850612987	7.8915600066811304
c5391	True	0	2.1869190412571453	1.4442507728951839
c5392	True	0	2.1823935596559854	1.4620031696482152
c4997	True	0	1.4833680818880974	2.4493916168133225
c908	False	0	3.0136564725457053	7.923012930135503
c1366	False	0	3.0136564727711237	7.923012930135503
c1691	False	0	3.013656472641732	7.923012930135503
c4534	False	0	2.9146520474396738	7.890289874961051
c5259	True	0	1.8347100079082066	1.2330099052972345
c5260	True	0	2.1815955993467813	1.1495514248871241
c4586	False	0	3.118599243481379	7.890534324918921
c4989	True	0	3.773841214995411	1.2967260269297514
c4990	True	0	4.385100515185009	1.1866181899437662
c3625	False	0	3.0290158992188547	7.922897087354019
c4263	False	0	3.2414670209527605	7.890848516462774
c5255	True	0	4.426403218547781	1.4688896079835252
c5256	True	0	6.2241486515752795	1.1440369569685738
c5246	True	0	4.708078510421116	1.6001698984755401
c5122	True	0	4.945000816989003	1.7924557688314149
c2632	False	0	3.0136350453931136	7.923012929095702
c3371	False	0	3.013402700374254	7.923012675002175
c3713	False	0	3.0103050183282636	7.922942343403544
c5024	True	0	2.3218093810732516	1.9735882982687427
c5385	True	0	2.331226965674585	1.972788846305749
c5333	True	0	2.280280442041708	2.1630016855483047
c3776	False	0	3.0099919791455774	7.922942392561219
c4965	True	0	2.2614062752941626	1.9748213493256024
c4978	True	0	2.26131691490521	1.9798087858665294
c1273	False	0	3.01365647204906	7.923012930135503
c1804	False	0	3.0136563709944153	7.9230129301354975
c3134	False	0	3.013222164891571	7.923012753807036
c5397	True	0	0.9923365538097946	1.5424948000885477
c5106	True	0	1.421666029157779	2.098524802019488
c2758	False	0	3.0136362109101387	7.923012929712435
c5230	True	0	1.118146369294651	1.636690209187067
c5130	True	0	1.4934475623814887	2.1858508920076902
c2635	False	0	3.013614563226025	7.923012928776396
c3407	False	0	3.013122595050547	7.923012554201851
c3675	False	0	3.012570599833491	7.9229339984609455
c5063	True	0	3.3419562670614997	1.1811099452684728
c5408	True	0	2.2492645811943848	1.3584907462317097
c3676	False	0	3.0039136285968224	7.922937507866074
c5140	True	0	1.222486573343897	1.3988653039927863
c4958	True	0	0.8055953315132681	1.732366102762523
c3408	False	0	3.0133390754841223	7.923012748034533
c5124	True	0	2.4768312532139465	1.3249076876220387
c5043	True	0	0.9206349448336588	1.9167084260596126
c215	False	1	0.6778981667219738	7.923012930135503
c819	False	1	0.677898166639799	7.923012930135503
c4082	False	1	0.6802317307778621	7.9229357293211855
c5524	True	1	0.8669990865601428	1.5302773520197983
c5532	True	1	1.4469340166321032	1.3010421284813347
c1189	False	1	0.6778981666435075	7.923012930135503
c4662	False	1	0.6734773961870761	7.890306210372454
c5483	True	1	0.9175568363649121	1.0354947878065626
c5484	True	1	0.34844349224288007	1.3538159138877985
c1744	False	1	0.6778981682316413	7.923012930135503
c5434	True	1	0.439361513206088	1.7717683895696035
c2106	False	1	0.677898202333272	7.923012930135499
c5472	True	1	1.4293328760351762	2.5079398113711755
c2990	False	1	0.6779083680010852	7.923012929748005
c5436	True	1	1.540956528414983	2.3964528374401923
c5515	True	1	1.5345979794454014	2.436954652644458
c268	False	1	0.6778981666438422	7.923012930135503
c425	False	1	0.677898166639796	7.923012930135503
c818	False	1	0.6778981666398459	7.923012930135505
c981	False	1	0.677898166640723	7.923012930135503
c1435	False	1	0.6778981669616819	7.923012930135503
c1731	False	1	0.6778981698646488	7.923012930135503
c4066	False	1	0.6821004502212424	7.922943284219547
c5529	True	1	1.5381263913566385	2.0376800458986697
c5419	True	1	1.5430831633963662	2.0672686776555476
c2478	False	1	0.677898982323495	7.923012930133941
c4748	False	1	0.7814859112712164	7.891957623487409
c5533	True	1	1.7353403618362213	1.5330393431788554
c5534	True	1	1.724561059065466	1.5370401402461475
c5485	True	1	1.365239133373266	2.4487965356407155
c2086	False	1	0.6778982336241873	7.9230129301354975
c4029	False	1	0.6843587656669189	7.922893622164827
c4725	False	1	0.7924762914011896	7.889750982265791
c5461	True	1	2.341160673526375	0.9851062673733267
c5462	True	1	1.3411745832441615	1.175311399513139
c5542	True	1	1.009667480617338	1.466627977330138
c5482	True	1	2.6617226132139087	1.4480126256206987
c1438	False	1	0.6778981667022411	7.923012930135503
c2975	False	1	0.6779084043294479	7.923012929199705
c4075	False	1	0.6786060753712461	7.922893433607348
c5431	True	1	0.7885463406135936	1.4155678049735012
c4744	False	1	0.6867948000124008	7.889797919161709
c5429	True	1	0.7684967575884021	1.0841524571106205
c5430	True	1	0.7677417901053873	1.0956127322224312
c5479	True	1	2.1131354865571725	1.472762376410318
c5478	True	1	0.7269178639677093	1.7828473088699015
c1439	False	1	0.6778981667530848	7.923012930135505
c2491	False	1	0.6778988372702297	7.923012930133907
c2963	False	1	0.6779064486543422	7.923012929704871
c5442	True	1	2.1054492723254516	1.4338624374262492
c5494	True	1	0.6443587125363458	2.173746368952954
c5443	True	1	1.5747343059947587	1.5252399945262471
c5526	True	1	1.6069755605301774	1.5772384222280682
c812	False	1	0.6778981666398494	7.923012930135505
c1177	False	1	0.6778981666655401	7.923012930135503
c2076	False	1	0.6778983109064021	7.9230129301354975
c2965	False	1	0.6779416585060661	7.923012929222214
c3469	False	1	0.678707428003673	7.923012644595871
c4687	False	1	0.9154138819868666	7.8906236798580665
c5495	True	1	4.301658918828988	0.9910432033308837
c5496	True	1	1.878615926839882	1.5291822009887979
c5422	True	1	2.5964922772084993	1.457330467149593
c5503	True	1	1.2784634699846138	1.7318193876266768
c5425	True	1	3.331748568265865	1.633833054170211
c2969	False	1	0.6779269074957354	7.923012929211229
c3465	False	1	0.6780815362262407	7.92301274576426
c5528	True	1	1.7622217539414295	1.4284386772123199
c5536	True	1	1.1110502086279337	1.655960834654775
c4752	False	1	0.8421243430667595	7.890118393848931
c5463	True	1	2.9339668956964644	0.986969096367256
c5464	True	1	1.7576403707075543	1.3249084232322126
c5438	True	1	0.8120942696327266	1.809710610672314
c5505	True	1	0.7136883421700205	1.8236044425123497
