node_name	is_leaf	regime	infer_mu	infer_var
c0	False	0	3.9090735079611565	7.417865831622259
c6	False	0	3.9090735079611565	7.417865831622259
c20	False	0	3.9090735079611565	7.417865831622259
c31	False	0	3.9090735079611565	7.417865831622259
c124	False	0	3.909073507961157	7.417865831622259
c183	False	0	3.9090735079611565	7.417865831622259
c1340	False	0	3.909073507506937	7.417865831622259
c2199	False	0	3.909072214867717	7.41786583162123
c5171	True	0	2.704829472978401	1.8072908856424204
c3711	False	0	3.8998100580481516	7.41780609247368
c5004	True	0	1.865173310075468	1.6036167340465852
c5215	True	0	1.8640555421126281	1.592793970084302
c2884	False	0	3.909012177452543	7.417865830834259
c3159	False	0	3.9080005420853845	7.417865548858988
c4378	False	0	3.6243871300218435	7.389939407012717
c5183	True	0	0.7280307391703192	1.3733338703110862
c5184	True	0	1.0954540423519001	1.1124038806184162
c3890	False	0	3.900060828172651	7.417804287097197
c5058	True	0	1.714878046668179	1.4970991577647985
c4920	True	0	2.1386020748484635	1.3476215069654889
c5214	True	0	1.9055051237873242	1.8225858017134613
c226	False	0	3.9090735079611565	7.417865831622259
c283	False	0	3.9090735079611565	7.417865831622259
c795	False	0	3.9090735079611334	7.417865831622259
c3643	False	0	3.8906328044377902	7.417738526755274
c4323	False	0	3.7148131777867537	7.389769287974174
c5141	True	0	2.3139824369371174	1.0148690382002685
c5142	True	0	1.42279090404836	1.395568848342885
c4324	False	0	3.7150252558593735	7.3897690956406645
c5391	True	0	2.300621473853891	1.004634171615047
c5392	True	0	1.4406277203884124	1.4057209279907241
c4997	True	0	3.998867702125256	2.0296818712144873
c908	False	0	3.909073507961042	7.417865831622257
c1366	False	0	3.9090735078968257	7.417865831622259
c1691	False	0	3.9090735072364278	7.417865831622259
c4534	False	0	3.858595169433516	7.390450182554847
c5259	True	0	2.765986388489034	1.6793005105729775
c5260	True	0	3.9892308946012958	1.032790609718839
c4586	False	0	3.8973473445881246	7.390220685475571
c4989	True	0	3.716971445886883	1.3396405765835608
c4990	True	0	3.8542560385136735	1.2707103508667212
c3625	False	0	3.90650180210913	7.4177724384141355
c4263	False	0	3.871414838742414	7.389824223580119
c5255	True	0	3.502803532671929	1.2157812937135644
c5256	True	0	3.523138646727217	1.2189414436492962
c5246	True	0	3.564326213062854	1.5990726596674796
c5122	True	0	4.437465923620271	1.9426607464274521
c2632	False	0	3.909015242170233	7.417865830875023
c3371	False	0	3.908395436428276	7.417865639206533
c3713	False	0	3.8996621723215914	7.417808586022305
c5024	True	0	1.828975051980592	1.8315867273283482
c5385	True	0	1.8398221194097328	1.8506859191016238
c5333	True	0	1.7817105225945336	2.0235194002162213
c3776	False	0	3.897574775755578	7.417805176229641
c4965	True	0	1.3724101923208416	1.5079000414927706
c4978	True	0	1.3701896836710044	1.509992851877748
c1273	False	0	3.909073507379645	7.417865831622259
c1804	False	0	3.909073408440447	7.417865831622255
c3134	False	0	3.9086518760642814	7.417865708950899
c5397	True	0	1.948308694886045	2.1425671432350257
c5106	True	0	1.9597766490518118	2.1433825117424385
c2758	False	0	3.9090496482459653	7.417865831336522
c5230	True	0	1.412501617575227	1.737946169632375
c5130	True	0	1.7569590251891543	2.251047948788632
c2635	False	0	3.9090041375220608	7.417865830712026
c3407	False	0	3.9080907541483616	7.417865563298227
c3675	False	0	3.89806370856438	7.417805080308439
c5063	True	0	1.4623423161391957	1.7842514467043695
c5408	True	0	1.505701191037732	1.2150102898531514
c3676	False	0	3.899411910968492	7.417808144099641
c5140	True	0	1.7895190963864467	1.8037069129690553
c4958	True	0	1.774976776677507	1.7924961497380827
c3408	False	0	3.9085955183254986	7.417865698166716
c5124	True	0	1.8340564549390193	1.3461244305376776
c5043	True	0	1.5720121158910725	2.012500016651375
c215	False	1	3.6724651690256955	7.417865831622259
c819	False	1	3.6724651690194703	7.417865831622259
c4082	False	1	3.6735297836841836	7.417807531603689
c5524	True	1	4.012878139052309	1.7124095279809906
c5532	True	1	3.8019767190892937	1.7643962327899017
c1189	False	1	3.6724651690225967	7.417865831622259
c4662	False	1	3.832092701705904	7.390425244911443
c5483	True	1	5.555588651185888	1.2528289277433258
c5484	True	1	5.150641912258001	1.4481559359399938
c1744	False	1	3.6724651685473293	7.417865831622259
c5434	True	1	3.2695773304134637	2.1431535217368363
c2106	False	1	3.6724651637740893	7.417865831622257
c5472	True	1	3.261716783885487	2.0831866880484977
c2990	False	1	3.6724649665657414	7.417865831336834
c5436	True	1	4.474601713597212	1.7674334196156758
c5515	True	1	2.8308856766072785	2.2333688068140383
c268	False	1	3.672465169019759	7.417865831622259
c425	False	1	3.672465169019462	7.417865831622259
c818	False	1	3.672465169019405	7.417865831622259
c981	False	1	3.6724651690184578	7.417865831622259
c1435	False	1	3.6724651687506156	7.417865831622259
c1731	False	1	3.6724651653981635	7.417865831622259
c4066	False	1	3.666429993730545	7.417806084288082
c5529	True	1	2.131972311621707	1.6601950477051763
c5419	True	1	2.549011205693874	1.5346208084643111
