ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_T1	h1_theta_Met	h0	h1	lrt	p	q	signif
557	Rps2	3.4407296	2.9031003	122.04394	93.52192	34.210724	1.9521719	42.899055	57.68028259277344	57.81637573242188	-219314.4	-220092.39	1555.9688	0.00012093056064725491	0.03486797400559688	True
286	Rps19	4.620908	3.0609477	97.33619	112.175964	25.958652	3.974505	49.731342	78.52176666259766	79.48919677734375	-286395.2	-286985.8	1181.25	0.00015926511970914365	0.03486797400559688	True
1	Actb	1.8681443	7.1353035	190.53152	55.940502	0.9765928	5.975461	72.550514	56.97240829467773	73.07844543457031	-118388.92	-118956.78	1135.7188	0.00016564756855221938	0.03486797400559688	True
83	Rps5	5.2233195	2.2902918	80.00447	107.67829	29.070005	5.2766423	64.17624	72.09706115722656	89.57040405273438	-308263.28	-308731.62	936.6875	0.0002008379944153935	0.03486797400559688	True
39	Ftl1	4.301419	3.0688853	118.45589	84.93796	12.066694	3.266947	86.68762	64.0047836303711	68.41999816894531	-201818.67	-202166.25	695.15625	0.00027064611875791126	0.03486797400559688	True
3	Eef1a1	3.8236003	3.6480546	200.37213	139.88182	4.067145	6.430102	181.32732	125.49420166015624	158.40237426757812	-379003.97	-379341.16	674.375	0.00027899258330300837	0.03486797400559688	True
44	Rps14	4.8549027	2.9335585	98.98999	117.37657	8.162811	4.814629	93.36108	94.11927032470705	109.80274963378906	-316838.2	-317110.66	544.9375	0.000345343082332985	0.03486797400559688	True
49	mt-Atp6	4.0755787	1.6488048	100.65699	114.77493	4.3923597	1.166165	72.79477	118.00711059570312	101.32594299316406	-269177.56	-269364.2	373.25	0.0005046178117449634	0.03486797400559688	True
11	Ccl5	0.19667575	2.516724	134.3491	11.915299	0.19211406	8.204231	183.55606	-40.43965530395508	73.34001922607422	-27390.154	-27551.969	323.6289	0.0005822770236538714	0.03486797400559688	True
12	Ptn	0.6969418	0.35905582	8.126831	1.5985047	0.7018395	7.2900743	12.21377	-3.109935760498047	11.5206880569458	-8855.027	-9007.566	305.07812	0.0006178308475753198	0.03486797400559688	True
14	Rplp0	3.697458	2.6563826	206.15536	136.58557	3.7277496	2.9069135	182.0247	115.5911102294922	179.5258026123047	-375460.6	-375606.2	291.1875	0.0006474354678767278	0.03486797400559688	True
7	H19	4.878402	1.4801803	81.343834	-1.4584366	4.0636077	7.3641267	136.49039	-30.25420188903809	41.14556121826172	-80281.91	-80426.56	289.3125	0.0006516505689647348	0.03486797400559688	True
135	Gapdh	22.057943	4.288121	47.263107	34.98731	6.668937	2.7850995	23.020456	32.083248138427734	38.924930572509766	-122604.63	-122745.12	280.96875	0.0006710938958715536	0.03486797400559688	True
18	Gpx3	0.30713895	0.78815764	6.194566	5.6727004	0.3594829	10.776693	7.5161667	12.021570205688477	-1.0367085933685305	-7203.4414	-7332.419	257.95508	0.0007312827545498334	0.03486797400559688	True
4	Spp1	0.2146028	2.4623144	140.5516	41.925102	0.23596889	4.5423555	134.65883	93.5606460571289	-9.196550369262695	-42008.9	-42134.152	250.50781	0.0007531439232413878	0.03486797400559688	True
19	Rpl32	4.39512	4.4950595	229.93228	144.1318	4.576889	4.5968504	219.81007	141.1463623046875	147.55674743652344	-392733.16	-392846.97	227.625	0.0008293313420149643	0.03486797400559688	True
0	Lgals1	2.4202394	2.9184911	221.79845	83.2736	2.27389	3.3206816	211.77899	60.73483657836914	118.2599105834961	-213527.66	-213635.61	215.90625	0.00087465010246613	0.03486797400559688	True
45	Rbp1	7.9844685	0.92459726	6.13241	5.4294143	5.5007987	8.06244	10.19929	3.1311240196228027	9.69028377532959	-10173.439	-10273.198	199.51758	0.0009470329639047032	0.03486797400559688	True
22	Cxcl14	0.5836917	1.1181653	8.478684	-2.6994522	0.25380826	7.558921	6.760783	2.342781543731689	-5.900036811828613	-483.9068	-580.9562	194.09875	0.0009736786294789756	0.03486797400559688	True
15	Igfbp3	0.6245429	0.9465252	6.6095066	-0.07761452	0.36506158	5.9122415	4.5816255	3.0607497692108154	-4.011884689331055	-723.4647	-820.14685	193.36426	0.0009774062434233439	0.03486797400559688	True
1170	Ifitm3	11.453415	5.2410455	36.377396	20.028969	1.9655068	6.417278	15.256651	19.046405792236328	21.984655380249023	-43345.01	-43441.35	192.67969	0.0009809063241605664	0.03486797400559688	True
24	Ap3s1	15.617723	1.3051912	2.0159838	1.6429608	5.778502	7.8439817	0.79594755	2.5842652320861816	0.4138246178627014	901.8542	811.9877	179.73303	0.0010521687117789793	0.03486797400559688	True
17	Ctsc	2.387161	1.3526763	5.249539	-1.8583239	2.693858	9.949051	10.090063	0.0004703914455603	-5.156426906585693	467.8916	380.80768	174.16785	0.0010860894361949388	0.03486797400559688	True
