source	term_id	term_name	p_value	adjusted_p_value	term_size	query_size	intersection_size	precision	recall	intersection_genes
GO:BP	GO:0032212	positive regulation of telomere maintenance via telomerase	0.003720572109341167	0.003720572109341167	10	316	8	0.02531645569620253	0.8	Cct8,Cct5,Cct2,Tcp1,Dkc1,Hnrnpd,Cct7,Cct3
GO:BP	GO:0032210	regulation of telomere maintenance via telomerase	0.004081193955085653	0.004081193955085653	13	316	9	0.028481012658227847	0.6923076923076923	Cct8,Cct5,Cct2,Tcp1,Dkc1,Hnrnpd,Hnrnpu,Cct7,Cct3
GO:BP	GO:1904358	positive regulation of telomere maintenance via telomere lengthening	0.012670136046261923	0.012670136046261923	11	316	8	0.02531645569620253	0.7272727272727273	Cct8,Cct5,Cct2,Tcp1,Dkc1,Hnrnpd,Cct7,Cct3
GO:BP	GO:0009060	aerobic respiration	0.012750844326590424	0.012750844326590424	114	316	27	0.08544303797468354	0.23684210526315788	Gapdh,Pkm,Mdh2,Cox6b1,Ndufa3,Mtch2,Park7,Galk1,Cdk1,Tpi1,Ndufc1,Ndufa7,Ndufa13,Ndufb10,Ndufab1,Cox6c,Cox7b,Chchd2,Cox6a1,Ndufs6,Cox4i1,Ndufs7,Pdha1,Eif6,Uqcrq,Uqcr11,Aldoa
GO:BP	GO:0006091	generation of precursor metabolites and energy	0.012791379467059853	0.012791379467059853	165	316	34	0.10759493670886076	0.20606060606060606	Gapdh,Pkm,Pgls,Mdh2,Cox6b1,Ldha,Ndufa3,Mtch2,Park7,Acat1,Galk1,Cdk1,Tpi1,Ndufc1,Ndufa7,Ndufa13,Etfb,Ndufb10,Ndufab1,Ptges3,Cox6c,Cox7b,Chchd2,Cox6a1,Ndufs6,Tkt,Cox4i1,Ndufs7,Hmgb1,Pdha1,Eif6,Uqcrq,Uqcr11,Aldoa
GO:BP	GO:0006457	protein folding	0.019506074118784016	0.019506074118784016	58	316	18	0.056962025316455694	0.3103448275862069	B2m,Hspe1,Ppia,Cct8,Cct5,Cct2,Tcp1,Cdc37,Hspa9,Hsp90ab1,Pfdn1,Hspa4,Dnajc2,Hspd1,Dnajb1,Cct7,Pfdn2,Cct3
GO:BP	GO:0010467	gene expression	0.01981265789259846	0.01981265789259846	1450	316	161	0.509493670886076	0.11103448275862068	Ccl5,H19,Gapdh,Cpe,Pkm,Npm1,Isg15,Dap,B2m,Serbp1,Cdkn2a,Txn1,Hspe1,Nudt21,Ybx1,Ruvbl2,Nfix,Wdr12,Sri,Pcsk1n,Cdk4,Ramp3,Il33,Tmpo,Snrpe,Eif4ebp1,Fkbp3,Hmga2,Cdkn1c,Ppia,Ncl,Prmt1,Ccne1,Cks1b,Cct8,Rfc1,Atf5,Eif3i,Rbm17,Park7,Cct5,Cct2,Hnrnpa2b1,Tcp1,Cdc37,Vim,Actn4,Fkbp4,Snrpa1,Lyar,Hmgb2,Elavl1,Pa2g4,Eif5a,Foxp1,Uchl5,Hspa9,Hmgn1,Smarca5,Chchd1,Ppm1g,Hnrnpf,Fip1l1,Gadd45gip1,Snrpg,Polr1d,C1qbp,Denr,Emg1,Cdk1,Gas1,Nme2,Hnrnpc,Hsp90ab1,Dkc1,Snrpf,Clns1a,Hnrnpd,Metap2,Pfdn1,Fhl2,Sbds,Taf10,Fos,Lsm6,Anxa2,Gcsh,Psip1,Tomm70a,Dcn,Ddx47,Lsm4,Eif1ax,Phb2,Ercc1,Hspa4,Dnajc2,Gspt1,Ywhah,Egr1,Hspd1,Cnbp,Ddx39b,Rbm3,Exosc8,Ptbp1,Eef1d,Ndufa13,Dnajb1,Eif3h,Lsm3,Hnrnpu,Pin1,Lsm5,Eif3c,Eif2s2,Dazap1,Mif,Axl,Fkbp1a,Naca,Gtf2a2,Prrx2,Lsm8,Snrpd1,Snrnp27,Prrx1,Cct7,Eif3e,Chchd2,Nucks1,Actg1,Clu,Ndufs6,Dpy30,Hnrnpa1,Map2k2,Eif4e,Eif4h,Hint1,H3f3b,Aurkaip1,Anxa1,Nop10,Zfp36,Pfdn2,Strap,Eef2,Hmgb1,Eif6,Pabpc1,Ube2l3,Dek,Cct3,Polr2f,Eif1,Tmed2,Edf1,Rbm8a,Eif3k,Bambi
GO:BP	GO:1904356	regulation of telomere maintenance via telomere lengthening	0.024610861607344544	0.024610861607344544	15	316	9	0.028481012658227847	0.6	Cct8,Cct5,Cct2,Tcp1,Dkc1,Hnrnpd,Hnrnpu,Cct7,Cct3
GO:BP	GO:0009059	macromolecule biosynthetic process	0.0341114766350314	0.0341114766350314	1519	316	166	0.5253164556962026	0.10928242264647794	Ccl5,H19,Gapdh,Cpe,Pkm,Npm1,Isg15,Dap,B2m,Serbp1,Cdkn2a,Txn1,Hspe1,Nudt21,Ybx1,Ruvbl2,Nfix,Wdr12,Sri,Pcsk1n,Cdk4,Ramp3,Il33,Tmpo,Snrpe,Eif4ebp1,Fkbp3,Hmga2,Cdkn1c,Ppia,Ncl,Prmt1,Ccne1,Cks1b,Cct8,Rfc1,Atf5,Eif3i,Rbm17,Park7,Cct5,Cct2,Hnrnpa2b1,Tcp1,Cdc37,Vim,Actn4,Fkbp4,Snrpa1,Gxylt2,Lyar,Hmgb2,Elavl1,Pa2g4,Eif5a,Foxp1,Uchl5,Hspa9,Hmgn1,Smarca5,Chchd1,Ppm1g,Hnrnpf,Ost4,Fip1l1,Gadd45gip1,Snrpg,Polr1d,C1qbp,Denr,Emg1,Cdk1,Gas1,Nme2,Hnrnpc,Pold2,Hsp90ab1,Dkc1,Snrpf,Clns1a,Hnrnpd,Metap2,Pfdn1,Fhl2,Sbds,Taf10,Fos,Lsm6,Anxa2,Gcsh,Psip1,Tomm70a,Nmd3,Dcn,Ddx47,Lsm4,Eif1ax,Phb2,Ercc1,Hspa4,Dnajc2,Gspt1,Ywhah,Egr1,Hspd1,Cnbp,Ddx39b,Rbm3,Exosc8,Ptbp1,Eef1d,Ndufa13,Dnajb1,Eif3h,Lsm3,Hnrnpu,Pin1,Lsm5,Eif3c,Eif2s2,Dazap1,Mif,Axl,Ptges3,Fkbp1a,Naca,Gtf2a2,Prrx2,Lsm8,Snrpd1,Snrnp27,Prrx1,Cct7,Eif3e,Chchd2,Nucks1,Actg1,Clu,Ndufs6,Dpy30,Hnrnpa1,Map2k2,Eif4e,Eif4h,Hint1,H3f3b,Aurkaip1,Anxa1,Nop10,Zfp36,Pfdn2,Strap,Eef2,Hmgb1,Eif6,Pabpc1,Ube2l3,Dek,Cct3,Polr2f,Eif1,Tmed2,Edf1,Rbm8a,Eif3k,Bambi
GO:BP	GO:0000723	telomere maintenance	0.04069612231029344	0.04069612231029344	49	316	16	0.05063291139240506	0.32653061224489793	Ruvbl2,Ccne1,Cct8,Cct5,Cct2,Tcp1,Uchl5,Hsp90ab1,Dkc1,Hnrnpd,Ercc1,Hnrnpu,Ptges3,Cct7,Nop10,Cct3
