cell	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17
E15_rep1_clone00001	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	45	-1	50	-1	32	-1
E15_rep1_clone00002	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	121	118	116	44	55	70
E15_rep1_clone00003	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	10	-1	28	-1	31	-1	94
E15_rep1_clone00004	27	-1	26	-1	28	-1	22	-1	11	0	0	45	-1	50	-1	32	-1
E15_rep1_clone00005	-1	-1	-1	-1	-1	-1	-1	-1	-1	94	13	-1	32	-1	35	-1	126
E15_rep1_clone00006	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	95	-1	113	-1	87	101	82
E15_rep1_clone00007	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	0	0	0	0	98	-1
E15_rep1_clone00008	27	-1	26	-1	28	-1	22	-1	11	104	-1	121	118	116	44	55	70
E15_rep1_clone00009	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	12	-1
E15_rep1_clone00010	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	-1	121	119	134	64	126	71
E15_rep1_clone00011	31	4	-1	3	-1	4	-1	4	14	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00012	27	-1	26	-1	28	-1	22	-1	11	22	10	-1	28	-1	31	-1	94
E15_rep1_clone00013	19	-1	19	-1	22	-1	16	-1	20	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00014	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	78	0	126
E15_rep1_clone00015	27	-1	26	-1	28	-1	22	-1	11	57	-1	74	-1	83	-1	63	-1
E15_rep1_clone00016	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	2	-1	5	0	96	-1
E15_rep1_clone00017	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	138	-1	128	92	-1	125
E15_rep1_clone00018	27	-1	26	-1	28	-1	22	-1	11	100	-1	138	-1	128	92	-1	125
E15_rep1_clone00019	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	78	0	94	0	0	0	114
E15_rep1_clone00020	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	12	-1	30	-1	33	-1	91
E15_rep1_clone00021	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	74	-1	80	0	0	95	-1
E15_rep1_clone00022	27	-1	26	-1	28	-1	22	-1	11	46	40	58	-1	64	-1	46	-1
E15_rep1_clone00023	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	-1	32	-1	35	-1	126
E15_rep1_clone00024	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	54	-1	0	123	-1	124	85
E15_rep1_clone00025	27	-1	26	-1	28	-1	22	-1	11	74	-1	88	-1	97	-1	78	-1
E15_rep1_clone00026	27	-1	26	-1	28	-1	22	-1	11	94	13	-1	32	-1	35	-1	126
E15_rep1_clone00027	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	60	111	3	-1	3	-1	3
E15_rep1_clone00028	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	12	-1	11	-1	16
E15_rep1_clone00029	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	129	108	-1	97	-1	86
E15_rep1_clone00030	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	68	6
E15_rep1_clone00031	27	-1	26	-1	28	-1	22	-1	11	42	26	-1	43	-1	46	-1	46
E15_rep1_clone00032	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	24	-1	27	27	15	86
E15_rep1_clone00033	27	-1	26	-1	28	-1	22	-1	11	0	60	111	3	-1	3	-1	3
E15_rep1_clone00034	27	-1	26	-1	28	-1	22	-1	11	51	-1	67	-1	75	-1	57	65
E15_rep1_clone00035	27	-1	26	-1	28	-1	22	-1	11	60	-1	77	-1	86	-1	66	-1
E15_rep1_clone00036	27	-1	26	-1	28	-1	22	-1	11	67	-1	83	-1	91	-1	72	-1
E15_rep1_clone00037	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	19	-1	22	-1	101	99
E15_rep1_clone00038	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	93	-1	110	-1	0	0	101
E15_rep1_clone00039	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	26	-1	43	-1	46	-1	46
E15_rep1_clone00040	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	12	-1	30	-1	33	-1	86
E15_rep1_clone00041	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	100	10
E15_rep1_clone00042	27	-1	26	-1	28	-1	22	-1	11	0	95	-1	113	-1	87	101	82
E15_rep1_clone00043	27	-1	26	-1	28	-1	22	-1	11	3	18	-1	37	-1	39	-1	92
E15_rep1_clone00044	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	135	0	0	0	0	78
E15_rep1_clone00045	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	40	58	-1	64	-1	46	-1
E15_rep1_clone00046	-1	-1	-1	-1	-1	-1	-1	-1	-1	64	85	16	20	147	-1	148	75
E15_rep1_clone00047	-1	-1	-1	-1	-1	-1	-1	-1	-1	138	-1	155	-1	0	0	106	-1
E15_rep1_clone00048	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	10	-1	28	-1	31	-1	94
E15_rep1_clone00049	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	35	-1	53	-1	55	-1	58
E15_rep1_clone00050	27	-1	26	-1	28	-1	22	-1	11	40	-1	61	-1	67	-1	49	86
E15_rep1_clone00051	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	18	-1	37	-1	39	-1	92
E15_rep1_clone00052	27	-1	26	-1	28	-1	22	-1	11	59	-1	76	-1	85	-1	65	-1
E15_rep1_clone00053	27	-1	26	-1	28	-1	22	-1	11	130	-1	146	98	8	-1	5	-1
E15_rep1_clone00054	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	-1	74	-1	83	-1	63	-1
E15_rep1_clone00055	-1	-1	-1	-1	-1	-1	-1	-1	-1	139	-1	156	-1	120	-1	120	86
E15_rep1_clone00056	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	93	-1	110	-1	0	94	101
E15_rep1_clone00057	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	110	78	0	126
E15_rep1_clone00058	27	-1	26	-1	28	-1	22	-1	11	0	0	0	12	-1	11	-1	16
E15_rep1_clone00059	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	45	0	59	-1	79	-1	110
E15_rep1_clone00060	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	77	-1	86	-1	66	-1
E15_rep1_clone00061	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	60	151	0	138	-1	141	-1
E15_rep1_clone00062	4	6	-1	5	-1	6	-1	7	20	52	-1	68	-1	76	-1	58	-1
