# logfile for VINE (version 0.3.4), Tue May 19 17:16:25 2026
# Host: bam35 [Linux, release 4.18.0-553.123.1.el8_10.x86_64, x86_64]
# Command line: vine --format CRISPR --mean \
#   data/vine_no_migration/e15_rep1/E15_rep1_clone_vine_mean.nwk --nsamples 100 \
#   -j 16 data/laml/e15_rep1/E15_rep1_clone_character_matrix.tsv --logfile \
#   data/vine_no_migration/e15_rep1/E15_rep1_clone_vine.log 
#
state	ll	elbo	kld	half_trHS	elbo_bias	penalty	sigma.0	nu	lead_t	
1	-37601.257455	-38112.206473	400.003520	0.000000	0.000000	110.945497	-4.660644	0.415000	0.035000	
2	-32260.986884	-32769.135597	399.540721	0.000000	0.000000	108.607992	-4.624370	0.429987	0.020000	
3	-31572.987405	-32079.204712	399.293338	0.000000	0.000000	106.923970	-4.583003	0.444940	0.005001	
4	-30959.899829	-31463.925325	399.005891	0.000000	0.000000	105.019604	-4.540072	0.459825	0.000000	
5	-30594.459257	-31096.211492	398.690950	0.000000	0.000000	103.061285	-4.496070	0.474664	0.000000	
6	-30228.952747	-30728.407403	398.381408	0.000000	0.000000	101.073248	-4.451078	0.489453	0.000000	
7	-30000.861023	-30498.000502	398.079004	0.000000	0.000000	99.060474	-4.405332	0.504188	0.000000	
8	-29653.715188	-30148.538513	397.788562	0.000000	0.000000	97.034762	-4.359609	0.518847	0.000000	
9	-29313.140594	-29805.695389	397.523820	0.000000	0.000000	95.030974	-4.313714	0.533387	0.000000	
10	-29226.600188	-29716.932041	397.291196	0.000000	0.000000	93.040656	-4.267284	0.547799	0.000000	
11	-28971.966144	-29460.089644	397.074955	0.000000	0.000000	91.048545	-4.220653	0.562093	0.000000	
12	-28792.941876	-29278.900509	396.889071	0.000000	0.000000	89.069562	-4.173916	0.576255	0.000000	
13	-28590.402587	-29074.242550	396.732099	0.000000	0.000000	87.107864	-4.126866	0.590271	0.000000	
14	-28583.427537	-29065.175758	396.593102	0.000000	0.000000	85.155119	-4.079532	0.604203	0.000000	
15	-28378.353388	-28858.052054	396.485761	0.000000	0.000000	83.212904	-4.032105	0.617992	0.000000	
16	-28232.826398	-28710.516380	396.400644	0.000000	0.000000	81.289338	-3.984484	0.631607	0.000000	
17	-28044.866142	-28520.573897	396.327198	0.000000	0.000000	79.380557	-3.936641	0.645042	0.000000	
18	-28062.365023	-28536.120844	396.270099	0.000000	0.000000	77.485721	-3.888562	0.658274	0.000000	
19	-27963.932918	-28435.759118	396.221631	0.000000	0.000000	75.604568	-3.840333	0.671305	0.000000	
20	-27858.706092	-28328.629125	396.182242	0.000000	0.000000	73.740791	-3.792015	0.684112	0.000000	
21	-27687.843674	-28155.896783	396.156204	0.000000	0.000000	71.896905	-3.743546	0.696545	0.000000	
22	-27658.546016	-28124.760733	396.144019	0.000000	0.000000	70.070698	-3.694947	0.708634	0.000000	
23	-27607.111007	-28071.521928	396.147748	0.000000	0.000000	68.263174	-3.646263	0.720334	0.000000	
24	-27467.197103	-27929.834306	396.161033	0.000000	0.000000	66.476171	-3.597505	0.731457	0.000000	
25	-27374.838124	-27835.724164	396.175828	0.000000	0.000000	64.710211	-3.548662	0.741994	0.000000	
26	-27356.867345	-27816.030071	396.197726	0.000000	0.000000	62.965000	-3.499701	0.751887	0.000000	
27	-27269.837517	-27727.302788	396.225724	0.000000	0.000000	61.239547	-3.450665	0.760953	0.000000	
28	-27148.943271	-27604.740051	396.261350	0.000000	0.000000	59.535430	-3.401570	0.769113	0.000000	
