ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_pro	h1_theta_diff	h0	h1	lrt	p	q	signif
13	Stmn1	16.4643	8.980896	271.54807	158.9219207763672	18.42876	22.783857	347.00906	65.13661193847656	171.5412139892578	-101687.055	-101757.17	140.23438	0.0	0.0	True
15	Tmsb10	12.086092	10.450979	355.34125	178.34515380859375	17.756577	22.542227	380.03366	80.05924224853516	191.30271911621094	-115718.12	-115753.84	71.453125	0.0	0.0	True
18	Stmn3	519.8667	10.041736	47.66936	29.76774024963379	790.7593	21.153173	48.426376	9.700154304504395	32.63444900512695	-13161.153	-13205.616	88.92578	0.0	0.0	True
25	Tmsb4x	12.137085	7.1835732	231.45662	144.9022674560547	16.54121	11.391971	220.10406	221.55203247070312	130.53143310546875	-90748.77	-90796.8	96.046875	0.0	0.0	True
55	Jpt1	371.10864	12.117932	44.436092	30.692052841186523	1096.6332	29.910442	42.994026	12.1998929977417	33.13214111328125	-13335.604	-13385.316	99.42578	0.0	0.0	True
16	Nfia	1.4368508	13.550829	32.211414	-2.649550199508667	3.0661175	32.10052	30.838297	9.855002403259277	-3.128445625305176	-126.590515	-161.3571	69.53317	1.1102230246251565e-16	1.1287267417022424e-15	True
21	Tubb3	36.98414	10.072152	88.0958	36.87928009033203	7.267951	19.59269	74.30453	9.740241050720215	41.07814407348633	-18947.814	-18981.535	67.44141	2.220446049250313e-16	1.9349601286324155e-15	True
12	Tubb2a	66.55598	8.422727	64.76832	30.342565536499023	4.266278	16.899176	32.319374	13.833468437194824	33.317291259765625	-14300.811	-14332.138	62.654297	2.4424906541753444e-15	1.8623991238087e-14	True
43	Basp1	592.62714	10.088769	58.13153	53.5880241394043	1096.6332	26.613956	71.542145	31.26163101196289	56.5833625793457	-28650.807	-28681.055	60.496094	7.327471962526033e-15	4.966397663489867e-14	True
1	Tubb5	57.160828	7.9864354	95.545815	50.469608306884766	13.136346	21.643267	100.875046	15.280109405517578	55.33407974243164	-28850.887	-28879.115	56.45703	5.739853037312059e-14	3.5013103527603565e-13	True
9	Rtn1	137.33148	8.068729	83.39242	61.12300109863281	425.53738	22.906206	112.86351	27.42455291748047	65.70964050292969	-34247.633	-34275.617	55.96875	7.360778653264788e-14	4.0818863440832004e-13	True
0	Malat1	9.536333	24.03289	578.0782	234.17819213867188	11.0105095	20.150246	450.85248	332.4053039550781	223.7471923828125	-162180.0	-162206.61	53.21875	2.984279490192421e-13	1.5170087408478139e-12	True
11	Meg3	40.017155	4.6121383	85.302444	49.336429595947266	57.804382	5.644621	77.86404	16.18020248413086	60.54893112182617	-23300.438	-23324.115	47.35547	5.92126347953581e-12	2.7784390173206493e-11	True
57	Calm2	48.14943	6.212889	29.89924	21.27031707763672	12.670544	23.473068	39.147526	10.492969512939453	22.99857521057129	-8055.1924	-8077.3125	44.240234	2.904498863642857e-11	1.265531647730102e-10	True
2	Sox4	42.955685	10.554691	30.21758	11.602165222167969	3.1601276	13.028599	11.595545	4.254008769989014	12.793789863586426	-3117.2017	-3136.2454	38.087402	6.764547810789168e-10	2.7509161097209284e-09	True
37	Ly6h	33.202232	8.443612	21.836952	24.597747802734375	29.076075	9.008581	15.607143	14.917376518249512	26.926090240478516	-9327.027	-9345.687	37.31836	1.003355842854603e-09	3.825294150883174e-09	True
8	Actg1	243.95271	12.883706	99.17341	71.22956848144531	83.75089	19.18953	100.38911	50.41820526123047	74.00595092773438	-42303.88	-42320.125	32.492188	1.1967264845758052e-08	4.2941362093602425e-08	True
14	Actb	15.242127	13.73736	163.41895	78.93838500976562	10.406745	5.8609653	87.0052	73.1022720336914	77.32806396484375	-46119.176	-46135.24	32.125	1.4456501551407541e-08	4.690550214318727e-08	True
51	Atpif1	411.03415	7.7087607	15.270732	19.409067153930664	1005.8584	18.85652	19.7687	12.78636646270752	20.387781143188477	-6844.845	-6860.8975	32.104492	1.4609910503615708e-08	4.690550214318727e-08	True
5	Ppia	183.06796	6.7162886	55.060905	59.10259246826172	996.18274	15.404812	74.71949	40.87281036376953	61.84606170654297	-32668.822	-32681.979	26.3125	2.9040302285121555e-07	8.857292196962075e-07	True
4	Tubb2b	17.637152	9.156998	199.72668	97.3773422241211	21.773544	14.437398	213.28389	55.21019744873047	99.611083984375	-59162.133	-59175.15	26.03125	3.3593551540533895e-07	9.758126876059845e-07	True
40	Ywhaq	160.17574	7.9966974	12.212659	12.631299018859863	670.8442	12.561017	13.191172	8.150249481201172	13.430253982543945	-3474.0999	-3485.6162	23.032715	1.5926799693533056e-06	4.416067187752347e-06	True
34	Prmt1	6.1867366	9.832607	6.134997	5.822811126708984	7.087236	14.491531	5.919882	2.6502437591552734	6.316585063934326	-894.75995	-904.97284	20.425781	6.198905430077062e-06	1.6440575271073946e-05	True
36	Eif4a1	6.202263	7.6911035	8.011558	7.0471343994140625	6.950601	11.6841955	9.217295	3.4415934085845947	7.705500602722168	-1295.6741	-1304.292	17.23584	3.3014899010086474e-05	8.391286831730312e-05	True
27	Rpl41	109.00096	6.828156	35.916565	41.82096862792969	70.708374	11.617303	38.487785	51.9337272644043	39.77225112915039	-20122.363	-20130.018	15.308594	9.130021681680311e-05	0.0002227725290329996	True
24	mt-Atp6	22.501053	7.932163	132.51613	116.6493911743164	26.94559	9.307956	129.49187	97.2349624633789	118.08668518066406	-73071.72	-73078.984	14.53125	0.0001378537545612124	0.0003234261164705368	True
28	Ddc	272.52917	10.295227	23.305695	-0.08334175497293472	1040.6232	12.670752	24.709255	-6.412232398986816	0.8186709880828857	-132.35165	-139.2178	13.7323	0.00021079790517408714	0.0004762471190970117	True
45	Ndfip1	120.382744	7.328117	11.623134	11.751988410949707	118.983864	16.378895	15.75783	8.438597679138184	12.31379508972168	-3080.043	-3086.7917	13.497559	0.00023887403884503833	0.0005204041560552621	True
32	Hist3h2ba	30.328474	8.445596	14.7555065	9.591049194335938	13.374676	14.024299	15.9248495	6.083582401275635	10.200037002563477	-2223.9407	-2230.0635	12.245605	0.0004663551844316105	0.0009809540086320083	True
42	Rpsa	274.6897	8.033768	32.04975	38.8043327331543	279.4251	14.026468	40.616703	33.34841537475586	40.06206130981445	-18404.223	-18410.172	11.8984375	0.0005618105145185348	0.0011289288763802823	True
10	Calm1	12.75182	6.572674	22.551119	26.165987014770508	9.921323	8.293492	15.440227	36.33052444458008	23.587066650390625	-10463.151	-10469.081	11.859375	0.0005737179535703074	0.0011289288763802823	True
23	Gapdh	19.702942	6.880288	13.239268	16.33960723876953	14.947214	16.170694	14.060334	11.655816078186035	17.020864486694336	-5336.4614	-5341.7188	10.514648	0.0011843196058249905	0.002257609248603888	True
48	Snap47	15.10607	8.82475	6.2833867	5.284695625305176	14.149124	10.654202	6.201534	3.3558597564697266	5.652477264404297	-649.16266	-654.3123	10.299316	0.0013307949856141699	0.0024599543673474045	True
59	Wnt5a	5.994052	11.759	10.965893	0.4678463935852051	4.5601916	11.687895	10.05271	2.3937342166900635	0.15711985528469086	117.7832	113.19	9.186401	0.0024381978481542443	0.00437441378639438	True
19	Atp5f1	149.83316	7.707684	9.050271	10.411117553710938	265.83905	11.398531	10.479572	8.216011047363281	10.83469295501709	-2478.727	-2483.1792	8.904297	0.00284500403375032	0.00495843560167913	True
6	Ubb	39.274208	5.3421383	70.189545	58.01539611816406	49.349007	6.8554044	78.50835	50.962181091308594	60.34396743774414	-32554.232	-32557.57	6.6757812	0.009773166542789702	0.016560087753060327	True
17	Nnat	17.873085	9.303578	239.776	96.73284149169922	24.162348	8.238792	200.559	48.04741668701172	105.36567687988281	-58711.793	-58714.9	6.2109375	0.01269633736384268	0.02093179943768658	True
46	Rps24	558.96344	8.041077	28.757881	36.69637680053711	314.08926	8.002711	26.44808	39.72645568847656	35.792930603027344	-16940.559	-16943.605	6.09375	0.013566086151773238	0.021777138296267564	True
3	Tuba1a	12.215281	87.449814	1502.7788	160.3436279296875	13.24626	5.205541	334.39566	80.54719543457031	187.39926147460938	-102142.29	-102145.28	5.984375	0.014433156035342565	0.0225749363629717	True
52	Slc25a4	142.55002	11.110136	18.744799	19.422775268554688	646.8834	9.052752	17.666565	17.171335220336914	19.93851661682129	-6791.3193	-6794.175	5.7109375	0.016859533376884617	0.02571078839974904	True
20	Ftl1	82.907906	6.039252	32.495136	47.26599884033203	50.200356	6.5091944	29.647226	44.23808670043945	48.20978546142578	-23602.473	-23604.877	4.8085938	0.028318144964407543	0.04213187421533805	True
44	Mdh2	28.742208	9.824874	6.493963	4.739604473114014	15.307053	11.066126	5.272998	3.529064416885376	4.945128917694092	-492.85513	-495.15652	4.602783	0.03192009636590876	0.04636013996001034	True
47	Rpl7	156.27043	7.994522	10.959019	14.24521541595459	108.9943	6.0457106	8.629607	16.521137237548828	13.372117042541504	-4150.113	-4152.345	4.4648438	0.034599253972805055	0.04908266261258391	True
58	Hsp90aa1	14.494307	5.5501204	11.89946	13.357964515686035	10.8299675	6.163765	11.062424	13.0079345703125	13.479910850524902	-3877.9036	-3879.8828	3.958496	0.046635350465040526	0.06465355405380618	False
22	Eef1a1	145.5192	9.542222	72.922325	56.53550720214844	184.8243	10.604522	76.629776	52.2440071105957	57.381656646728516	-30398.053	-30399.988	3.8710938	0.04912449834794619	0.06659098664943816	False
26	Ndufa4	96.7809	7.6862626	13.984975	18.474998474121094	85.91972	10.319258	15.454806	15.813281059265137	19.03105354309082	-6266.5327	-6268.3804	3.6953125	0.054565559958014265	0.07235867733562762	False
49	Atp5h	315.15005	9.147353	5.606981	10.618558883666992	765.04816	9.888005	5.07847	9.375802993774414	10.874640464782715	-2526.7332	-2528.1614	2.8564453	0.09100841166214524	0.11811730024235872	False
