ID	gene	hypothesis	regime	r	alpha	sigma	theta
24	mt-Atp6	h1	diff	26.94559	9.307956	129.49187	118.08668518066406
25	Tmsb4x	h0	shared	12.137085	7.1835732	231.45662	144.9022674560547
25	Tmsb4x	h1	pro	16.54121	11.391971	220.10406	221.55203247070312
25	Tmsb4x	h1	diff	16.54121	11.391971	220.10406	130.53143310546875
26	Ndufa4	h0	shared	96.7809	7.6862626	13.984975	18.474998474121094
26	Ndufa4	h1	pro	85.91972	10.319258	15.454806	15.813281059265137
26	Ndufa4	h1	diff	85.91972	10.319258	15.454806	19.03105354309082
27	Rpl41	h0	shared	109.00096	6.828156	35.916565	41.82096862792969
27	Rpl41	h1	pro	70.708374	11.617303	38.487785	51.9337272644043
27	Rpl41	h1	diff	70.708374	11.617303	38.487785	39.77225112915039
28	Ddc	h0	shared	272.52917	10.295227	23.305695	-0.08334175497293472
28	Ddc	h1	pro	1040.6232	12.670752	24.709255	-6.412232398986816
28	Ddc	h1	diff	1040.6232	12.670752	24.709255	0.8186709880828857
29	Rpl13	h0	shared	391.2699	7.5410447	30.758968	36.82413864135742
29	Rpl13	h1	pro	62.01404	7.8576264	25.424269	37.64115524291992
29	Rpl13	h1	diff	62.01404	7.8576264	25.424269	36.46986389160156
30	Mab21l2	h0	shared	3.3132796	6.089456	13.351285	-4.500543594360352
30	Mab21l2	h1	pro	3.511336	5.775802	12.883443	-5.5111165046691895
30	Mab21l2	h1	diff	3.511336	5.775802	12.883443	-4.067142486572266
31	Tubb4b	h0	shared	5.8331776	8.757942	5.379391	3.079763650894165
31	Tubb4b	h1	pro	5.772754	6.4643908	4.534236	3.583373546600342
31	Tubb4b	h1	diff	5.772754	6.4643908	4.534236	2.8797597885131836
32	Hist3h2ba	h0	shared	30.328474	8.445596	14.7555065	9.591049194335938
32	Hist3h2ba	h1	pro	13.374676	14.024299	15.9248495	6.083582401275635
32	Hist3h2ba	h1	diff	13.374676	14.024299	15.9248495	10.200037002563477
33	Atxn10	h0	shared	71.26234	8.584767	6.581982	5.206495761871338
33	Atxn10	h1	pro	101.9679	7.891958	6.1407714	4.5046186447143555
33	Atxn10	h1	diff	101.9679	7.891958	6.1407714	5.381165027618408
34	Prmt1	h0	shared	6.1867366	9.832607	6.134997	5.822811126708984
34	Prmt1	h1	pro	7.087236	14.491531	5.919882	2.6502437591552734
34	Prmt1	h1	diff	7.087236	14.491531	5.919882	6.316585063934326
35	Prdx2	h0	shared	142.02379	10.012167	20.006332	21.223125457763672
35	Prdx2	h1	pro	232.39902	6.848349	16.739683	18.964155197143555
35	Prdx2	h1	diff	232.39902	6.848349	16.739683	21.868267059326172
36	Eif4a1	h0	shared	6.202263	7.6911035	8.011558	7.0471343994140625
36	Eif4a1	h1	pro	6.950601	11.6841955	9.217295	3.4415934085845947
36	Eif4a1	h1	diff	6.950601	11.6841955	9.217295	7.705500602722168
37	Ly6h	h0	shared	33.202232	8.443612	21.836952	24.597747802734375
37	Ly6h	h1	pro	29.076075	9.008581	15.607143	14.917376518249512
37	Ly6h	h1	diff	29.076075	9.008581	15.607143	26.926090240478516
38	Wnt7b	h0	shared	15.03686	7.9673696	18.005548	-2.4301888942718506
38	Wnt7b	h1	pro	13.282501	6.0033154	15.032061	-0.7071269154548645
38	Wnt7b	h1	diff	13.282501	6.0033154	15.032061	-2.906883716583252
39	Eno1	h0	shared	31.56085	7.7947345	6.0042787	1.5254590511322021
39	Eno1	h1	pro	24.850285	7.084306	5.7327614	1.5116050243377686
39	Eno1	h1	diff	24.850285	7.084306	5.7327614	1.5307973623275757
40	Ywhaq	h0	shared	160.17574	7.9966974	12.212659	12.631299018859863
40	Ywhaq	h1	pro	670.8442	12.561017	13.191172	8.150249481201172
40	Ywhaq	h1	diff	670.8442	12.561017	13.191172	13.430253982543945
41	Pcdh10	h0	shared	11.768131	12.561463	14.523151	2.221864700317383
41	Pcdh10	h1	pro	1.4827803	7.931626	5.449908	1.547921895980835
41	Pcdh10	h1	diff	1.4827803	7.931626	5.449908	2.9475839138031006
42	Rpsa	h0	shared	274.6897	8.033768	32.04975	38.8043327331543
42	Rpsa	h1	pro	279.4251	14.026468	40.616703	33.34841537475586
42	Rpsa	h1	diff	279.4251	14.026468	40.616703	40.06206130981445
43	Basp1	h0	shared	592.62714	10.088769	58.13153	53.5880241394043
43	Basp1	h1	pro	1096.6332	26.613956	71.542145	31.26163101196289
43	Basp1	h1	diff	1096.6332	26.613956	71.542145	56.5833625793457
44	Mdh2	h0	shared	28.742208	9.824874	6.493963	4.739604473114014
44	Mdh2	h1	pro	15.307053	11.066126	5.272998	3.529064416885376
44	Mdh2	h1	diff	15.307053	11.066126	5.272998	4.945128917694092
45	Ndfip1	h0	shared	120.382744	7.328117	11.623134	11.751988410949707
45	Ndfip1	h1	pro	118.983864	16.378895	15.75783	8.438597679138184
45	Ndfip1	h1	diff	118.983864	16.378895	15.75783	12.31379508972168
46	Rps24	h0	shared	558.96344	8.041077	28.757881	36.69637680053711
46	Rps24	h1	pro	314.08926	8.002711	26.44808	39.72645568847656
46	Rps24	h1	diff	314.08926	8.002711	26.44808	35.792930603027344
47	Rpl7	h0	shared	156.27043	7.994522	10.959019	14.24521541595459
47	Rpl7	h1	pro	108.9943	6.0457106	8.629607	16.521137237548828
47	Rpl7	h1	diff	108.9943	6.0457106	8.629607	13.372117042541504
48	Snap47	h0	shared	15.10607	8.82475	6.2833867	5.284695625305176
48	Snap47	h1	pro	14.149124	10.654202	6.201534	3.3558597564697266
48	Snap47	h1	diff	14.149124	10.654202	6.201534	5.652477264404297
49	Atp5h	h0	shared	315.15005	9.147353	5.606981	10.618558883666992
