gene,species,replicate,exprval
1,4898,R1,0
1,4902,R1,1
1,4906,R1,0
1,4909,R1,0
1,4910,R1,1
1,4911,R1,1
1,4917,R1,1
1,4920,R1,1
1,4921,R1,1
1,4922,R1,1
1,4923,R1,1
1,4929,R1,0
1,4936,R1,0
1,4940,R1,0
1,4944,R1,0
1,4946,R1,2
1,4947,R1,0
1,4956,R1,1
1,4958,R1,0
1,4961,R1,2
1,4965,R1,3
1,4969,R1,2
1,4971,R1,2
1,4974,R1,0
1,4976,R1,1
1,4978,R1,2
1,4983,R1,0
1,4984,R1,0
1,4985,R1,0
1,4989,R1,2
1,4990,R1,2
1,4991,R1,1
1,4996,R1,0
1,4997,R1,2
1,5002,R1,1
1,5004,R1,2
1,5008,R1,0
1,5009,R1,2
1,5012,R1,2
1,5017,R1,0
1,5024,R1,0
1,5026,R1,0
1,5028,R1,0
1,5040,R1,1
1,5041,R1,0
1,5043,R1,0
1,5051,R1,0
1,5053,R1,0
1,5055,R1,0
1,5058,R1,1
1,5063,R1,1
1,5066,R1,1
1,5072,R1,0
1,5078,R1,0
1,5080,R1,0
1,5083,R1,0
1,5084,R1,0
1,5103,R1,0
1,5104,R1,0
1,5106,R1,0
1,5109,R1,1
1,5118,R1,0
1,5122,R1,1
1,5124,R1,0
1,5127,R1,5
1,5128,R1,2
1,5130,R1,0
1,5131,R1,0
1,5132,R1,2
1,5140,R1,1
1,5141,R1,2
1,5142,R1,1
1,5144,R1,0
1,5148,R1,1
1,5151,R1,0
1,5153,R1,0
1,5154,R1,2
1,5157,R1,2
1,5162,R1,0
1,5164,R1,1
1,5168,R1,0
1,5169,R1,1
1,5171,R1,3
1,5174,R1,0
1,5176,R1,0
1,5181,R1,0
1,5182,R1,1
1,5183,R1,1
1,5184,R1,3
1,5189,R1,0
1,5192,R1,1
1,5195,R1,1
1,5197,R1,3
1,5206,R1,0
1,5207,R1,0
1,5208,R1,2
1,5214,R1,1
1,5215,R1,1
1,5220,R1,0
1,5222,R1,1
1,5230,R1,1
1,5232,R1,0
1,5233,R1,1
1,5234,R1,2
1,5238,R1,2
1,5242,R1,0
1,5246,R1,0
1,5247,R1,0
1,5249,R1,2
1,5250,R1,1
1,5251,R1,0
1,5255,R1,0
1,5256,R1,0
1,5259,R1,0
1,5260,R1,2
1,5264,R1,0
1,5267,R1,2
1,5269,R1,0
1,5274,R1,2
1,5281,R1,0
1,5285,R1,0
1,5296,R1,0
1,5299,R1,0
1,5300,R1,0
1,5303,R1,3
1,5308,R1,3
1,5311,R1,0
1,5313,R1,0
1,5314,R1,0
1,5316,R1,1
1,5317,R1,0
1,5318,R1,0
1,5321,R1,0
1,5325,R1,1
1,5327,R1,1
1,5330,R1,2
1,5333,R1,1
1,5337,R1,0
1,5343,R1,1
1,5346,R1,1
1,5353,R1,2
1,5357,R1,3
1,5358,R1,0
1,5365,R1,0
1,5371,R1,0
1,5376,R1,3
1,5383,R1,3
1,5384,R1,2
1,5385,R1,1
1,5391,R1,0
1,5392,R1,3
1,5396,R1,1
1,5397,R1,0
1,5399,R1,0
1,5401,R1,3
1,5406,R1,0
1,5408,R1,1
1,5419,R1,5
1,5422,R1,0
1,5425,R1,2
1,5429,R1,0
1,5430,R1,1
1,5431,R1,0
1,5434,R1,0
1,5436,R1,2
1,5438,R1,3
1,5442,R1,1
1,5443,R1,0
1,5461,R1,3
1,5462,R1,2
1,5463,R1,1
1,5464,R1,1
1,5472,R1,2
1,5478,R1,1
1,5479,R1,0
1,5482,R1,2
1,5483,R1,2
1,5484,R1,3
1,5485,R1,1
1,5494,R1,3
1,5495,R1,1
1,5496,R1,1
1,5503,R1,2
1,5505,R1,2
1,5515,R1,4
1,5524,R1,0
1,5526,R1,0
