gene	log2FC	p_value	q_value	signif
34	1.3832039	0.014284466558322962	0.7142233279161481	False
58	1.1831931	0.028846942217464037	0.8716302040801576	False
23	1.0115908	0.06156175100745075	0.8716302040801576	False
74	1.0199573	0.0738783288760993	0.8716302040801576	False
88	1.0694854	0.07738108944539615	0.8716302040801576	False
4	0.9583308	0.09944747402194926	0.8716302040801576	False
48	0.8610665	0.12402230674060331	0.8716302040801576	False
73	0.89524424	0.13162870820750555	0.8716302040801576	False
65	0.8234125	0.1428789379408414	0.8716302040801576	False
66	0.66093063	0.18106441634423476	0.8716302040801576	False
59	0.7875417	0.19015279839635524	0.8716302040801576	False
53	0.807863	0.199572813206216	0.8716302040801576	False
99	0.8002311	0.2060394460790722	0.8716302040801576	False
100	0.8917507	0.20713185094694542	0.8716302040801576	False
70	0.79805	0.22286883431198468	0.8716302040801576	False
31	0.68620396	0.23702393457676318	0.8716302040801576	False
2	0.626711	0.2543271811205662	0.8716302040801576	False
15	0.60401124	0.28189712478900775	0.8716302040801576	False
97	0.7987669	0.2943117342322532	0.8716302040801576	False
71	0.5737945	0.333725633545371	0.8716302040801576	False
86	0.5884752	0.3538641308742422	0.8716302040801576	False
26	0.56247914	0.3896534784546256	0.8716302040801576	False
89	0.45037973	0.4014873877038053	0.8716302040801576	False
42	0.743114	0.4049077242702306	0.8716302040801576	False
13	0.4993126	0.40834542366456783	0.8716302040801576	False
85	0.5808167	0.4135344411156142	0.8716302040801576	False
39	0.46511889	0.42051351927779046	0.8716302040801576	False
95	0.71612513	0.45459550132992754	0.8716302040801576	False
33	0.5243826	0.45643139446671255	0.8716302040801576	False
57	0.516372	0.4619640081624835	0.8716302040801576	False
16	0.3961725	0.5017223777757662	0.9133013779429492	False
38	0.41386932	0.5094956481979867	0.9133013779429492	False
55	0.38520187	0.5371906097997645	0.9188606373373341	False
30	0.37169588	0.5718076181973246	0.9322981364526683	False
84	0.2963965	0.5926540410229693	0.9407207000364591	False
62	0.31676003	0.6095779187967889	0.9443726494060224	False
5	0.22957116	0.6310292613293895	0.9488553021947186	False
24	0.26473615	0.6593852622769798	0.9488553021947186	False
41	0.3072735	0.6615875857518434	0.9488553021947186	False
21	0.4015369	0.7221031531209148	0.9488553021947186	False
60	0.2113289	0.7335171469107085	0.9488553021947186	False
44	0.19469362	0.7472918933302619	0.9488553021947186	False
87	0.193739	0.8078666815081075	0.9673565826047555	False
91	0.011556026	0.8911981906274486	0.9810864011289324	False
63	0.019950597	0.8960057109673755	0.9810864011289324	False
49	0.11999213	0.8984109152199639	0.9810864011289324	False
28	0.056267973	0.903224102625345	0.9810864011289324	False
80	0.12745391	0.9273399119460238	0.9810864011289324	False
69	0.13428654	0.9345887148685877	0.9810864011289324	False
36	0.065267056	0.9418429450837751	0.9810864011289324	False
96	0.0015677626	0.9636321974104355	0.9831575830731828	False
76	0.076369	0.9660552020338249	0.9831575830731828	False
77	-0.02666097	0.9902987978432047	0.9902987978432047	False
83	-0.05816225	0.973326007242451	0.9831575830731828	False
82	-0.14240324	0.9176843176722937	0.9810864011289324	False
40	-0.13984993	0.9056320419952629	0.9810864011289324	False
51	-0.17550205	0.8911981906274486	0.9810864011289324	False
81	-0.12774928	0.8624430659366418	0.9810864011289324	False
20	-0.17871954	0.8528964546410824	0.9810864011289324	False
12	-0.22518231	0.8125795293879946	0.9673565826047555	False
90	-0.12348578	0.8125795293879946	0.9673565826047555	False
6	-0.24558537	0.7914276124319956	0.9673565826047555	False
8	-0.17834799	0.763464749343196	0.9543309366789949	False
72	-0.28449818	0.7495956887338278	0.9488553021947186	False
47	-0.2845603	0.7495956887338278	0.9488553021947186	False
9	-0.082170136	0.7403941151598998	0.9488553021947186	False
1	-0.27367917	0.7152841444606245	0.9488553021947186	False
25	-0.21567394	0.7107506889642707	0.9488553021947186	False
35	-0.34652922	0.690478547033506	0.9488553021947186	False
56	-0.4827873	0.6882394123442221	0.9488553021947186	False
29	-0.37661377	0.6440524715256604	0.9488553021947186	False
78	-0.40555906	0.6138422221139146	0.9443726494060224	False
68	-0.6009175	0.5780248446006544	0.9322981364526683	False
54	-0.48583952	0.5513163824024004	0.9188606373373341	False
32	-0.62920684	0.5472618777467031	0.9188606373373341	False
45	-0.3585328	0.5232490901176131	0.9179808598554616	False
98	-0.5226683	0.5114487716480516	0.9133013779429492	False
14	-0.61703223	0.4619640081624835	0.8716302040801576	False
64	-0.6362713	0.4582714484071744	0.8716302040801576	False
18	-0.6413858	0.40834542366456783	0.8716302040801576	False
43	-0.55648243	0.3997837424387616	0.8716302040801576	False
79	-0.88730276	0.39133092839125116	0.8716302040801576	False
17	-0.76152116	0.39133092839125116	0.8716302040801576	False
37	-0.70668197	0.3763919057303807	0.8716302040801576	False
75	-0.9933048	0.3429266912771708	0.8716302040801576	False
52	-0.7150938	0.3352479828290821	0.8716302040801576	False
46	-0.83145	0.32618090220888785	0.8716302040801576	False
11	-0.7909312	0.3099758973973714	0.8716302040801576	False
10	-0.82767457	0.3056502421005878	0.8716302040801576	False
7	-0.993949	0.28189712478900775	0.8716302040801576	False
67	-1.305745	0.28053998007652226	0.8716302040801576	False
94	-0.6032362	0.27783902179634945	0.8716302040801576	False
19	-1.3906707	0.2431055781117103	0.8716302040801576	False
27	-1.4742664	0.22518503282153268	0.8716302040801576	False
50	-0.97693735	0.1840573384010884	0.8716302040801576	False
22	-1.5170249	0.18007484800904905	0.8716302040801576	False
61	-2.3059871	0.14454462907688695	0.8716302040801576	False
92	-1.4854684	0.10783045092384126	0.8716302040801576	False
3	-1.8634802	0.07996498198791496	0.8716302040801576	False
93	-3.1160803	0.011536206985544506	0.7142233279161481	False
