"gene","ou1_conv","ou1_theta","ou1_alpha","ou1_sigma_sq","ou1_gamma","ou1_loglik","ou2_conv","ou2_theta","ou2_alpha","ou2_sigma_sq","ou2_gamma","ou2_loglik","brown_conv","brown_theta","brown_sigma_sq","brown_gamma","brown_loglik","ou2_vs_bm_pvalue","ou2_vs_ou1_pvalue","qvalue","adaptive"
1,1,0.860824742268041,15.9660159153529,0.681643844997463,1.33925038871102,-268.67579348554,1,0.847133757961783,17.5270832125915,0.615728081892913,1.4874716754032,-268.593177101264,1,0.873956876075581,0.00384790396582487,219.553042848515,-267.943754438714,1,1,1,"False"
1,1,0.860824742268041,15.9660159153529,0.681643844997463,1.33925038871102,-268.67579348554,1,0.918918918918919,17.5270832125915,0.615728081892913,1.4874716754032,-268.593177101264,1,0.873956876075581,0.00384790396582487,219.553042848515,-267.943754438714,1,1,1,"False"
2,1,0.577319587628866,18.3761877167747,0.405432277868377,1.56635796883026,-232.901907923676,1,0.560509554140127,17.1991943188383,0.430889215012668,1.46756529304154,-232.721721754137,1,0.575129140012465,0.000246885276200147,2588.46388036546,-232.86891120828,0.863130438287335,0.587427991310475,0.863130438287335,"False"
2,1,0.577319587628866,18.3761877167747,0.405432277868377,1.56635796883026,-232.901907923676,1,0.648648648648649,17.1991943188383,0.430889215012668,1.46756529304154,-232.721721754137,1,0.575129140012465,0.000246885276200147,2588.46388036546,-232.86891120828,0.863130438287335,0.587427991310475,0.863130438287335,"False"
3,1,0.540344045622357,0.152147373839307,0.067050579134634,6.15913596076494,-228.436130201153,1,0.481457139363066,0.204897008223118,0.0871031175360209,4.61950632635053,-226.467119584309,1,0.546365854300056,0.00266032698767254,216.459922762259,-230.869177499486,0.0122521001584871,0.00300551758996004,0.0122521001584871,"True"
3,1,0.540344045622357,0.152147373839307,0.067050579134634,6.15913596076494,-228.436130201153,1,0.859376871417649,0.204897008223118,0.0871031175360209,4.61950632635053,-226.467119584309,1,0.546365854300056,0.00266032698767254,216.459922762259,-230.869177499486,0.0122521001584871,0.00300551758996004,0.0122521001584871,"True"
4,1,0.716494845360825,17.265803308383,0.544936964368197,1.45997911620044,-254.998943769104,1,0.649681528662421,17.7526391806506,0.515953873703576,1.50770015172527,-252.707589635151,1,0.716494844595679,8.11377402279937e-11,1e+10,-254.998943771539,0.101129426056485,0.0322961317582474,0.101129426056485,"False"
4,1,0.716494845360825,17.265803308383,0.544936964368197,1.45997911620044,-254.998943769104,1,1,17.7526391806506,0.515953873703576,1.50770015172527,-252.707589635151,1,0.716494844595679,8.11377402279937e-11,1e+10,-254.998943771539,0.101129426056485,0.0322961317582474,0.101129426056485,"False"
5,1,0.661068514181839,0.821038276074291,1.21238278900011,1e-10,-245.258779341701,1,0.652808242288743,0.821403145417975,1.21245891941095,1e-10,-245.222694783851,1,0.663884066767179,0.00145271428405418,477.139824330265,-244.482787294514,1,1,1,"False"
5,1,0.661068514181839,0.821038276074291,1.21238278900011,1e-10,-245.258779341701,1,0.696791714294562,0.821403145417975,1.21245891941095,1e-10,-245.222694783851,1,0.663884066767179,0.00145271428405418,477.139824330265,-244.482787294514,1,1,1,"False"
