cell_name	q_mean	q_std	read_count
c4898	0.7547684655115049	1.330561892697022	1
c4902	0.7294511485034002	1.6791314823162689	0
c4906	0.7573240095922885	1.6483121850938034	0
c4909	0.7103489358627918	1.294838614025574	0
c4910	0.70024186783186	1.313030993002178	0
c4911	0.4107011730419875	1.29289273718219	1
c4917	0.8340697787505641	1.678715221032297	0
c4920	2.5540372842741457	1.2545115359729606	3
c4921	1.812616569049999	1.3764147174490864	0
c4922	1.8022136901541157	1.3729941145325444	0
c4923	0.392748480383671	1.527020412519696	0
c4929	3.1373267480486384	1.3053055064216146	4
c4936	3.759859888408141	1.3258279931010737	5
c4940	0.641887611651934	1.669458425220287	0
c4944	0.9696437188049964	1.666905849580496	0
c4946	2.820261434523934	1.315682770872458	3
c4947	0.0239836516552357	1.475168895428566	0
c4956	0.684408126326656	1.623744979724177	0
c4958	4.000154677702517	1.3303631801677556	4
c4961	1.8725972923818004	1.3436994867965608	2
c4965	0.885386568080025	1.316181777494513	1
c4969	4.146336095189989	1.3187777949799186	6
c4971	0.8951397430401912	1.665895436149834	0
c4974	1.927235761987357	1.3566230611495569	2
c4976	2.9177303681841216	1.2191938224321437	4
c4978	1.6094149094211052	1.2552279457853033	2
c4983	0.04098186723491	1.300880911586219	0
c4984	1.6642421265962086	1.0426190594997604	3
c4985	0.8964967519690774	1.4290724547224871	1
c4989	1.8651504631731968	1.2861568633046665	1
c4990	3.30738682537055	1.105713818145145	5
c4991	1.9711569314570627	1.2857355645438535	2
c4996	3.194803494003603	1.2922622778528834	4
c4997	4.207982256156102	1.3343639242947698	6
c5002	0.5594395963145228	1.6927215357568488	0
c5004	5.351862200734055	1.3553777458935168	8
c5008	2.989928461515142	1.1859221566521432	4
c5009	0.5787777309884772	1.3486637071642444	1
c5012	1.2289613482921045	1.1851281236299789	2
c5017	0.6755573503824017	1.7105545185136788	0
c5024	1.3551326925046436	1.1957324838862786	2
c5026	0.9132263328318077	1.618960805514574	0
c5028	0.7760054271937603	1.7071623422452933	0
c5040	0.7685329811200458	1.5565724946577093	0
c5041	3.2700425350334537	1.3052754712905452	4
c5043	5.7792573928524105	1.3913755818529885	9
c5051	0.6960888756408846	1.3005558837457574	1
c5053	2.386638218700007	1.2727377651313214	3
c5055	5.649381508673638	1.330328961380109	10
c5058	2.575391794154237	1.2186519169454195	3
c5063	5.002937592832695	1.3651962217118614	6
c5066	2.594362924303072	1.2261905923501768	3
c5072	0.7529604031300758	1.49376780180153	0
c5078	0.6965680248157625	1.7067593876932967	0
c5080	4.292268883533434	1.3358047619194906	6
c5083	1.59973611978401	1.260558915670405	1
c5084	2.799628542965489	1.0994278693990605	4
c5103	0.5845069851696558	1.2086292698630023	1
c5104	0.600247046400541	1.1884649352382446	1
c5106	0.5251999344957836	1.6074338867500495	0
c5109	0.9746240885702304	1.6599547958659866	0
c5118	1.8291651208434412	1.1678835360465771	3
c5122	4.20743753765603	1.3722928899920823	6
c5124	4.463832717530361	1.3969413056383466	5
c5127	0.6144987080455503	1.1690205248140983	1
c5128	0.1036890934467321	1.2986123274924006	0
c5130	0.4732376338948164	1.6559838997849283	0
c5131	3.259041921451075	1.0800576664449597	5
c5132	1.7994696935382664	1.2431074584837811	1
c5140	3.583314939460654	1.367081242296678	3
c5141	4.557710153642288	1.2177341633958498	5
c5142	5.772343479928588	1.1360913402014363	11
c5144	2.1094565176074567	1.2715713259117778	2
c5148	0.6759271741753847	1.5914434041636856	0
c5151	0.6891926073780625	1.2896671956145656	1
c5153	0.6325763861256467	1.3224438670298926	0
c5154	2.168247309277034	1.0940081636536287	3
c5157	1.372976967588384	1.3588660351296158	1
c5162	1.182222118223588	1.3246526916311037	1
c5164	2.646946840951255	1.3245290693498362	3
c5168	1.5983660251518326	1.2363762421662203	2
c5169	1.014204649665402	1.5803406267812723	0
c5171	1.3027417252329756	1.4638686566692167	1
c5174	0.6436562996945725	1.3841159839520087	1
c5176	2.463525112347517	1.2929112192128844	3
