	1
c5171	1
c5004	8
c5215	7
c5183	0
c5184	1
c5058	3
c4920	3
c5214	1
c5141	5
c5142	11
c5391	2
c5392	1
c4997	6
c5259	6
c5260	4
c4989	1
c4990	5
c5255	1
c5256	0
c5246	1
c5122	6
c5024	2
c5385	0
c5333	0
c4965	1
c4978	2
c5397	1
c5106	0
c5230	2
c5130	0
c5063	6
c5408	8
c5140	3
c4958	4
c5124	5
c5043	9
c5524	1
c5532	2
c5483	3
c5484	0
c5434	2
c5472	2
c5436	3
c5515	8
c5529	3
c5419	3
c5533	2
c5534	3
c5485	4
c5461	1
c5462	1
c5542	4
c5482	5
c5431	1
c5429	5
c5430	5
c5479	7
c5478	2
c5442	3
c5494	6
c5443	3
c5526	3
c5495	1
c5496	1
c5422	7
c5503	2
c5425	4
c5528	1
c5536	2
c5463	1
c5464	1
c5438	0
c5505	8
c5242	2
c4996	4
c5164	3
c5192	4
c5317	0
c5318	0
c5012	2
c5371	0
c4971	0
c5249	0
c5250	1
c5028	0
c5153	0
c5154	3
c5008	4
c5337	2
c5066	3
c4929	4
c5162	1
c5181	5
c5182	2
c5195	1
c4909	0
c4910	0
c4940	0
c5311	2
c5041	4
c5308	4
c4956	0
c5174	1
c5078	0
c5072	0
c5274	1
c5118	3
c5233	0
c5234	0
c5401	0
c5169	0
c5053	3
c5026	0
c5376	0
c5232	2
c5316	4
c5396	1
c5313	0
c5314	2
c4911	1
c5040	0
c5189	0
c5009	1
c5321	1
c4983	0
c4984	3
c5207	0
c5208	0
c4921	0
c4922	0
c5103	1
c5104	1
c5299	0
c5300	0
c5330	0
c5343	0
c5346	1
c5051	1
c4936	5
c5285	3
c5017	0
c5296	4
c5080	6
c4969	6
c5002	0
c5327	3
c5083	1
c5084	4
c5131	5
c5132	1
c5144	2
c5357	4
c5358	1
c5127	1
c5128	0
c4985	1
c5325	1
c5055	10
c5303	0
c5383	1
c5384	1
c5151	1
c4923	0
c5264	6
c5157	1
c5365	1
c5238	0
c4917	0
c5206	1
c5168	2
c5109	0
c4944	0
c5281	2
c4902	0
c5176	3
c5251	1
c5148	0
c5197	2
c4898	1
c4906	0
c5269	4
c4946	3
c5399	1
c4961	2
c4974	2
c5220	4
c5353	0
c4991	2
c4976	4
c5267	3
c4947	0
c5406	1
c5222	0
c5247	0
